{'短评内容': '便捿，高效，服务好', '短评打分': 5}
{'短评内容': '网络差，电视是90年代的，装修差，隔音效果差，还好外面车少。如果不是天气冷，离办事的地方近，不会选择这里。房间里连矿泉水也没，有大半桶装水，没有密封，上面有灰尘，不敢喝。其他自费品一样也没配，如要搞秘密活动的亲，提前准备哟。', '短评打分': 2}
{'短评内容': '住了几次了，比较满意', '短评打分': 5}
{'短评内容': '房间挺大的。', '短评打分': 5}
{'短评内容': '墙皮都掉了，环境一般，商务出行不推荐', '短评打分': 3}
{'短评内容': '上当了。服务态度极差', '短评打分': 5}
{'短评内容': '还可以，挺干净的', '短评打分': 5}
{'短评内容': '环境还可以，但是暖气不太管用', '短评打分': 5}
{'短评内容': '办公出差来到这里，整体感觉还行，这个价位的算不错了，如果下次还来，还会选择在这家入住，图的就是舒心，惬意。', '短评打分': 4}
{'短评内容': '安安静静的睡觉实话实说', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '感觉不怎么好，', '短评打分': 3}
