{'短评内容': '虽然是老酒店，感觉还是不错的', '短评打分': 5}
{'短评内容': '周围环境很好就在大庙边上。但屋里设施一般，洗澡水不是很热。天气冷的话估计屋里就太冷不舒服了。估计夏天不错，凉快。到房间没有电梯，要自己拎着行李箱走过去。早餐一般般。', '短评打分': 4}
{'短评内容': '早餐还不错  酒店环境很好', '短评打分': 5}
{'短评内容': '停车方便，风景优美', '短评打分': 5}
{'短评内容': '环境不错，但设施陈旧，翻个身感觉床要塌了', '短评打分': 4}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '酒店环境不错，虽然设施比较成旧，但胜在环境好，幽静，烧香拜佛方便。商务标间的房间面积比较大，比单间设施好，总体来说还不错。', '短评打分': 5}
{'短评内容': '环境不错，幽静，烧香拜佛方便。', '短评打分': 5}
{'短评内容': '安静，没有了平时的喧嚣，睡得很好。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '空气非常好，酒店略老', '短评打分': 4}
{'短评内容': '酒店位于山中，空气质量很好，房间较小', '短评打分': 3}
{'短评内容': '大环境和店内环境均好，服务也好！', '短评打分': 3}
