{'短评内容': '一般般吧 ', '短评打分': 4}
{'短评内容': '周边交通方便，餐饮发达，对不是太挑剔的人来说，性价比很高。', '短评打分': 4}
{'短评内容': '不错，不错，不错，不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '帮领导定的，午休房，还不错的样子', '短评打分': 5}
{'短评内容': '酒店环境还可以，位置也还行，早餐不行，整体性价比可以', '短评打分': 5}
{'短评内容': '服务态度不错，房间安静。', '短评打分': 5}
{'短评内容': '전체적으로 만족해여 주변에 비해 가격도 싸고 직원들이 친절합니다 세탁서비스가 유료인데다 너무비싸서 빨래하셔야하는분들은 참고하세요', '短评打分': 5}
{'短评内容': '还可以，经济实惠，后面小巷有很多地道的美食！', '短评打分': 4}
{'短评内容': '这次住的还不错，服务态度更好了，', '短评打分': 5}
{'短评内容': '这次住还算不错，房间没有异味，比较安静。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '正在装修，其余的还好吧', '短评打分': 4}
{'短评内容': '环境还可以，性价比来说还算不错，房间有些小，窗户朝向安排在有居民楼的方向，住着很安静，舒服，出门就有公交车，走路没多远就到了武侯祠景区', '短评打分': 4}
{'短评内容': '位置不错，房间也舒适，服务业好', '短评打分': 4}
{'短评内容': '商务酒店，干净，周边配套也齐全，不错的选择！', '短评打分': 3}
{'短评内容': '酒店不错。比想象的好的多。好评1', '短评打分': 3}
{'短评内容': '酒店房间干净整洁，但设施稍显陈旧。周边交通、饮食方便。', '短评打分': 3}
{'短评内容': '考虑到国庆期间酒店价格都在涨 但是这个酒店设施毕竟都老旧了，位置也比较偏僻 这个价格确实不太划算', '短评打分': 1}
{'短评内容': '较好，', '短评打分': 5}
{'短评内容': '酒店的设施配置比较全，卫生打扫的很好，虽然建成时间比较早了管理的还不错。', '短评打分': 5}
{'短评内容': '地理位置非常好，但服务一般，早餐太差了，与酒店的服务定位不符。设施陈旧，空调噪声太大，无奈半夜把空调关了才睡着。真希望它能改进。', '短评打分': 1}
{'短评内容': '位置不是很好找找了半天才找到附近出行不是太方便而且当时我是晚上去的他那边的标志物不是太明显也看不清楚，不过进去之后感觉还不错，内部环境还不错，房间也很干净，价格感觉还是有些高了，如果里面在稍微把设施弄一下的话价格还是比较合适的，其他方便都还行，不过感觉还是挺一般的酒店，就是对于我来说的话位置特别不好找。', '短评打分': 1}
{'短评内容': '价格偏高，卫生还可以，服务也蛮热情周到的，地理位置不错交通蛮方便的。', '短评打分': 5}
{'短评内容': '价格不低，但是酒店很旧，除了位置比较好外好像没有什么可讲的', '短评打分': 1}
{'短评内容': '从外表看很普通的酒店，但是房间内的装修非常舒服，早餐一般了', '短评打分': 5}
{'短评内容': '卫生服务方面做的非常好,打扫的很干净,位置也不错,主要是离我考试的地方比较近,很方便,但如果是出来玩的话就不太方便了,另外就是硬件设施有些陈旧了.', '短评打分': 3}
{'短评内容': '￥218 贵了。一环内有更便宜更方便的旅馆。早餐只是简单的豆浆馒头。除非非要在红牌楼旁住，不然应该不会回来。', '短评打分': 1}
{'短评内容': '酒店有些旧了，位置还好，价格偏高了', '短评打分': 1}
{'短评内容': '很不错的酒店。位置虽靠近2环路，可是交通很方便。公交车四通八达，打的到市中心9块左右。离武侯祠很近。干净。就是床垫不太好，我问服务员多要了一床被子垫在下面。不过198的价格，我觉得还是可以的。中央空调很好。', '短评打分': 3}
