{'短评内容': '环境不错，卫生干净', '短评打分': 5}
{'短评内容': '服务整体不错，就是设施有点陈旧。', '短评打分': 5}
{'短评内容': '位置非常好，很方便。是来考试的。环境很干净，标间很大，而且前台服务态度非常好，床也很舒服。去考点很近！', '短评打分': 5}
{'短评内容': '经常在这里住，价格很实惠，而且周围交通也很方便，唯独洗澡不方便，水龙头水流很小，晚上九点以后没有热水，空调不给力……', '短评打分': 4}
{'短评内容': '进入房间有一个非常难闻的臭味！放下行李就出去玩了，晚上回来味道消了。电视柜的隔板是坏的。床头灯不亮！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '空调都是坏的', '短评打分': 2}
{'短评内容': '设施有些旧，整体干净。插座不便利，隔音不好。', '短评打分': 3}
{'短评内容': '就是空调不给力，其他还可以。', '短评打分': 4}
{'短评内容': '还算可以，暖气很暖！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好 下次还会再来住', '短评打分': 3}
{'短评内容': '十一去的，性价比不错了，房间比较干净。', '短评打分': 4}
{'短评内容': '条件还行，很实惠，价格不贵', '短评打分': 3}
{'短评内容': '服务不错 离泰山也很近', '短评打分': 5}
{'短评内容': '环境不错，空间宽敞，前台的服务也很热情，下次还会选择这家酒店。', '短评打分': 5}
{'短评内容': '干净 宽敞 价钱也公道 \n离泰山挺近的 房间的窗外就能看到 开车挺方便的\n旁边就是市府广场 晚上能去逛逛\n大家但要注意 洗漱用品要收费，自带就好了\n', '短评打分': 5}
{'短评内容': '洁净舒适，价格还很优惠。注意洗漱用品是有偿使用的。', '短评打分': 5}
{'短评内容': '不错哦 环境态度都还蛮好 周围吃饭也蛮方便 就是洗漱用品有偿使用不太合理的 再就是房间隔音不太好 至少我住的那间是这样', '短评打分': 5}
{'短评内容': '环境不错，挺满意。', '短评打分': 3}
{'短评内容': '服务态度好，而且比预想的卫生更好，设备也很齐全，要是能有个内部超市就更好了', '短评打分': 5}
{'短评内容': '房间不错，新装修，物有所值。就是有小蚂蚁出没，让爰人害怕，有些美中不足', '短评打分': 3}
{'短评内容': '挺好的，房间也挺大听亮堂的，整体感觉不错，唯一很囧的是牙刷之类的东西是收费的，建议去住的话自带牙刷牙膏梳子什么的自己带好了。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店环境很好，很干净，而且有网络电视，我住的是标间，大小还可以，价格挺合理的，就是交通不太方便，不容易打到出租车', '短评打分': 5}
{'短评内容': '环境整洁，设施齐全且高档比有的星级酒店都好，服务态度不错，性价比很高~！！就是住的房间靠近电梯，电梯声比较乱.....', '短评打分': 5}
{'短评内容': '在节假日期间很多酒店都爆满,终于找到了华泰.房间还给免费升级成了标间.价格还很优惠,下次有机会还是会选择华泰的.干净,舒适.', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
