{'descr': '一般般吧。', 'star': 4}
{'descr': '无窗的房间有股味道', 'star': 3}
{'descr': '房间卫生一般，停车场太小了', 'star': 3}
{'descr': '酒店卫生一般，停车场小，停车不方便', 'star': 3}
{'descr': '环境优美，地理位置好,交通方便 ,网络高速信号好,服务态度还可以 房间小摆件的设计也很有特色。性价比不错，下次还要入住.', 'star': 5}
{'descr': '是我住过最瞎的酒店，没有之一', 'star': 5}
{'descr': '是我住过最瞎的宾馆，没有之一！', 'star': 5}
{'descr': '在夜里到的，居然说我没定。查了半天才说有。交了200押金。房间不干净，浴室很旧。去乐天吃的饭，大概走路15分钟。门口就一3路，是小中巴。那地方感觉就是一乡镇。', 'star': 2}
{'descr': '在告知不用搞卫生的情况下，把房间卫生做了，结果把放在房间的发票搞丢了，与酒店沟通，酒店态度冷漠，没有给任何答复，投诉到携程后，与其沟通，却被告知没有告知不能搞卫生，在纯属耍起无赖。', 'star': 1}
{'descr': '还可以', 'star': 4}
{'descr': '酒店位置不错，房间很安静，还有免费停车场，离美食街很近，车停在酒店，叫了辆出租车去美食街，没想到一个红绿灯右拐就到了，吃完饭走回来也就十几分钟，离闹市区不远，前台服务员工作认真负责，态度较好，性价比较高，值得推荐。', 'star': 5}
{'descr': '位置不错，离闹市区不远，入住时有点小误会，但很快就解决了，前台服务员工作认真负责，态度较好，性价比较高，值得推荐。', 'star': 4}
{'descr': '房间很干净，酒店位置很好，出行很方便，服务也很热情，很好！', 'star': 5}
{'descr': '挺不错价格', 'star': 5}
{'descr': '要找身份证服印键都不给找，服务不行', 'star': 1}
{'descr': '很不错的，安静，价格低，设施赶干净', 'star': 5}
{'descr': '还行', 'star': 2}
{'descr': '一般般吧，电梯要修了，感觉很不安全', 'star': 3}
{'descr': '不错环境不错，有无线WIFI免费的，比较安静，。\n', 'star': 5}
{'descr': '挺好的，就是小了点，周围也挺安静的，推荐入住\n', 'star': 5}
{'descr': '环境很好，很舒适，很满意。', 'star': 3}
{'descr': '房间蛮好，价钱公道。就是交通不是太方便，地段满偏的。', 'star': 5}
{'descr': '刚开的店，比较新也干净！', 'star': 3}
{'descr': '酒店干净、服务态度非常好。值得向朋友推荐。', 'star': 5}
{'descr': '不错…', 'star': 3}
{'descr': '酒店地段不错  房间也比较安静舒适  较安静', 'star': 3}
