{'短评内容': '整体感觉不好', '短评打分': 2}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈今生今世年世界顶级性能说那就是今生今世年都能得到你想念你想念想念想念想念想念想念想念当年你的大脑内大男大女大男大女大男大女大男大女的', '短评打分': 5}
{'短评内容': '一般。。。', '短评打分': 3}
{'短评内容': '蛮不错的，下次还会再来的', '短评打分': 4}
{'短评内容': '蛮不错的，以后还会再来的', '短评打分': 4}
{'短评内容': '房间不咋样！我单子重复，日期还错了！客户凌晨三点给我处理！谢谢', '短评打分': 5}
{'短评内容': '首先房间不咋样！我下单重复日期还错了！但客服人员服务真好！凌晨三点还给我处理', '短评打分': 5}
{'短评内容': '不是第一次住了，好的很！不是第一次住了，好的很！不是第一次住了，好的很！不是第一次住了，好的很！！！！', '短评打分': 5}
{'短评内容': '有一点点偏，但是有公交车到人民公园地铁站，总体来说还行。', '短评打分': 5}
{'短评内容': '卫生差，设备差。', '短评打分': 3}
{'短评内容': '不太行', '短评打分': 3}
{'短评内容': '国庆出游酒店订不上，只能订这里，设施服务一般但能满足住宿要求，离城市中心较远', '短评打分': 4}
{'短评内容': '价廉物美，宾至如归，每次都选择这里。楼下就是各类的小超市和餐馆，公交车站。离大型商场也非常近。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不推荐，房间小，卫生差，布草差', '短评打分': 3}
{'短评内容': '可以住', '短评打分': 3}
{'短评内容': '环境太差，服务态度很不好', '短评打分': 1}
{'短评内容': '价格适合，相信老牌子。', '短评打分': 5}
{'短评内容': '酒店还是可以吧，就是附近没什么吃的，出去不太方便', '短评打分': 5}
