{'短评内容': '很好，前台妹子人更好', '短评打分': 5}
{'短评内容': 'very good service', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '老板人很热情，给免费升级了房间，下次过来还住这。', '短评打分': 5}
{'短评内容': '位置非常黄金 管理安全干净 非常不错的体验', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '服务态度不错，交通便利！', '短评打分': 4}
{'短评内容': '和同学过来考试，在尖沙咀这种地方已经算很好的家庭旅馆了', '短评打分': 5}
{'短评内容': '入住之前请准备三百人民币押金。', '短评打分': 5}
{'短评内容': '除了前台的北京小伙真心好，其它不想说了。', '短评打分': 3}
{'短评内容': '如果真的想住的便宜，这里还是可以，尤其前台的小伙子，人真不错', '短评打分': 3}
{'短评内容': '服务不好，我们安排3楼，太可怕了，都是黑人，环境卫生脏乱差，被子睡了全身发痒，下次再也不想去住了！', '短评打分': 2}
{'短评内容': '周围环境非常不错，酒店房间很小，服务一般般', '短评打分': 4}
{'短评内容': '服务好', '短评打分': 5}
