{'descr': '^_^', 'star': 5}
{'descr': '环境不错，干净卫生', 'star': 5}
{'descr': '服务很热情，房间干净卫生，旁边好多好吃好玩的！', 'star': 5}
{'descr': '环境干净整洁', 'star': 5}
{'descr': '不镐', 'star': 5}
{'descr': '早餐还不错，酒店前面可以停车，靠近角门东地铁口，和其他汉庭比，大厅没有电脑，不太方便。总体来说，还是不错的，经常住。', 'star': 4}
{'descr': '不错了，毕竟这个价位在呢，，关键是服务好啊，相当的客气！！！', 'star': 5}
{'descr': '隔音好。在五楼。', 'star': 5}
{'descr': '严重差评！说是在携程上订单，不能用会员卡？！而且携程网上订的是7层，到店里只能1层，地下10号地铁隆隆作响，无法入睡！更可怕退房时听到别的顾客说昨晚上被子有问题，一晩上痒的无法盖。。夸张！好好出差心情被破坏！', 'star': 1}
{'descr': '不怎么样，又贵，隔音很差', 'star': 3}
{'descr': '很好，服务，环境都特别好。', 'star': 5}
{'descr': '很好，服务，环境都特别好。', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '挺不错的，环境挺好的 ，干净整洁，挺舒服的下次还要光顾。', 'star': 5}
{'descr': '还可以吧。', 'star': 4}
{'descr': '还不错，第一天过来房间由原来的套房改成家庭套房，大多了，赞一个', 'star': 5}
{'descr': '设施陈旧，电视也不好，位置太偏，总算出行方便，离地铁近', 'star': 4}
{'descr': '酒店环境一般', 'star': 4}
{'descr': '环境还是不错的', 'star': 4}
{'descr': '房间干净整洁，房价和周围消费水平稍低，适合工薪阶层居住，只是房间稍小，不能无线上网。', 'star': 5}
{'descr': '房间不错 有点偏 和店名不太相符，，，总体还是不错的', 'star': 5}
{'descr': '很好，餐厅是在地下一楼，提供中餐。环境不错，很安静。', 'star': 5}
{'descr': '这家店很好，住着很舒服，很干净，就是有点远。', 'star': 5}
{'descr': '这家酒店还可以，价格虽然有变化比较高，但还是值得一住。', 'star': 5}
{'descr': '本以为离地铁站比较近，结果比想象的要远得多。快走的10分钟。\n房间太小。本来挺背的地方，周围环境像农村，还挺贵，还不打折。唉。', 'star': 1}
{'descr': '空间比其他店小，前台服务生态度差。周边环境脏乱不堪。', 'star': 1}
{'descr': '到了以后没大床房，给免费升级高级大床房了，但是房间太小了，只能床上坐着', 'star': 1}
{'descr': '安静', 'star': 3}
{'descr': '挺干净的，态度也不错~订的大床房，到的时候，没有了，免费升级的高级大床房~位置不太好找，离地铁站走路一刻钟吧~', 'star': 5}
{'descr': '更方面环境还可以，服务也挺好，就是隔音效果差', 'star': 3}
{'descr': '该酒店还行，比较干净，服务业不错，顶一下支持一下。', 'star': 5}
{'descr': '环境非常不错，服务态度也很好，我定的普通大床房没腾出来，就给我安排了一个高级大床房，也没加钱。很不错。', 'star': 5}
{'descr': '性价比较高，房间比较大，缺憾是毛巾枕套等脏兮兮的，不知道是不是保洁人员偷懒没换，总体还可以', 'star': 5}
{'descr': '环境不错，卫生较好，整体感觉符合它的品牌印象 推荐！', 'star': 3}
{'descr': '服务挺好的，房间很干净。就是有些难找，交通还算方便，步行到地铁站约15分钟', 'star': 5}
{'descr': '整体环境还不错，干净卫生，也很安静，还会再选择。', 'star': 5}
{'descr': '不错，洗澡很舒服', 'star': 3}
{'descr': '和实际标的路程不一致，难找。需完善。', 'star': 3}
{'descr': '比较经济实惠的地方，就是位置有些偏，介绍朋友入住的。反映还好吧。', 'star': 5}
{'descr': '对于初到京的人来说,路是非常难找的,从角门西地铁出口要2公里左右,每次出门都得坐5块的摩的,到店还不错,很干净,服务也算是好了.', 'star': 5}
{'descr': '房间很干净', 'star': 3}
{'descr': '十一前接待朋友订的这家酒店，就在我家附近。门口有少量车位，临时住住可以的，性价比较高。', 'star': 5}
{'descr': '很好呀，个人觉得汉庭还是不错的~~房间也够大，而且很干净~~', 'star': 5}
{'descr': '环境不错，服务热情周到，房间干净整洁，床很温馨，就是稍微有一点不太好找，刚住过很满意', 'star': 5}
{'descr': '就是房间有点小``离地铁口远了点`````````````````````````````````````````````````````````````````````````````````````````````', 'star': 5}
{'descr': '我在北京住过最好的经济型酒店，干净，交通好，房间宽敞。', 'star': 5}
{'descr': '位置有点偏僻，店内新装修，干净整洁，还不错', 'star': 5}
{'descr': '酒店不错，就是周围环境差一点。', 'star': 3}
{'descr': '推荐,和以前一样的好,离地铁不远,周围环境一般', 'star': 3}
{'descr': '整体环境和服务都非常的不错，离地铁站也很近！唯一的遗憾就是热水出的速度非常慢，整体还是非常好。不愧是汉庭的！下次来北京还会继续入住！', 'star': 5}
{'descr': '挺干净的，停车场有点小，大概能停15辆左右，别的还不错', 'star': 5}
