{'短评内容': '非常好，每次出差都住在这里。很完美。价格也美丽。老板人很好，服务热情，态度好。紧挨闹市，逛街也方便。', '短评打分': 5}
{'短评内容': '前台接待是个老伯、态度恶劣，洗澡热水忽冷忽热！坑', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般吧。', '短评打分': 4}
{'短评内容': '挺不错，很干净', '短评打分': 5}
{'短评内容': '设施配套各方面一般', '短评打分': 4}
{'短评内容': '出去玩方便，附近就是凯虹广场，吃饭方便', '短评打分': 4}
{'短评内容': '去普陀山在这住一晚，地理位置很好，吃东西坐车都很方便，房间中规中矩', '短评打分': 4}
{'短评内容': '房间很大，但是局部卫生不是很干净，总体来说性价比还是不错的。离购物广场也很近。', '短评打分': 4}
{'短评内容': '还行吧   比较安静', '短评打分': 3}
{'短评内容': '一般，一般，一般，一般', '短评打分': 3}
{'短评内容': '房间里设施陈旧，周围交通和购物吃饭方便。', '短评打分': 4}
{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '很不错的酒店，值得推荐，价格也很合理，适合度假和商务旅行', '短评打分': 5}
{'短评内容': '环境还可以\n价格实惠\n总体还可以~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 3}
