{'descr': '各个方面都不错，离火车站非常近，很方便。', 'star': 5}
{'descr': '很好，很干净，很便宜，离张家口火车站50～100m，对面是百盛购物，去张家口就住这，没问题。', 'star': 5}
{'descr': '酒店不错  我很满意   下次还会住这里的  酒店不错  我很满意   下次还会住这里的  酒店不错  我很满意   下次还会住这里的  ', 'star': 5}
{'descr': '不错的酒店，地理位置很好，就是返现金取消了！', 'star': 5}
{'descr': '环境不错，挺好的！', 'star': 3}
{'descr': '离张家口火车站（北站）很近，周边也很繁华，酒店门口就是公交站，出行方便！', 'star': 5}
{'descr': '不错的酒店，地理位置很好，斜对面有一大商城', 'star': 5}
{'descr': '锦江一贯的条件~没啥说的，为了滑雪去的。离几大雪场，基本40分钟车程', 'star': 5}
{'descr': '酒店位置很好，交通很方便，其他条件跟其他的锦江之星一样！', 'star': 5}
{'descr': '感觉不如如家。。洗澡水不大。。电视台太少。而且有重复。。\n床倒是蛮大的。。。其他没什么。隔音确实不好。', 'star': 1}
{'descr': ' 房间很好 打印有些贵\n2元一张', 'star': 3}
{'descr': '除了房间略显狭小，其他方面都还不错，值得去住', 'star': 5}
{'descr': '上星期住的旁边的如家，对比一下。先说好的房间大电视好。不好的前台服务差，床没有如家的舒服，床单不干净。', 'star': 3}
{'descr': '出入、购物都很方便，环境不错，干净，服务设施都很到位', 'star': 5}
{'descr': '不错，就是网络太慢', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '还可以，就是隔音不太好！希望能进行相应改进!', 'star': 5}
{'descr': '很不错，就是隔壁男欢女爱动静过大。设施都很好，位置也不错。', 'star': 5}
{'descr': '干净整洁，让人放心，就是早餐太简单不够丰富', 'star': 5}
{'descr': '交通方便，干净，服务周到，还有无线网络，很好。不过就是网速慢了点。', 'star': 5}
{'descr': '交通方便，下了火车走路5分钟就到了。有无线网络，方便。', 'star': 5}
{'descr': '酒店位置很好，交通很方便，美中不足的就是宽带网络有点慢。。。。。。。。。', 'star': 5}
{'descr': '房间的墙上长了一长溜的绿毛，实在是无奈。', 'star': 1}
{'descr': '酒店干净卫生，就是屋子有点小，窗户小，不明亮，还是值得推荐的', 'star': 5}
{'descr': '不错值得推荐，本人居住519房，温馨，适合情侣。下次还去入住。。。', 'star': 3}
{'descr': '酒店的很不错，新开的，对面就是百盛百货。位置很好。', 'star': 5}
{'descr': '床和枕头挺不错！为什么一定要20字？。。。。。。', 'star': 5}
{'descr': '酒店干净卫生，第一次入住，给的印象很好，早餐非常丰盛。下次去的时候还会入住。另外，周边吃饭的地方不是太多。，，', 'star': 5}
{'descr': '酒店环境不错，床很舒服，服务也好！', 'star': 3}
{'descr': '位置不错，是家新开的酒店，房间很大，很干净。', 'star': 5}
{'descr': '还可以，房间窗户太小', 'star': 3}
{'descr': '十酒店很干净环境不错', 'star': 3}
{'descr': '刚刚入住办好手续，房间有点小，并且刚刚装修异味比较大，位置还行，门头不是很好找', 'star': 1}
{'descr': '洗澡水忽冷忽热的，让人受不了。附近也没什么吃饭的地方', 'star': 1}
{'descr': '新店，还可以！新店，还可以！新店，还可以！新店，还可以！', 'star': 5}
{'descr': '先是押金单给错，再是卡没有刷上磁。还见到另个一拨顾客也是类似问题。管理有待完善啊', 'star': 1}
{'descr': '服务很好，房间干净，床很舒服，卫生间小了点', 'star': 3}
