{'descr': '房间很干净，价格实惠！', 'star': 5}
{'descr': '有啊，挺好的！', 'star': 5}
{'descr': '环境好，不错', 'star': 5}
{'descr': '不含早餐，交通便利。', 'star': 4}
{'descr': '', 'star': 5}
{'descr': '不错，床品毛巾都干爽无味儿，好评', 'star': 5}
{'descr': '还行吧，就是交通太不方便了！！！', 'star': 5}
{'descr': '还不错，性价比高，房间较干净，方便停车。', 'star': 5}
{'descr': '环境还行，每天都打扫换东西，早餐便宜。空调给力，网速还行，热水不断。', 'star': 5}
{'descr': '酒店一般', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '隔音差的很', 'star': 4}
{'descr': '干净，方便', 'star': 5}
{'descr': '距离万达广场很近，大型超市、各类餐饮都齐全，很不错，交通也方便。下次去周浦还会住这里。', 'star': 5}
{'descr': '住的放心，舒服，就是早上打车有点难。', 'star': 4}
{'descr': '房间小 热水最近出了问题 水凉哦', 'star': 4}
{'descr': '干净，整洁，比较安静；美中不足的是空间比较小', 'star': 4}
{'descr': '房间挺干净，设施什么的都不错。但是电梯只能到二楼。', 'star': 5}
{'descr': '房间比较大，就是早上叫车不是很方便。其他都还好', 'star': 5}
{'descr': '不错 去周浦万达很近 就是离公路的房间有点吵', 'star': 5}
{'descr': '干净，采光也很好。\n就是网线不能拔，必须用酒店的电脑上网，笔记本白带了。', 'star': 5}
{'descr': '很差的酒店，态度还不好，没性价比可言。\n临近马路，很吵，甚至马路上汽车开过，房间都有感觉，6月房间里已经有蚊子了。\n房间门口墙上有明显有受潮发霉的痕迹。\n本人此次住1217。', 'star': 1}
{'descr': '还行 总的来说 比较干净 也很安静 房间多 卫生间比较满意', 'star': 5}
{'descr': '还比较实惠，交通也方便，就是吃饭还不算太方便。', 'star': 5}
{'descr': '交通方便，价格实惠，下次还可以考虑来住。', 'star': 5}
{'descr': '又一次去了，嘻嘻。。还和以前一样，不过镜子上面有 点点点的东西，不知道是什么。。', 'star': 5}
{'descr': '位置在沪南路上南路，离万达广场比较近。外边看着一般，里面装修还不错。', 'star': 5}
{'descr': '挺好，房间很干净，但是隔音一般，性价比尚可，交通也还便捷', 'star': 5}
{'descr': '房间还蛮干净的。。出去玩一直住他家。。。', 'star': 5}
{'descr': '挺干净的，靠近路边，但是没有明显大的噪音', 'star': 5}
{'descr': '交通便利，环境很好，支持一个。\nPS：和周边的快捷酒店比起来，首推这家', 'star': 5}
{'descr': '卫生一般服务还可以，很寂静能保证休息，只是网上留的地址根本找不到，几经打听才找到多花了二十的打车钱', 'star': 3}
{'descr': '不错，服务人员态度很好，干净卫生，比较温馨', 'star': 5}
{'descr': '不错，服务挺好的', 'star': 3}
{'descr': '标准还是维持的挺好的，干净简洁，靠马路边有点吵，但换到院内的就会好很多。', 'star': 5}
{'descr': '在周浦镇上。靠路边很好找。。比较干净～一直去的', 'star': 5}
{'descr': '有名的连锁酒店，果然有一定的水平，性价比高，值得推荐。', 'star': 5}
{'descr': '过去参加一个会议，酒店性价比挺高的，下次有机会还会过去', 'star': 5}
{'descr': '环境还不错 装修比较新 就是地毯太脏了 还有浴室的水温控制不好 太烫 差点被烫伤', 'star': 3}
{'descr': '，环境不错，还有免费电脑用，挺好。就是我住房间排水不太好了！', 'star': 3}
{'descr': '宾馆环境不错，很干净', 'star': 3}
{'descr': '酒店还不错,房间比较大,也很干净,下次来还会选择.', 'star': 3}
{'descr': '就是其酒店强力推荐他的会员卡，否则没有啥优惠也没有，这点有点强迫的味道，不好', 'star': 5}
{'descr': '宾馆总体感觉还可以。服务人员态度不错， 清理卫生时间稍微迟点了，这样会影响客人休息。宾馆门牌号码好像没有，客人需要问询才能到达宾馆。', 'star': 5}
{'descr': '酒店蛮好的 马桶坏了能在半个小时之内过来修 充电器还忘里面了 不过还是找了回来。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '性价比很高，不过地点较偏，酒店周围有一个小型超市，可以处理掉早餐问题', 'star': 5}
{'descr': '设施很简陋，仅仅是如家的品牌，入住条件很差，三楼的商务大床房只能做电梯到2楼在走上去，非常不方便。很差的地方。', 'star': 1}
{'descr': '距离我出差的地方很近，虽然很远，但是周边有万达广场，也还算很便利！', 'star': 5}
{'descr': '住宿条件不错，但是稍微离市区远了些,但价格低值得推荐', 'star': 5}
{'descr': '房间很大，设备很新，就是离马路很近，有点吵！！！', 'star': 5}
{'descr': '酒店位置很方便靠近万达广场，很好下次还去住，，，，', 'star': 5}
{'descr': '酒店很好我已经住了很多次，下次还住这里，，，，', 'star': 5}
{'descr': '住得环境还可以,就是早餐太差了,还要收15元.', 'star': 3}
{'descr': '早餐品种稍微少了点，房价稍高，一个世博会就推高了20%。', 'star': 5}
{'descr': '服务以及卫生还有设备相对与该地区相同价格酒店，是非常好的了', 'star': 5}
{'descr': '環境很好,服務態度也很好,以后還會再選擇這家酒店', 'star': 5}
{'descr': '一如既往的好，朋友家在附近，还是会经常入住', 'star': 5}
{'descr': '一如既往的不错，由于朋友家在附近，还是会经常去', 'star': 5}
{'descr': '酒店整体条件都不错，唯一不足就是没有发票，如果需要报销，那这家可要考虑一下了.', 'star': 5}
{'descr': '客房比较大，而且采光不错，住着舒适自在，整体印象很好.', 'star': 5}
{'descr': '牙膏牙刷什么都要收费，性价比一般吧里面的环境也很一般', 'star': 1}
{'descr': '位置不错，周边环境很好，清新优雅，也比较安静，住着感觉还行.', 'star': 5}
{'descr': '位置好，就近选择，而且距离我办事的地方还是挺近的，方便出行.', 'star': 5}
{'descr': '还行~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '去朋友家玩，晚上住的这，感觉都挺不错的。', 'star': 5}
{'descr': '其他地方都做的比较好，就是楼层有点低，存在安全隐患', 'star': 5}
{'descr': '酒店的服务员很热情，就是交通不是很方便。', 'star': 5}
{'descr': '室内环境很好，不过就是隔音差了点，感觉休息不太踏实，其它各方面都还不错.', 'star': 5}
{'descr': '每次入住都要点评，真没什么好说的了。总之什么都不错，性价比很高', 'star': 5}
{'descr': '经常住这里，什么都好，就是晚上没吃的。要跑到镇上', 'star': 5}
{'descr': '酒店很干净。服务员态度也很好，出行也比较方便，对面就是车站', 'star': 5}
{'descr': '感觉不错。', 'star': 3}
{'descr': '感觉酒店有点矮了，2.3楼的安全隐患比较大，让人有点担心', 'star': 5}
{'descr': '酒店蛮大的，在周浦这算是蛮干净的一家酒店了！', 'star': 5}
{'descr': '卫生条件尚可，服务一般，超过12点就必须算一天，不能延后', 'star': 1}
{'descr': '离万达广场很近，酒店业比较大，看样子应该造了不久。服务人员也很热情', 'star': 5}
{'descr': '每次去周浦住的都是这家酒店，服务也相当不错。管理严格', 'star': 5}
{'descr': '酒店新造不久，设施比较干净，离万达广场很近。比较符合我的要求！', 'star': 5}
{'descr': '还湊合吧\n酒店一楼的饭菜比较好吃的有：\n红烧肉、红烧鲈鱼、饺子\n其他的饭菜一般。\n还有就是酒店靠近汽车修理厂那一侧，晚上总有声音，有点像是电动机的声音。', 'star': 5}
{'descr': '周围很方便，有商场，交通也还好。但是就是离市区比较远，晚上路很黑\n', 'star': 1}
{'descr': '很一般,也就是价格还不贵.房间还算可以,但是地毯特别脏,属于家庭旅店的性质.', 'star': 1}
{'descr': '不错不错还不错真的还不错，挺不错的，真的挺不错', 'star': 5}
{'descr': '位置有些不方便没有地铁覆盖，地板上的卫生比较不干净。价格因为世博涨动比较厉害。服务人员态度还蛮好的', 'star': 1}
{'descr': '+房间还可以，符合要求！', 'star': 5}
{'descr': '评就评，还要20个字以上，住个店哪有这么多废话', 'star': 3}
{'descr': '蛮干净，服务也还凑合。离世博也还算方便，附近就有直达车。', 'star': 3}
{'descr': '没感觉，没住过其它，也就无从对比，为什么一定要20个字？？？', 'star': 5}
{'descr': '一般吧,离市区太远了。不过能订上酒店不错了', 'star': 3}
{'descr': '去看世博住的这家酒店，实在太远了，打的花了N多钱，价格也较贵，性价比不好', 'star': 1}
{'descr': '世博会期间，能有这样的房间就不错了。不提前预订，一般没房间。从这家酒店打车到地铁8号线，需要三十多元。', 'star': 5}
{'descr': '有点偏坐车过去的时候一路上 简直叫个荒凉 就像是一个小县城  好远的', 'star': 1}
{'descr': '住宿条件不错，但是稍微离市区远了些，不过因为有世博专线，只去看世博住在这里还算可以，专车每半小时一辆，大约要1小时才到世博，终点是5号门6号门。晚上回来太晚吃饭不方便，早起可去附近的荣达广场吃。', 'star': 5}
{'descr': '不错的，相对来讲。', 'star': 5}
{'descr': '位置太偏，房间设施一般，不过现在世博期间，也难找酒店', 'star': 3}
{'descr': '位置太偏，房间设施一般，不过现在世博期间，也难找酒店', 'star': 3}
{'descr': '位置不太方便', 'star': 1}
{'descr': '服务周到、卫生不错。', 'star': 5}
{'descr': 'hao ', 'star': 5}
{'descr': '还可以。', 'star': 3}
{'descr': '不错。', 'star': 5}
{'descr': '因为经常在各地住如家快捷,总体感觉服务还不错,住的条件都差不多,因为世博会的原因,房价高了很多.没办法,谁叫咱是来看世博的啊.', 'star': 5}
{'descr': '房间很清爽。\r\n就是服务比较差，不知是上海是这样，还是因为世博会的原因。', 'star': 5}
{'descr': '这家酒店位置较偏，设施和服务都不错，但淋浴水温不够（不知是否跟我们每次洗澡时间都较晚有关系）。如果为了看世博而住宿的话，还是非常方便的，因为离世博专线较近（走路五分钟以内），价格还相当便宜', 'star': 5}
{'descr': '房间卫生还不错，位置还是挺好找的，服务态度也还可以，周围的环境还是挺不错的，价格也很合适。性价比还是挺高的，我还是很满意的。', 'star': 5}
{'descr': '还不错！', 'star': 5}
{'descr': '还不错!就是周遍不太热闹,可能是晚上去的缘故吧?', 'star': 5}
{'descr': '隔音性能不太好。早饭应增加豆腐乳。', 'star': 5}
{'descr': '因为距离家近，所以找的这家。住的大床房，房间有点小，且晚上有狗叫，隔音不是很好~', 'star': 1}
{'descr': '差，太吵了，靠近马路，无法入睡。空间也很小。', 'star': 1}
{'descr': '很好，如果能够再便宜一点就更好了，呵呵~~~', 'star': 5}
{'descr': '酒店新开业的,所以里面的条件还是比较好的,很干净,房间住着也比较舒适,而且离当时的办事地点也很近,价格物美价廉.', 'star': 3}
{'descr': '住得无奈啊~~~', 'star': 1}
{'descr': '位置差了一些，环境也不怎么样、比较吵，交通不方便，房间明显偏小，居然还不能打外线电话。我都不知道我该怎么评价了~~~\r\n哦，对我来说有个好的，我刚好要去那附近公干~~', 'star': 1}
{'descr': '卫生还可以,很干净,设施完善,地理位置交通方便,服务周到热情,性价比不错的酒店,值得推荐', 'star': 3}
{'descr': '同事说很干净，就是房间被安排在靠马路太吵，所以通过网络预订，还需要注明要求咯', 'star': 5}
{'descr': '经济、实惠，很实惠.', 'star': 5}
