{'短评内容': '服务很好！刘洪岭大叔服务很周到！', '短评打分': 5}
{'短评内容': '国外客人入住，离家近、服务好。非常感谢刘洪岭先生和吕俊芳经理热情周到的服务。客户非常满意！', '短评打分': 5}
{'短评内容': '细节很好，服务到位……热情周到，谢谢刘洪岭管家的服务，很细心……', '短评打分': 5}
{'短评内容': '服务相当棒！有宾至如归的感觉，送红枣汤送银耳羹送迎宾水果....贴心服务，有心的酒店一定顾客盈门！', '短评打分': 5}
{'短评内容': '服务相当棒！有心的酒店一定会赢得客户！', '短评打分': 5}
{'短评内容': '整体很好', '短评打分': 5}
{'短评内容': '早餐很丰盛，还有午茶随便吃，可以在房间订餐，味道也不错，重要的是客服部的服务超级好，很贴心，外面刮大风，还给提供口罩，尤其是客服管家刘洪岭，下次出行还会选择这个酒店', '短评打分': 5}
{'短评内容': '酒店有免费的停车场，周围交通方便，公交地铁都有，孩子到店还收到了暖心小礼物，感谢客服管家刘洪岭贴心服务', '短评打分': 5}
{'短评内容': '非常感谢杨美玲客服人员！十分体贴！', '短评打分': 5}
{'短评内容': '服务员张晓妮的态度很好特别好  刚进酒店的时候就会有人送过来茶水和热毛巾  办理入住之后告诉我们有茶水吧知道我们第一次来还把水果母奶送到屋子里', '短评打分': 5}
{'短评内容': '非常好的服务，谢谢！', '短评打分': 5}
{'短评内容': '挺不错的 环境优雅 干净利落', '短评打分': 5}
{'短评内容': '酒店不错，离地铁站要走五六分钟，没有西安的美豪爽！！', '短评打分': 5}
{'短评内容': '因为想体验北京老胡同的四合院，就选了这家酒店。酒店位置很不错，就在南锣鼓巷菊儿胡同。酒店的装修古香古色，颇具特色。然而，入住当天店员说因为员工过年还没回来，房间打扫缓慢，等了一个多小时才入住。但是这不能成为理由好不好，既然你知道过年期间缺员工，就不应该开放这么多房间预订。你既然订出去这么多房间，就应该付加班费留足够的员工好不好。入住的房间虽然不是最高级的，但好歹也是商务级别的，结果进去之后发现下水道臭味很难闻，一晚上开着浴室排气扇很吵却也没多大排臭气的效果，希望改进。', '短评打分': 5}
{'短评内容': '第一次来天津，第一次来美豪，一进大厅就受到店员的热情迎接，又是热毛巾又是姜汤的，受宠若惊好不好。从来没有见过这样热情的服务。更为惊喜的是，入住房间比想象的大很多，装修也很不错，而且还有欢迎的水果，虽然不多，但也足够了。如果有六颗星，我会果断评六星。', '短评打分': 5}
{'短评内容': '基本满意，服务态度不错', '短评打分': 4}
{'短评内容': '300多的价格绝对物超所值，装修和设备很新，服务员也很热情，下次还会住。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间偏小，服务超好，送水果还有商务下午茶', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '酒店很不错，服务很好，很贴心，交通也比便利，建议在房间没增加一些零食或者方便面类', '短评打分': 5}
{'短评内容': '服务很好，住着也各种舒服，干净…各方面都很满意', '短评打分': 5}
{'短评内容': '服务特别好，房间配置都很不错～值得推荐！另外，床很舒服…', '短评打分': 5}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '房间干净，卫生间非常清洁！达到四星级标准！周边的配套比较齐全！距离400米有个海中鲜广场，海鲜非常多！', '短评打分': 5}
