{'短评内容': '地理位置好，离高速口近，停车方便，早餐还可以。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '干净，宽敞舒适！', '短评打分': 5}
{'短评内容': '位置有点偏，晚上安静，', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐特别好吃，很丰盛', '短评打分': 5}
{'短评内容': '合作愉快～', '短评打分': 5}
{'短评内容': '很好的，环境各个方面都不错。', '短评打分': 5}
{'短评内容': '还可以，服务一般，设施也一般，但比较方便！', '短评打分': 4}
{'短评内容': '服务一般，早餐差', '短评打分': 4}
{'短评内容': '酒店服务态度挺好，房间环境差强人意，迷你吧没有酒，想喝喝酒还要给房务中心电话，在潮汕地区还是喝茶吧。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还可以 比较偏', '短评打分': 4}
{'短评内容': '它說自己是4星5星的甚麼甚麼我說它是零星。從前壹的服務員她拿討厭的嘴臉，我問她房間乾淨嗎她說乾淨，她給我的是在走~最末端的進房間滿地毯發霉有照片為証，搞了半小時是提升了甚麽行政房這裡也有霉點，要開窗通氣房間一陣霉味。整夜不能睡，我是出差的第二天身體累沒精神，超慘!它們的四星五星早餐想吃垃圾就去食吧。', '短评打分': 1}
{'短评内容': '各方面都不错 床很舒服', '短评打分': 5}
{'短评内容': '环境清静，干净，早餐不错', '短评打分': 4}
