{'短评内容': '早餐太差，房间有异味，床单枕头铺盖还有烟味，地毯到处都是烟烫坏的印子，本来房间就臭，晚上还有烧烤烟子飘进来，早上完全是吵醒的，服务员保安态度差，停车位小，就在路边，不会再去第二次', '短评打分': 2}
{'短评内容': '附近吃的地方多', '短评打分': 5}
{'短评内容': '其他一般，性价比较高', '短评打分': 4}
{'短评内容': '可以免费停车，但是是停在公路边的。', '短评打分': 5}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '每次出差都住的这', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很干净、完全出乎意料的超值', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般，偏贵。', '短评打分': 4}
{'短评内容': '周围很多吃的，环境不错，价位适中，设施很齐全，', '短评打分': 5}
{'短评内容': '酒店环境不错，周围吃的也很多。', '短评打分': 5}
{'短评内容': '比较舒服，干净，酒店周边也挺干净的', '短评打分': 4}
{'短评内容': '开始订好了彝王阁酒店，结果被携程通知被取消，这一点上很不讲诚信，己确认，已担保，还是被取消，后来推荐了盛世阳光，酒店还过得去，总算有的住', '短评打分': 4}
{'短评内容': '性价比很高，我们选择的是158的迷你情侣房，虽然房间比较小，但是设施都很齐全，有电脑可以上网，唯一觉得不太好的地方就是，没有电吹风。', '短评打分': 5}
