{'短评内容': '性价比很好！房间很干净！', '短评打分': 5}
{'短评内容': '环境不错，下次会再入住', '短评打分': 3}
{'短评内容': '还可以。。。。', '短评打分': 5}
{'短评内容': '很好。。。。性价比很高。。。。。。。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '交通便利，旁边就是车站', '短评打分': 5}
{'短评内容': '交通便利，旁边就是车站', '短评打分': 5}
{'短评内容': '还行吧！！！！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以&hellip;', '短评打分': 5}
{'短评内容': '不好，床太小了，适合单身的', '短评打分': 5}
{'短评内容': '再次入住，总体还可以。没有香皂，一次拖鞋，其他各项设施都有。价格便宜，性价比高，值得入住。离汽车近出行方便。', '短评打分': 4}
{'短评内容': '第一次入住，环境可以。牙具，毛巾都可以，沒有香皂。有热水壶，空调，液晶电视，无线信号都可以。沒有一次拖鞋。', '短评打分': 4}
{'短评内容': '价格算合适，但是很多无窗。', '短评打分': 4}
{'短评内容': '交通方便，距离汽车西站很近，房间干净，设施人性化，周边生活配套齐全，外出吃饭、购物很方便，出差首选，值得推荐！', '短评打分': 5}
{'短评内容': '价格便宜，环境好，正好在车站附近，出行也方便', '短评打分': 5}
{'短评内容': '关键是距离车站很方便，总体感觉不错，宽敞卫生，性价比没的说。另外，房间的隔音效果可能稍差一点，基本无妨。', '短评打分': 4}
{'短评内容': '酒店可以，前台可以适当提高服务！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间小店设备一般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境还行，服务态度很好。', '短评打分': 3}
{'短评内容': '电视摇控坏了，不过没时间看。房间还可以', '短评打分': 3}
{'短评内容': '整洁干净，服务员蛮热情的，值得入住的经济型酒店。', '短评打分': 5}
{'短评内容': '酒店设备简陋，服务态度一般，附近没有餐馆，', '短评打分': 1}
{'短评内容': '这家酒店干净整洁，交通也还不错，推荐入驻。', '短评打分': 5}
{'短评内容': '经济型酒店，还可以。要是房间带wifi就更好了', '短评打分': 3}
{'短评内容': '酒店设施不错，环境好、干净，安静，内部装修不错', '短评打分': 5}
{'短评内容': '我们是六月九号入住的酒店，很舒适，卫生，服务也很好，下次去贵港还是会选择阳光九九~', '短评打分': 5}
{'短评内容': '交通比较便利，离西站很近出站向右就可以看到阳光九九招牌。另外，那里可是有小妹服务的哟电梯里房间里都有热线电话。寂寞了的同胞可以电话过去咨询行情的。小妹服务的很不错的，你们也可以试试的。哈哈哈！', '短评打分': 5}
{'短评内容': '感觉蛮好的，维一就是热水不够热，上网蛮快的，自己带本本去的，空调也有暧气', '短评打分': 5}
{'短评内容': '感觉还可以，就是七点前没有热水。', '短评打分': 3}
{'短评内容': ' 很好很强大', '短评打分': 3}
{'短评内容': '酒店内布置很好,但是房间稍小...浴室设计也不错...', '短评打分': 5}
{'短评内容': '卫生干净，也挺舒适的。可能是靠近车站的缘故吧，噪声还是比较大的', '短评打分': 5}
