{'descr': '太差 不如如家', 'star': 2}
{'descr': '位于8号和10号四平路地铁口，交通出行很方便，地铁上来就是酒店，但是酒店设施比较陈旧，如能改进一下就更完美了。', 'star': 4}
{'descr': '很一般了 完全是个借住 但价格公道', 'star': 3}
{'descr': '房间有点老，卫生还不错，空间很大', 'star': 4}
{'descr': '住了天就被撵出来了', 'star': 1}
{'descr': '不错ꉂ ೭(˵¯̴͒ꇴ¯̴͒˵)౨”不错ꉂ ೭(˵¯̴͒ꇴ¯̴͒˵)౨”不错ꉂ ೭(˵¯̴͒ꇴ¯̴͒˵)౨”', 'star': 5}
{'descr': '物廉价美', 'star': 5}
{'descr': '电视没有事先调试好，我怎么也弄不出频道;厕所的门是玻璃而且无法上锁，中间只有一条磨砂遮挡，马桶也是时好时坏;床单上有些许弄不掉的污渍;毗邻马路，声音较大。基本住宿需求可以满足。最让我愤怒的是我走的时候在门上挂了“请勿打扰”，回来我就发现垃圾桶里的垃圾没了！！Excuse me？！！', 'star': 3}
{'descr': '可以', 'star': 4}
{'descr': '酒店地理位置不错，四平路地铁站出来就看到了，内部设施一般', 'star': 3}
{'descr': '卫生间卫生差', 'star': 4}
{'descr': '卫生间卫生差，电视不能看，空调不热', 'star': 3}
{'descr': '还行吧', 'star': 4}
{'descr': '墙发霉了', 'star': 4}
{'descr': '房间很不错，服务和硬件都很好，就是就一部电梯有点紧张', 'star': 5}
{'descr': '不会像有的评论说的比较吵啊，还是很满意的，房间很大，交通也方便，不错。就是和ktv一起的电梯有点太纠结了', 'star': 3}
{'descr': '满实惠的 房间很大 但是 不能住7楼 楼上KTV比较吵', 'star': 5}
{'descr': '酒店客房很干净很大，床睡的很舒服，就是电视频道太少，地理位置很好，到8号线5分钟左右', 'star': 5}
{'descr': '床很大，环境还可以，就是地方难找。。。。', 'star': 5}
{'descr': '房间很大，很舒服，出行也很方便，性价比挺高的。唯一缺点就是楼上KTV人很多，但电梯只有一部，要等好长时间', 'star': 5}
{'descr': '环境不错，很好找，以后还会在这住，离大行宫比较近。', 'star': 5}
{'descr': '房间空间大小还好，干净整洁，不错，但走廊靠近电梯的地方气味比较重，晚上开窗外面比较吵，关上窗户还好，总体还行', 'star': 5}
{'descr': '房间设施蛮心的，交通特别方便，总的感觉不错，以后还会介绍朋友来住的。', 'star': 5}
{'descr': '环境很不错啊！', 'star': 3}
{'descr': '隔音差，楼上就是KTV很吵，总台服务态度差，床单上不小心洒了些酒就硬扣了50元赔偿金', 'star': 1}
{'descr': '交通挺方便，打的不好打。如家不错，服务周到。周边小饭店不少，有家苏果超市。', 'star': 3}
{'descr': '酒店这块做的不是很专业，唱K比较方便。晚上有点吵', 'star': 5}
{'descr': '还可以吧，至少唱K方便，比较吵，酒店这块不是很专业', 'star': 5}
{'descr': '优点：地理位置非常好，不太好找，周边吃饭地方很多，交通很便利，公交和地铁都有，离总统府和1912都很近。房价还算合理。\n缺点：酒店只有6、7两层，房间的隔音不太好，没有早餐厅，只能到外面去吃。客房服务稍差，房间打扫的粗糙，如果不退房，房间的水杯是不换的。', 'star': 5}
{'descr': '  酒店的地理位置不错. 周围有许多吃的小餐馆,味道相当好.', 'star': 3}
{'descr': '房间大、淋浴水量大，可以！\n\n南京地铁2号线大行宫附近，走路5分钟可到，打的请讲到文昌巷，师傅一般都会知道的。', 'star': 5}
{'descr': '房间空间大，淋浴水量大、可以！\n\n在南京地铁2号线大行宫附件，走路5分钟可到，打的请讲文昌巷，师傅应该就能知道了。', 'star': 5}
{'descr': '房间挺大，交通方便，就是不提供早餐挺遗憾哒', 'star': 5}
{'descr': '位置还可以，有点难找，在一个弯进去的巷子里，晚上有点恐怖，我们两个女生晚上8点那里到的，本来还想附近逛逛，发现位置太偏也没敢出去', 'star': 5}
