{'短评内容': '基本舒服，设施较旧。', '短评打分': 5}
{'短评内容': '早餐挺好，酒店位置不错，离地铁近。周围环境比较安静，有停车场。', '短评打分': 4}
{'短评内容': '有停车场，比较安静，厂区里面的，有亲戚来，只有住这里最方便', '短评打分': 4}
{'短评内容': '离轻轨蛮近的', '短评打分': 5}
{'短评内容': '酒店干净，服务好！大家可以来看看', '短评打分': 5}
{'短评内容': '酒店不错，只是灯光暗了一点', '短评打分': 4}
{'短评内容': '考试定了一间房间，有早饭虽然种类不是特别多，但是大体上可以的', '短评打分': 5}
{'短评内容': '周边安静，离地铁也不算太远，只是房间设施较旧，大多数插孔接触不良，桌子附近没多余插孔可供电脑使用。', '短评打分': 4}
{'短评内容': '房间大，可免费停车，含早餐，小孩也不加钱，很好。在双碑地铁站附近，非常方便，重庆地铁、轻轨已经较完善，所以到重庆各地都可以，北碚较远，坐地铁也要7元。', '短评打分': 4}
{'短评内容': '酒店离双碑地铁口走路需要10分钟左右，酒店内环境不错，停车方便，我是在国庆大假期间入住的，价格198物有所值', '短评打分': 4}
{'短评内容': '老牌宾馆了，嘉陵厂环境最好的', '短评打分': 5}
{'短评内容': '很好的也，住了几次了，都很好，干净卫生，态度也很', '短评打分': 5}
{'短评内容': '还可以把', '短评打分': 4}
{'短评内容': '这次感觉不错，服务，设施，环境都很好！', '短评打分': 5}
{'短评内容': '安静， 就是不能上网。', '短评打分': 3}
{'短评内容': '謝謝.', '短评打分': 3}
{'短评内容': '周边就这一家酒店，卫生方面还好，服务设施方面有待于提高。', '短评打分': 3}
