{'短评内容': '早餐还可以', '短评打分': 4}
{'短评内容': '有停车场。', '短评打分': 5}
{'短评内容': '帮朋友预订的  没有预订成功', '短评打分': 3}
{'短评内容': '还行，经济实惠', '短评打分': 5}
{'短评内容': '住宿还好，早餐比较差', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '房间还说得过去，前台服务不好不坏，早餐真的是可以忽略，太简单了，而且稀饭都是凉的。装修还没有结束，时有噪音。位置还是不错的，周围都是卖手机 的，离布达拉宫也非常近，步行最多20分钟也就去，交通也很便利。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '听说挺好的', '短评打分': 5}
{'短评内容': '床单都不换，躺着稍休时一裤子的肤皮才知道。马桶上都是血迹也没弄干净吓人啊。这四星不知怎么评的。', '短评打分': 3}
{'短评内容': '还行。交通方便，周边商店，饭店也比较多。晚上可以步行到布达拉宫广场看夜景。只不过宾馆停车场比较小。酒店大门不正对马路。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧！', '短评打分': 5}
{'短评内容': '拉萨最喜欢的一间酒店，价格合理，不会太贵，周围闹市区，但是又很安静，不影响休息，设施设备齐全。', '短评打分': 5}
