{'短评内容': '还可以吧！', '短评打分': 5}
{'短评内容': '还好吧！对的起价格', '短评打分': 5}
{'短评内容': '去火车站很方便，隔音一般，服务一般', '短评打分': 5}
{'短评内容': '网上定的没窗户，到那居然有窗', '短评打分': 5}
{'短评内容': '不能住特价房88元的，无窗真压气！房间一般', '短评打分': 4}
{'短评内容': '这是我住过的最差的地方，没有之一。墙壁发霉，被子破洞，房间小到根本没法看，电话坏的，遥控器坏的。这是看的出来的，不知道被子有没有洗过，可以看到蟑螂腿。', '短评打分': 1}
{'短评内容': '性价比挺好的，交通也方便，离火车站很近！！！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '南宁火车站旁，性价比较高，交通方便！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '床小，卫生用品不高档', '短评打分': 3}
{'短评内容': '并没有什么。', '短评打分': 3}
{'短评内容': '艺龙网上订了两个单人间共296元，说是返现70元，目前还未到账，希望尽快到账，住得很舒服，干净大床房，601比602宽，但是601靠近中华路有点吵，两个房间wifi都不给力，要开门到走廊才连得上，601空调、卫生间排风扇声音大太，嗡嗡响，这些都是需要改进的，其他都好，比如靠近南宁站，去维也纳酒店坐机场大巴也方便，目前朝阳路正在修地铁，入住这里是明智之举，推荐一下!继续努力啊！', '短评打分': 3}
{'短评内容': '还行吧，房间有烟味', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度挺好的，价格还算可以，比较卫生，就是住的房间临近公路，隔音效果不怎么好。总的来说还可以。', '短评打分': 4}
