{'descr': '没屋顶上直接给推到了不开心', 'star': 5}
{'descr': '比较小的一个房间，但是很干净，地面很整洁，房间还是熟悉的黄白色调，值得一提的是牙具比日常见过的要好，浴室水压大，周边小吃很多，距离市府广场也很近，强烈推荐！', 'star': 5}
{'descr': '入住非常满意 京东棒棒哒', 'star': 5}
{'descr': '位置很好找，预订方便，空间大，装修挺好的，设施好，隔音好，早餐很好，安全.离中街挺近，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好，卫生间干净卫生，无异味，地漏干净卫生无异味，房间干净卫生，味道很好，一进屋很香，封包浴巾干净卫生，可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，旁边就可以停车，大堂也', 'star': 5}
{'descr': '位置很好找，预订方便，空间大，装修挺好的，设施好，隔音好，早餐很好，安全.离中街挺近，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好，卫生间干净卫生，无异味，地漏干净卫生无异味，房间干净卫生，味道很好，一进屋很香，封包浴巾干净卫生，可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，旁边就可以停车，大堂也', 'star': 5}
{'descr': '位置很好找，预订方便，空间大，装修挺好的，设施好，隔音好，早餐很好，安全.离中街挺近，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好，卫生间干净卫生，无异味，地漏干净卫生无异味，房间干净卫生，味道很好，一进屋很香，封包浴巾干净卫生，可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，旁边就可以停车，大堂也', 'star': 5}
{'descr': '位置很好找，预订方便，空间大，装修挺好的，设施好，隔音好，早餐很好，安全.离中街挺近，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好，卫生间干净卫生，无异味，地漏干净卫生无异味，房间干净卫生，味道很好，一进屋很香，封包浴巾干净卫生，可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，旁边就可以停车，大堂也', 'star': 5}
{'descr': '非常棒 很舒适 服务员也热情', 'star': 5}
{'descr': '好 很多 非常百非常地好', 'star': 5}
{'descr': '好 很多 非常百非常地好', 'star': 5}
{'descr': '好 很多 非常百非常地好', 'star': 5}
{'descr': '好 很多 非常百非常地好', 'star': 5}
{'descr': '好 很多 非常百非常地好', 'star': 5}
{'descr': '住宿环境还好吧，价格挺便宜的。。。。', 'star': 5}
{'descr': '很好，很快就入住了，很方便', 'star': 4}
{'descr': '京东预订 非常舒适 放心入住', 'star': 5}
{'descr': '住的舒适 京东预订 棒棒哒', 'star': 5}
{'descr': '京东预订 住的舒心 天天好心情', 'star': 5}
{'descr': '京东预订 住的舒心 天天好心情', 'star': 5}
{'descr': '还好。zzzz', 'star': 5}
{'descr': '非常好，很舒适', 'star': 5}
{'descr': '太冷', 'star': 5}
{'descr': '非常满意 好好好好好好', 'star': 5}
{'descr': '非常舒适 下次还会预订', 'star': 5}
{'descr': '非常舒适 下次还会预订', 'star': 5}
{'descr': '非常的理想 还会在京东预订', 'star': 5}
{'descr': '不错的感觉，还有免费矿泉水，服务员阿姨态度很好，前台妹妹态度也很棒，刚开始找的时候有点小麻烦，但是一点不吵，很好！', 'star': 5}
{'descr': '很棒！', 'star': 5}
{'descr': '前台服务态度好！', 'star': 5}
{'descr': '卫生间非常小，周边还行，房间没有顶灯', 'star': 4}
{'descr': '环境还可以，位置也还行，挺满意', 'star': 5}
{'descr': '好好  ', 'star': 5}
{'descr': '房內的衛生欠佳，我用紙抹枱，紙成了灰色，而且地面爛得嚴重，不小心就被絆倒。 一進房，就有一大陣異味。 毛巾雖然獨立包好，但也看到明顯的污漬，而且毛巾有很個洞。估計用了很久。 結如果不是見到評估不錯，一定不訂7天，早知就訂如家，如家比7天好得多。', 'star': 3}
{'descr': '特别好特别好特别好特别好', 'star': 5}
{'descr': '习惯住7天，干净整洁。', 'star': 5}
{'descr': '挺干净的，虽然没有通暖气，但是空调多开一会也挺暖和的，前台态度也不错。', 'star': 5}
