{'descr': '感觉环境挺安静的，就是有点小。', 'star': 4}
{'descr': '挺好的。靠马路，本来担心会吵，不过晚上路边还是比较静。反而走廊如果有人说话会很吵。不过快捷酒店都这样！', 'star': 5}
{'descr': '酒店服务很好，服务员态度很好，下次还选择锦江之星', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '楼房不高临近街道，晚上有点吵，不过总体还不错', 'star': 5}
{'descr': '酒店环境 还算可以，  就是感觉房间有点小。', 'star': 5}
{'descr': '还不错挺干净的以后还会去', 'star': 5}
{'descr': '酒店干净整洁 环境优美 晚上很安静 交通便利 以后还会来住 ', 'star': 5}
{'descr': '没有想象中的好', 'star': 3}
{'descr': '服务态度很好，房间干净。', 'star': 5}
{'descr': '其他都好，就是wifi信号有时不太好', 'star': 5}
{'descr': '感觉这家没其他地方的好', 'star': 4}
{'descr': 'The staff was helpful and breakfast was reasonable with options. The restaurant has a B rating. There was a bug when I checked on the counter in the lobby, but none in rooms.Overall not bad for the pr', 'star': 3}
{'descr': '我只想说房间太小房型太奇葩了，卫生不敢恭维反正下次不会再去...', 'star': 1}
{'descr': '环境不错，有点吵', 'star': 5}
{'descr': '环境不错，有点吵', 'star': 5}
{'descr': '环境不错，有点炒', 'star': 5}
{'descr': '满意，有无线WIFI，信号也很好', 'star': 5}
{'descr': '比较干净的经济酒店，早餐有点贵，房间小了点。', 'star': 5}
{'descr': '性价比很高的经济酒店。菜品比较清淡。就是周围没有什么大的超市。', 'star': 5}
{'descr': '性价比高,环境比较安静.下次去无锡还会去那里住.', 'star': 5}
{'descr': '住宿环境不错。', 'star': 3}
{'descr': '环境还是挺干净的, 但是房间做太多了, 空间包括走廊都太小了. ', 'star': 5}
{'descr': '开始那个房间很吵，貌似给我安排了机房旁边的，后来打电话给了总台，几分钟之后就搞定噪音了，很好的服务，不过第二天早上居然停了好几个小时的电', 'star': 5}
{'descr': '来到无锡已经三次了，这三次都是住在这里感觉很好，就是靠街的房间有一点吵，下面的餐厅服务也很方便。', 'star': 5}
{'descr': '部分房间很大，已经住过很多次了。性价比好。 旁边就是洗脚按摩的地方（正规的哦，别想歪了）。美中不足的是，如果早上不小心晚起的话，酒店早点已经结束，只能穿过马路，到对面的小区里面买东西吃。有包子之类的可选，也有私人小超市。', 'star': 5}
{'descr': '不错~相对比较安静，餐厅离得比较近，方便用餐，就是量少了点', 'star': 5}
{'descr': '还比较干净，服务也很好，第一天只有靠马路的房间了，第二天就给换了。', 'star': 5}
{'descr': '房型很奇特。200元以下的酒店都有一个通病。有很严重的味道。', 'star': 1}
{'descr': '锦江之星一贯的品质。房间设施一般。早餐还不错，品种满足大多数人需要。晚餐什么的，就有点过于单调了。临街不好，太吵。可以在Check in的时候，指定要不临街的房间。', 'star': 5}
{'descr': '房间靠马路面的就是有一些吵，但是各方面条件还是很好的，希望房间里能放一些方便食品能更好一些。', 'star': 5}
{'descr': '设施很新，也很干净，舒服。新装修的毕竟不一样哦', 'star': 5}
{'descr': '酒店为新开业的，设备较新，房间大小适中，处于九龙坡杨家坪步行街黄金地段，吃、住、行方便，价位合理。不足在于新开业酒店的管理未跟上，结账我花了40分钟等候服务员查房，打扫卫生不及时。推荐……对得起价位', 'star': 5}
{'descr': '酒店紧临步行街商圈，地理位置不错，交通便利。\n性价比较高，就是夏天被盖太厚，壁挂空调就显得有点弱了。', 'star': 5}
{'descr': '这家酒店性价比还是挺高的，就是有点不好，隔音效果不怎么样，不过这样的价格已经挺好的了，还有送早餐的，下次去还是会住这边的', 'star': 5}
{'descr': '房间大，干净，价格便宜，很便宜', 'star': 3}
{'descr': '就是房间小了一些，感觉整体还是不错的。以后在入住的时候要选择后边的了，因为前面的有一点吵。我会告诉我的朋友们到那边的时候要入住那里的。', 'star': 5}
{'descr': '服务很好', 'star': 3}
{'descr': '就是房间小一些，别的感觉还都好。就是能不能和别的锦江一样的，吃饭时可以直接打卡，这样的会省去客人一些时间。希望你们能改进一下。另外就是对街道的房间有一些吵，总是会有车跑来跑去的。下一次在来我不要临街的房间了。', 'star': 5}
{'descr': '这家还是很不错的下次来还要到他家住，就是感觉隔音差了一些，但是房间是很干净的。且各方面都很方便。', 'star': 5}
{'descr': '锦江之星，都这样啦，不抱太多期望，但是这家店非常干净和整洁，唯一不足的是走廊有一股气味。', 'star': 5}
{'descr': '有点乱，开了个房间，开门一看根本没收拾：脏被脏毛巾烟头满屋都是。前台能力较弱，一男一女，5分钟，一个入住一个退房居然没搞定，所以我要求处理，她过了10分钟才来，换了对面的8204,说是榻米房，临马路，很吵。原来的8203,地板开裂了，看上去很旧。早餐18,一般不是10-15么？而且星连心在外面，油条根本咬不动。', 'star': 1}
{'descr': '此酒店地段较偏，价格还便宜，离公司较近。', 'star': 5}
{'descr': '环境不错，很干净，服务也很好。下次去无锡还会住那边', 'star': 5}
{'descr': '房间隔音太差，住得比较压抑\n房间隔音太差，住得比较压抑\n房间隔音太差，住得比较压抑\n房间隔音太差，住得比较压抑', 'star': 1}
{'descr': '环境不错可以说在那一段是挺好的。还有一点价格也是快捷酒店中比较适中的一家。相信我不会错', 'star': 5}
{'descr': '不錯，裝修都較精緻，衛生乾淨，但隔音較差', 'star': 5}
{'descr': '锦江之星还是比较实惠的,不过含早餐的话更好了,支持一下.', 'star': 3}
{'descr': '酒店环境还不错，服较热情。', 'star': 3}
{'descr': '还可以环境不错就是在那地方交通不方便价格还高 不太建议 如果你有时间的话也可以试试', 'star': 5}
{'descr': '环境 不错 服务态度不错 员工素质也挺高的', 'star': 5}
{'descr': '房间很好，交通也方便，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '环境不错的 就是价格吗 稍微高了那么点还有吗 就是附近吧 有个学校感觉不是很好', 'star': 5}
{'descr': '酒店卫生做得不错，房间比较干净。床上的被盖太单薄了，冬季希望能够换成厚一些。\n', 'star': 5}
{'descr': '酒店前台服务态度很好。卫生条件也比较好。早餐餐厅要从室外通过，大冷天有些不方便。希望服务做得更周到，对有的顾客在前台和电梯里抽烟的，应该予以制止。\n', 'star': 5}
{'descr': '房间不错，很干净，给人感觉很舒服，就是有一点不好，\n隔音效果很不好，凌晨5点多隔壁的动静都吵醒我们休息。', 'star': 5}
{'descr': '环境很好，很安静，服务热情。要是房间有吹风机就更好了。', 'star': 5}
{'descr': '环境不错，就是房间小了点。到是挺干净。。。。。。。。。', 'star': 3}
{'descr': '距离机场比较近，房间里的设施不错，细节的地方很体贴，没有装修异味', 'star': 5}
{'descr': '入住后感觉不错 酒店出门挺方便的 周围有很多的餐厅 性价比也非常的高', 'star': 5}
{'descr': '环境不错,大床很舒服,经济实惠,够20个字了吧?', 'star': 5}
{'descr': '第二次入住，环境什么的都挺好的，就是晚上怎么冒出了很多蚊子呢', 'star': 5}
{'descr': '离单位比较近，相对其他快捷酒店我更喜欢锦江之星的装修风格，简简单单给人一种宾至如归的感觉。经常安排客人过来，客人也比较满意', 'star': 5}
{'descr': '环境还不错吧！总的来说挺好的，就是隔音有点不怎么好', 'star': 3}
{'descr': '总体还挺好的', 'star': 5}
{'descr': '酒店在马路上,很好找,周边也很热闹,服务也不错.\n\n但是蚊子很多!!!一晚上打死了不下10只...', 'star': 5}
{'descr': '很不错的酒店', 'star': 5}
{'descr': '酒店性价比很高，就是早餐比别的锦江之星简单了些。', 'star': 5}
{'descr': '很干净，房间也比较大，在春潮那边有商业街，吃饭娱乐还好~', 'star': 5}
{'descr': '还不错。很方便。', 'star': 5}
{'descr': '房间挺亮挺干净的~也比较安静~有到火车站的车比较方便，下次去还住那里', 'star': 5}
{'descr': '房间有的是不靠窗户的，在新区这边，这家酒店环境还不错。', 'star': 5}
{'descr': '价格还是比较实惠，服务态度也是比较不错，酒店的位置还可以出行去市区什么的都很方便，环境也是挺不错的。', 'star': 5}
{'descr': '不错的选择', 'star': 3}
{'descr': '服务态度也挺好的问打扫的阿姨多要一些洗漱的那种用品都会给不是那种特别小气的， 设施还是很不错，卫生还是挺干净的，位置也挺好找的很明显，价格也很不错，以后我可能都会考虑去其他地方的话都会尽量考虑锦江之星了，确实很不错的。', 'star': 5}
{'descr': '位置还行，酒店的服务态度还可以，但是就是房间是斜的看起来感觉不是太舒适，价格还是有些贵了不过都还好还是能接受的，整体感觉还可以。', 'star': 5}
{'descr': '整体感觉不错，就是房间靠马路有一点吵', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '给同事定的，住了几次了。', 'star': 5}
{'descr': '在新区这边的酒店算比较好的【在差不多价格】，我本人比较喜欢', 'star': 5}
{'descr': '住的好，给朋友推荐的。', 'star': 5}
{'descr': '优点：酒店旁有商业街，饭店很多。网速不错。床很大很舒服。\r\n缺点：淋浴下水慢了点，厕板有松动。', 'star': 5}
{'descr': '干净卫生，床很舒服，服务态度也好，价格公道', 'star': 5}
{'descr': '这个酒店的环境非常好，服务员有很有礼貌，让人感觉非常舒适', 'star': 5}
{'descr': '不错，我下次到还会住这', 'star': 5}
