{'短评内容': '酒店年头不常，适合出差，没有骚扰，不错', '短评打分': 4}
{'短评内容': '离王场新村近', '短评打分': 3}
{'短评内容': '这次出差又订了这里，短住两天，物美价廉', '短评打分': 3}
{'短评内容': '房间很舒服。', '短评打分': 5}
{'短评内容': '这次出差已经在这住了10天，这个第二次增加订单，就冲着实惠性价比高，下次来没有意外还住这', '短评打分': 3}
{'短评内容': '酒店有点老，性价比还可以', '短评打分': 4}
{'短评内容': '酒店还行。', '短评打分': 5}
{'短评内容': '住了两次，真的不错', '短评打分': 5}
{'短评内容': '房间还行，早餐不错，周围吃饭的地方比较多', '短评打分': 4}
{'短评内容': '房间还行，水龙头坏了，早餐不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店老了点，其他都ok', '短评打分': 5}
{'短评内容': '很一般，设施不好，水也不大，洗澡不舒服。不过确实很便宜', '短评打分': 3}
{'短评内容': '房间挺大的，就是周边环境，早上很早就被马路上的车子吵醒了，早餐挺不错的', '短评打分': 4}
{'短评内容': '酒店内部装修和设备都太旧了些，出差住了4天其实挺郁闷的！', '短评打分': 3}
