{'短评内容': '太差了，住一晚不想再住的感觉', '短评打分': 1}
{'短评内容': '比以前旧多了', '短评打分': 2}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '设备老旧，Wifi压根没有。双人间洗漱用品只有单人份。根本不可能如他自己所说四星级。。。。。', '短评打分': 5}
{'短评内容': '清洁工作做不到位，做续住卫生居然不换床上用品，纸巾盒也不放抽纸，只放一卷纸代替，打电话问居然说没抽纸了，这么大一个酒店连抽纸都没有，真是无语，洗手间洗漱用品也是很差，沐浴露就一小支只有大拇指大小，冲凉房的花洒超级不好用，水压调大点就打到身上都痛了，调小点吧，水压又太小了，冲不干净，四星级酒店的服务跟用品居然不如宾馆……', '短评打分': 1}
{'短评内容': '冲凉房的花洒超级不好用，到第二天清洁员做续住卫生时，居然不换床上用品，洗漱用品也是很差，沐浴露还是很小一支只有大拇指大小，居然连抽纸都没有，用卷纸代替，这哪是四星级酒店就连宾馆都不如', '短评打分': 1}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '习惯性的好评&hellip;&hellip;&hellip;&hellip;', '短评打分': 4}
{'短评内容': '什么垃圾酒店连个wifi半天连不上卧槽', '短评打分': 3}
{'短评内容': '嗯，可以，比想象的好。', '短评打分': 5}
{'短评内容': '外墙维修中，并没有早餐，当时没开空调，反映后，服务员请示领导才开了，…………如能改善服务就更好了………', '短评打分': 5}
{'短评内容': '设施旧、设备差、空气差、服务不规范、性价比低。位置较好，有停车场。', '短评打分': 3}
{'短评内容': '我住过最差的四星级酒店。没有之一。下次给钱我去住都不去', '短评打分': 2}
{'短评内容': '价格略贵，挺新的，安静。', '短评打分': 3}
{'短评内容': '没有免费矿泉水', '短评打分': 5}
{'短评内容': '还好吧！毕竟小地方。这个性价比还可以。比较方便……', '短评打分': 4}
{'短评内容': '不好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐太差了，大厅没有位置，又不能打包，怎么吃呀！下次再也不住了！', '短评打分': 1}
{'短评内容': '酒店服务一般，房间设施较陈旧。上网较慢，有些房间还没有网线。\n晚上很晚还有特别服务的电话，真烦！', '短评打分': 5}
{'短评内容': '.还可以.不错', '短评打分': 3}
{'短评内容': '酒店确实相当一般，还不如如家等连锁经济酒店，下次准备住下江滨酒店。哎，痛苦啊，酒店的服务也是一般，设备陈旧，看着就觉得 不怎么干净。', '短评打分': 1}
{'短评内容': '帮朋友订的房，据说性价比还不错', '短评打分': 3}
{'短评内容': '不会再入住，订的豪华大床房变成了双人房，房间也没贴服务台电话，上不了网还得下楼找总台，晚上有骚扰电话，很不爽！', '短评打分': 3}
{'短评内容': '房间设施陈旧，我住房间门口天花板居然漏水。洗衣袋居然还收两块钱！晚上小姐骚扰不断！绝对不会再住了！四星不懂是怎么得的！', '短评打分': 1}
{'短评内容': '住宿感觉不错，而且我选择了一个楼下就是游泳池的房间，可惜的是没有人游泳啊。下次还选择这个酒店的这个房间，哈哈', '短评打分': 5}
{'短评内容': '早餐特别恶心，真的十分恶心，恶心的再也不能恶心。等了30分钟上几个馒头和玉米', '短评打分': 5}
{'短评内容': '性价比还可以，梧州能返现的酒店很少。希望返现额度能提高', '短评打分': 5}
{'短评内容': '酒店还行，停车还要收费，酒点前台服务差。', '短评打分': 3}
{'短评内容': '这家酒店住宿条件还行,但就早餐不敢恭维.说是供给早餐,但到四楼餐厅一坐,不是那种自助餐,更惨的是提供的统一模式的套餐半天来不了.不是说统一模式的早餐不能接受,问题在于,服务员收到早餐票后,还得到厨房去准备.半天来不了,烦死了.酒店应该将统一模式的早餐备好在推车上,这样客人每人拿一份就行了.', '短评打分': 5}
{'短评内容': '当地算是不错的酒店了，虽然比较老了，不过周围还算热闹，马马虎虎吧', '短评打分': 5}
{'短评内容': '当地算是不错的酒店了，虽然比较老了，不过周围还算热闹，马马虎虎吧 \n', '短评打分': 5}
{'短评内容': '总体感觉很一般，房间小，设备不全，但关键还是挺干净的，价格也适中，只是地理位置并不太好，离食街和繁华区挺远的，开车都要20分钟，看个人需求选择吧！如果只是要求一人住的地方那还是可以考虑的。', '短评打分': 5}
{'短评内容': '酒店地理位置还行，服务就差了点，客房还行', '短评打分': 3}
{'短评内容': '在市中心，比较方便，没有中央暖气，服务态度挺好', '短评打分': 5}
{'短评内容': '一般般，卫生还可以，不过装修比较简陋。餐厅东西不错，就是苹果醋简直是天价。', '短评打分': 5}
{'短评内容': ' 还可以', '短评打分': 5}
{'短评内容': '装修很亲切，浴室明亮，交通方便。隔音效果很好。\r\n缺点是电视台频道比较少。消费在同地域偏高，且不含早餐，停车费另交，不太方便。', '短评打分': 5}
{'短评内容': '在梧州，地方不错，下面就有超市，只是酒店没有免费饮用水提供。下面的酒楼不太好，服务态度差，说是不同老板的。没早点。', '短评打分': 5}
{'短评内容': '宽带的网速不是很快，酒店床不够软，洗澡的水不是很大', '短评打分': 5}
{'短评内容': '很干净，很安静，很放心，很厚道，就是自助早餐差点，没什么好吃的', '短评打分': 5}
{'短评内容': '服务态度太差了，没有停车场，停车非常不方便，入住的时候问大堂哪里可以停车，居然理都不理就直接走掉了，搞得不知道在哪里停车，到处找地方停，本来停车位就是酒店的一大问题，还没人引导，作为一个四星的酒店，太失望了', '短评打分': 1}
{'短评内容': '此酒店值得一住。', '短评打分': 5}
{'短评内容': '梧州酒店少   推荐', '短评打分': 5}
{'短评内容': '设施环境还不错，位置很好，但这个价格不含早餐在广西地区相对来说是不低的', '短评打分': 5}
{'短评内容': '挂四星酒店，服务和酒店的质量一般！酒店停车困难！过节的价格偏高！平时的性价比还算OK！', '短评打分': 3}
{'短评内容': '房间很大，设备很新，卫生不错，位置很好。只是冬天没有暖风，降温那天冻得要命，澡都不能洗，冬天入住真是个大问题，服务态度合意识欠佳，房间里没有网线，停车过夜要收15元实在是没道理！！', '短评打分': 3}
{'短评内容': '房间很大，设备很新，卫生不错，位置很好。只是冬天没有暖风，降温那天冻得要命，澡都不能洗，是在是个问题，服务态度合意识欠佳', '短评打分': 5}
{'短评内容': '四星级收费，三星级的服务！价格偏高！地理位置还算适中！酒店和商场及住宅合用停车场！车辆只能停大马路上！住店停车还需要收费15元每夜！非常坑人！房间的床被还算舒服！住店不送早餐！性价比不高！还是推荐大家住梧州唯一一家的四星国际酒店！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '新的酒店，但是气味很大，而且上不了网，设施还算新，性价比勉强', '短评打分': 5}
{'短评内容': '酒店在服务，环境，卫生各个方面都很不错。', '短评打分': 5}
