{'短评内容': '还行，不算好也不算差……', '短评打分': 4}
{'短评内容': '说实在话 这个酒店这个价格的确比较贵 而起床也不大', '短评打分': 3}
{'短评内容': '每次出差都住这个酒店，房间很干净，服务态度很好。', '短评打分': 5}
{'短评内容': '名不符实很差!早餐还不如商务酒店!', '短评打分': 4}
{'短评内容': '将就，一般，有点贵，还有携程的价格是假的，实际会贵点', '短评打分': 4}
{'短评内容': '设备设施陈旧，价格倒是比较高', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店房间不错，没有吹风，中央空调不是很好', '短评打分': 5}
{'短评内容': '尽快担保解冻。', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '取消订房!', '短评打分': 3}
{'短评内容': '酒店软硬件都非常不错，我每次出差都住的这里。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '酒店的环境和硬件都不错，我每次去渠县都是住的这里。', '短评打分': 5}
{'短评内容': '价格还比较合适，服务也挺好，打扫也挺干净，住的挺满意的。', '短评打分': 5}
{'短评内容': '酒店还不错，显得挺新，服务也很周到，住的挺舒适的。', '短评打分': 5}
{'短评内容': '设施配置比较全，卫生也很好，比较干净的一家酒店。', '短评打分': 5}
{'短评内容': '服务比较到位，态度都很热情。印象还不错。', '短评打分': 5}
{'短评内容': '酒店的娱乐休闲设施还不错，环境也很好的一家酒店。', '短评打分': 5}
{'短评内容': '酒店开业时间不长，设施配置都比较新，环境还不错。', '短评打分': 5}
