{'短评内容': '送早餐，送洗浴门票', '短评打分': 5}
{'短评内容': '该酒店服务态度很好，离得不远处就是港口……', '短评打分': 4}
{'短评内容': '不错很好的', '短评打分': 5}
{'短评内容': '环境就那个真不错', '短评打分': 5}
{'短评内容': '挺不错的。', '短评打分': 5}
{'短评内容': '不错的一次住宿经历，市内环境很舒适，很干净，而且无烟房，水的质量也是不错的，以后还会经常光顾的，服务很好', '短评打分': 5}
{'短评内容': '出差需要舒适的酒店，这正是首选的酒店，室内干净，还无烟，挺温暖的，空调设施不错，还有温泉水，感谢酒店的服务', '短评打分': 5}
{'短评内容': '这是很愉快的出差经历，酒店环境舒适，温泉水带洗浴，白天商务累，晚上休息得还是不错的，下次还光顾这里', '短评打分': 5}
{'短评内容': '舒适干净温暖，确实是出差，旅游度假的最适合的酒店了，价格还不贵，觉得很温馨，以后一定经常光顾，性价比很高', '短评打分': 5}
{'短评内容': '舒适干净温暖', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '干净，卫生，服务态度好', '短评打分': 5}
{'短评内容': '价格还可以，就是冬天空调不给力，有点冷……', '短评打分': 4}
{'短评内容': '挺好的，房间挺干净，周边吃饭不太方便！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '入住该酒，旺季时有坐地起价的嫌疑，环境一般。', '短评打分': 1}
{'短评内容': '很好，很干净，地点也不错。洗浴也很好，再去还会去住。', '短评打分': 5}
