{'短评内容': '环境不错，价格实惠。', '短评打分': 4}
{'短评内容': '整体不错。', '短评打分': 4}
{'短评内容': '设备陈旧', '短评打分': 3}
{'短评内容': '房间很舒适，服务很好', '短评打分': 5}
{'短评内容': '房间很舒适，服务很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间好，特别干净，服务好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店太老，别的还可以', '短评打分': 3}
{'短评内容': '交通吃饭都方便，服务好。', '短评打分': 5}
{'短评内容': '交通吃饭都方便，服务好。', '短评打分': 5}
{'短评内容': '回家，这个酒店在三门峡老牌子了。', '短评打分': 4}
{'短评内容': '还不错吧。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格比较实惠，不过三门峡可能消费低，酒店不错。', '短评打分': 4}
{'短评内容': '环境一班，比较小，装修年久', '短评打分': 4}
{'短评内容': '烂没热水', '短评打分': 4}
{'短评内容': '烂没水', '短评打分': 4}
{'短评内容': '很一般的酒店，装修太老了。早餐也差', '短评打分': 3}
{'短评内容': '相当不错，酒店配备，服务态度还是出乎意料的好。值得去住！', '短评打分': 5}
{'短评内容': '这是一家非常规范的酒店，服务非常好，也很专业，房间干净，早餐免费的，但是很丰盛。强烈推荐', '短评打分': 5}
{'短评内容': '酒店环境很好   卫生条件也不错  服务也很好   推介大家预定', '短评打分': 5}
{'短评内容': '环境还可以，周围自然环境很好，但是周围缺少购物 餐饮的地方。', '短评打分': 5}
{'短评内容': '不错，在三门峡应该算非常好的了，下次还会住。推荐', '短评打分': 5}
{'短评内容': '设备设施完好，浴缸还会放几瓣玫瑰，挺好的，不过貌似前台素质没达到星级酒店的标准，还不如如家这些', '短评打分': 5}
{'短评内容': '没有想到在三门峡市还有这么环境良好的酒店！很满意！', '短评打分': 5}
{'短评内容': ' 环境挺好', '短评打分': 3}
{'短评内容': '环境非常好，装修豪华，设施齐全。尤其是床很舒服。服务员态度非常好，有家的感觉。极力推荐。顶', '短评打分': 5}
{'短评内容': '三门峡金玫瑰大酒店管理很到位，服务员工非常敬业。\n', '短评打分': 5}
{'短评内容': '谢谢你们的帮助,下次还找你们.', '短评打分': 3}
{'短评内容': '房间不错，去的时候天气有点降温，房房间内空调很给力，总体还是不错的早餐比时代粤海的强很多，', '短评打分': 5}
