{'descr': '有停车场', 'star': 5}
{'descr': '不错，挺好的', 'star': 5}
{'descr': '冷', 'star': 3}
{'descr': '主要是离我朋友工作的地方近，总体感觉挺好的，前台服务很好，有什么事都跟耐心很有礼貌地解决问题，就是热水出的慢', 'star': 5}
{'descr': '还好', 'star': 4}
{'descr': '还好，没有电梯，服务态度好', 'star': 5}
{'descr': '回长春几次都住的这里，服务挺好，就是房间设施不是很好，床不是很舒服，卫生一般，因为离朋友家近才选择这里，希望能好好改进吧', 'star': 3}
{'descr': '住着还不错，周边很多超市和饭店，饭店都是大饭店，不太适合一个人吃饭。', 'star': 5}
{'descr': '都挺好，就是屋子被有些潮湿', 'star': 5}
{'descr': '到了那儿说大床房没了，让我改豪华商务房，结果花着多的钱，住得还是大床房，感觉被骗了！其他的还好', 'star': 4}
{'descr': '环境好，服务好', 'star': 5}
{'descr': '服务很好，周边吃的也不错。', 'star': 5}
{'descr': '我从12号一直住到14号,问了前台服务员,续房还能享受返现吗?得到肯定的答复是可以的,而且说收148返现部分到我的卡上,结果到今天回来一看,发现根本不是那么回事情.希望 携程你们协调一下.另外服务员态度不错,但基本业务包括周边交通,到机场路线,公交情况,城市情况等,问什么都不知道.出门右转150多米好粥道,简直就是个霸王店,两个早餐犀利糊涂吃了50多头天30第2天20,实在不实惠也不是自助.', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '工作人员服务挺不错的，长影制片厂旧址在附近，去看了电影很不错', 'star': 5}
{'descr': '感觉不错,交通方便,比较宁静', 'star': 3}
{'descr': '感觉不错,交通方便,比较宁静', 'star': 3}
{'descr': '这个酒店住的倒是还挺舒服的，就是这酒店门口打车真不好打啊。。。', 'star': 5}
{'descr': '这个酒店住的倒是还挺舒服的，就是这酒店门口打车真不好打啊。。。', 'star': 5}
{'descr': '房间比较干净。可提供早餐，周边环境很好，就是网速有点慢。', 'star': 5}
{'descr': '房间比较干净。可提供早餐，周边环境很好，就是网速有点慢。', 'star': 5}
{'descr': '总体还不错', 'star': 3}
{'descr': '凌晨到达浦东机场，要去客户那边开会，住这家里客户公司很近，稍作休息。感觉蛮好的，交通很方便，内部设施也还行，满干净的。服务员也很热情，以后还会住', 'star': 5}
{'descr': '我觉得房间有点小，洗手间的门打开了 ，过道就堵住了，人过不去，设计不合理。淋浴的喷头也不好用。相对于其他的连锁酒店价格也算偏高的。但是设施就很一般了。', 'star': 1}
{'descr': '出差周边办事，感觉房间还不错，但隔音稍微一些差。', 'star': 5}
{'descr': 'very good ,clear and tide,feel like home', 'star': 5}
{'descr': '房间很大，环境很好，就是比较简陋一些', 'star': 3}
{'descr': '非常不错，价格也很便宜，100元一晚上还有什么多说的呢，不错', 'star': 5}
{'descr': '设施还可以，也比较干净，靠路边的房间有点吵', 'star': 5}
{'descr': '设施还可以，也比较干净，靠路边的房间有点吵', 'star': 5}
{'descr': '环境挺好 卫生也不错 ……面积就是有点小了  网速也有点慢', 'star': 5}
{'descr': '环境挺好 卫生也不错 ……面积就是有点小了  网速也有点慢', 'star': 5}
{'descr': '房间蛮大的，节日百元房很合算，给个好评，呵呵', 'star': 5}
{'descr': '环境整洁，布置简单实用，满足基本要求，典型快捷酒店', 'star': 5}
{'descr': '酒店设施不错，挺新的，唯一的缺点就是隔音不好，总之还是值得推荐的', 'star': 5}
{'descr': '酒店设施不错，挺新的，唯一的缺点就是隔音不好，总之还是值得推荐的', 'star': 5}
{'descr': '定这个酒店的一定注意了，挨着道太吵了，晚上根本睡不着，那车呼呼的。', 'star': 1}
{'descr': '定这个酒店的一定注意了，挨着道太吵了，晚上根本睡不着，那车呼呼的。', 'star': 1}
{'descr': '典型的快捷酒店，房间简单干净，满足基本需求，适合出差人员居住，距市区较近，交通比较方便。', 'star': 5}
{'descr': '总体里面的布置都挺好的。虽然位置偏了一点。', 'star': 5}
{'descr': '床好大，舒服~，不远处有个全家便利，肚子饿了可以去买吃的，要走10分钟才能到静安寺。。。不知道远不远，个人觉得还是比较偏。。。\n会有OOXX的按摩名片塞门缝。。。要酒店要管管的~', 'star': 5}
{'descr': '酒店设施很新 卫生 环境挺好 但柜台有的服务员感觉很没经验 死板，之前去过几次 网购给的房间怎么是小的房间 不知道是随意安排 还是什么  希望公平对待', 'star': 5}
{'descr': '酒店设施很新 卫生 环境挺好 但柜台有的服务员感觉很没经验 死板，之前去过几次 网购给的房间怎么是小的房间 不知道是随意安排 还是什么  希望公平对待', 'star': 5}
{'descr': '房间干净、较大、视野开阔、交通便利、总体不错。值得推荐！', 'star': 5}
{'descr': '位置不错，但是周围吃饭买东西不是很方便。另外酒店离静安寺不是500米的距离而是大概成年人步行20分钟才可以的。具体原因你懂的。当然还是在你知道方向的前提下！', 'star': 5}
{'descr': '店里环境不错，可以免费上网，很方便，下次还会考虑的。', 'star': 5}
{'descr': '再次入住，因为离家近，空调的效果不是一般的好，就是电视机太破旧 ，可以淘汰了！', 'star': 5}
{'descr': '房间里里柜子都没有，设施很简单，总体来说一般，床很舒服，淋雨喷头到是很大很舒服。', 'star': 5}
{'descr': '很不错的酒店 价格实惠 交通方便 很干净', 'star': 5}
