{'短评内容': '房间大', '短评打分': 5}
{'短评内容': '不是的话山咔咔看着你自己家在哪等你', '短评打分': 5}
{'短评内容': '除了名字带有一定的误导性质以外，其他的没有太多可挑剔的。因为从火车站出来走到酒店不是很方便，要过一座桥和几个红绿灯，总共需要走1.2公里。如果你带了箱子或者下雨天，建议打车。另外，酒店附近没有什么商铺，除了一个面馆。至于酒店本身还是不错的，上电梯需要刷卡。', '短评打分': 5}
{'短评内容': '挺好的，空间合适，住的挺舒服的', '短评打分': 5}
{'短评内容': '环境很好，设施也都是新的。距离景点也方便，距离火车站也挺近的。很适合旅游的。价格也很不错的。哈哈哈哈', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '这个酒店确实不错，住着舒心，而且离观前街，汽车站，火车站都比较近，而且环境还好，下次还会去住', '短评打分': 5}
{'短评内容': '好多次了，实惠，而且在火车站旁边，方便', '短评打分': 5}
{'短评内容': '，，，还好，有点不太好找', '短评打分': 5}
{'短评内容': '体验棒，推荐入住，京东加油！', '短评打分': 5}
{'短评内容': '态度还好吧挺好', '短评打分': 5}
{'短评内容': '不错下次还会再来的不错下次还会再来的', '短评打分': 5}
{'短评内容': '去苏州旅游，定了3晚，用券后价钱划算，只是如家设施太旧，厕所板坏了，冲水不行，打电话给前台叫自己修一下，又不能换房。电视也太小了，离床好远，拖鞋一次性，洗澡完得光脚，水杯一次性，最好多给2个，也太省了。其他还好，住了3天，天天搞清洁，还算干净。', '短评打分': 5}
{'短评内容': '非常不愉快的一次用户体验，超级无语，我都没有入住，预定成功后我第一时间致电有事儿去住不了，还不给退，超级无语，霸王条款！！！', '短评打分': 1}
{'短评内容': '帮朋友订   朋友说服务不好，有很大提高空间！沿马路房间吵', '短评打分': 2}
{'短评内容': '干净卫生，挺好的', '短评打分': 5}
{'短评内容': '不错。出行方便，去哪都有公交。附近卖吃的不多，坐一站到火车站就多了。走路二十分钟内，可到丝绸博物馆。很高大上的公益场所，免费参观，对孩子了解桑蚕文化很有意义，但参观的人不多。推介一下。注意:别误入卖蚕丝被的地方。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '条件位置还可以，出行交通方便', '短评打分': 4}
{'短评内容': '离火车站比较近，比较方便，前面那条路在修路，很脏的', '短评打分': 4}
{'短评内容': '哦旅游出发点一般都在酒店门口。。。太方便了', '短评打分': 5}
{'短评内容': '看到小强 活的 打死！ 后来临时走不成多订一天 果断又看到小强残骸了', '短评打分': 4}
{'短评内容': '离火车站，汽车站，拙政园都很近', '短评打分': 4}
{'短评内容': '环境比想象的好，发卡片的多不管他就是！不能发图片上传！', '短评打分': 5}
{'短评内容': '还可以，挺方便的，住宿环境也不错，很安静，不过离火车站还是有点距离的，走路过去得二十分钟吧，整体来说还是不错的。', '短评打分': 5}
{'短评内容': '很方便很快捷 ，室内环境非常好 床很舒服', '短评打分': 5}
