{'短评内容': '环境一般，隔音很差，在一楼，也没有窗，适合单身人士', '短评打分': 4}
{'短评内容': '在小区内，比较安静，房间装修有点旧了，但该有都有了，性价比还是很不错的。但距地铁站要走10分钟。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店服务态度特别好，亲切有礼貌性价比高', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还行，服务态度有待提升！', '短评打分': 5}
{'短评内容': '点评还有两罐饮料，住了两晚上领多了喝不了，还是给老板省省吧，哈哈。回来特意在给点评一次', '短评打分': 5}
{'短评内容': '独立卫浴、空调，该有的都有了……在会展附近除了青旅应该是最便宜的住处了。不过这是宾馆哈', '短评打分': 5}
{'短评内容': '太差了！枕头都是臭的， 汗臭味，叫服务员换态度还很恶劣！总之很差！从来不写评价的我、第一个差评！非这家酒店莫属！！', '短评打分': 1}
{'短评内容': '酒店离地铁站步行要20分钟，不大好找。设施陈旧，卫生一般。淋浴水不热，没有一次性拖鞋，淋浴房太小。没有早餐，服务态度还可以。', '短评打分': 3}
{'短评内容': '从价格上算性价比高！', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '酒店位置很好，前台客服服务态度很好，房间干净整洁。交通比较方便，客户反映还不错，下次还会选择此酒店。', '短评打分': 4}
{'短评内容': '就车展的商务出差来说还是可以的，就是酒店其实只有一层，床头没有插座！其他相对可以', '短评打分': 5}
{'短评内容': '住宿还不错，以后还是可以继续来这边消费的。', '短评打分': 5}
{'短评内容': '酒店离会展中心不远，交通方便，在小区里面，非常安静', '短评打分': 5}
{'短评内容': '床上用品卫生过得去。只有一很小内窗，空气不流通，有潮湿霉味。服务态度较生硬。', '短评打分': 1}
{'短评内容': '卫生环境一般，不过老板还可以，早晨安排车辆送考生到考场，很是感激。', '短评打分': 5}
{'短评内容': '酒店还可以，服务也还不错', '短评打分': 3}
{'短评内容': '酒店周边环境到不错，但就店的环境就不行了，设施也很陈旧，味道还很重', '短评打分': 1}
{'短评内容': '很潮湿，而且有股味道，唯一的好处是离会展近，走路十分钟就到。', '短评打分': 5}
{'短评内容': '酒店像城堡一样，很喜欢。', '短评打分': 3}
{'短评内容': '酒店房间太小，窗户都没有，不透风。', '短评打分': 3}
{'短评内容': '我从来没有住过这么差的酒店，以后再也不会住了，早餐也是我见过最差的！', '短评打分': 3}
{'短评内容': '离展览馆较近，服务态度还可以，有专车接送\n到会场。', '短评打分': 5}
{'短评内容': '太近展馆了！好. 环境优雅现代. 待客优，性价比好.不豪华，实用！', '短评打分': 5}
{'短评内容': '还行吧！.................挺方便的，早上还有车送呢！......................', '短评打分': 5}
{'短评内容': '太偏僻了，不好找。屋里日用品不是很好，沐浴露洗发水之类的好像放了很久，很劣质。\n桌上都有一层灰~~拖鞋是那种纸质的一次性拖鞋，根本不好穿，在洗手间差点滑倒。', '短评打分': 1}
{'短评内容': '还不错。可以住，卫生间很一般。网络还可以。就是有点闷！！！', '短评打分': 5}
{'短评内容': '太偏僻了，吃饭不方便,房价设施简陋，一进房间心凉了半截', '短评打分': 1}
{'短评内容': '房间太小,基本无窗,房间陈旧', '短评打分': 3}
{'短评内容': 'this is good ,about the clean,and room', '短评打分': 5}
{'短评内容': '广州汇银宾馆离展会近，可以考虑，就是环境要改进下', '短评打分': 3}
{'短评内容': '服务很好 但设施很差，与房价不付。460元的豪华双人间其同等规模的酒店应该不超过120元。', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
