{'短评内容': '还不错呀！店家安排了有窗的房间，赞一个', '短评打分': 5}
{'短评内容': '设施很差', '短评打分': 2}
{'短评内容': '卫生中等 服务较差 配套设施不全 唯一亮点无线网速很快', '短评打分': 2}
{'短评内容': '不错挺好的，空间大卫生干净，两张床，一家人住都够了，我也是住了其他酒店跟这个比起来才觉得这家的好的，值得推荐。', '短评打分': 5}
{'短评内容': '房间特别多，有电梯，环境还能凑乎，空调不会用，早餐时馒头鸡蛋小米粥还有小菜，住宿环境能将就……不是特别差', '短评打分': 5}
{'短评内容': '早餐附近有很多，酒店的不好而且不直接含，位置还不错，附近停车不太方便，酒店门口可以停车，经常是满的，酒店环境一般但附近性价比应该最好了', '短评打分': 4}
{'短评内容': '价格实惠，房间很不错，靠近北京南站，服务也很不错，普通化价格，感觉这个价格在北京住已经很不错了，大写的赞', '短评打分': 5}
{'短评内容': '1） 很早给父亲预定 到了酒店 居然说没房 把一个70岁老头带到隔壁一酒店入住 然后第二天让他回来  2）预定时定了贵些有窗的 实际分配没窗房间', '短评打分': 3}
{'短评内容': 'good hotel and good service best price and good facilities', '短评打分': 5}
{'短评内容': '帮出差来京的客户代订的酒店，离南站比较近', '短评打分': 3}
{'短评内容': '垃圾的携程，骗我说返现20。消费完了又说没有，你妈，去死吧，垃圾。以前的报道看来是真的。', '短评打分': 1}
{'短评内容': '这个价格还行吧', '短评打分': 4}
{'短评内容': '性价比偏低，楼型老旧，环境很差', '短评打分': 1}
{'短评内容': 'Very basic hotel, ok for one night if you arrive late at night by train. Not too far from the railway station. As far as i know there is a subway station near the hotel. I arrived at night and wanted ', '短评打分': 2}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '在这个价位上，还是挺实惠的。酒店在南二环和南三环之间，交通较为便利，适合同伴出游居住。我们入住4天，前两天一直拿不到吹风机，不断的和前台人员反应后才于第三天拿到吹风机（据说该酒店只有一只吹风机，八月份才会统一采购），这一点我们不是特别满意。另外，标间无窗的房间比较潮湿，入住较长时间的旅客不推荐。', '短评打分': 5}
{'短评内容': '酒店还不错，很干净，服务人员态度还行，是住在北京旅行短住的很好地选择，不过离地铁站比较远，如果只愿坐地铁的朋友就不用考虑了，从北京南站过来可以坐72路，只有一站路，不过这车单行，返回地铁站只能走回去，大概20分钟，不过酒店前有公交车，非常方便，48，88路可直达地铁1号线，2号线，天安门，西单等，大概半小时车程，去北京西客站只需乘坐72路可直达！总之，还是比较满意的！', '短评打分': 5}
