{'descr': '好好', 'star': 5}
{'descr': '可以的，性价比', 'star': 4}
{'descr': '性价比高，设施干净，还不错吧', 'star': 5}
{'descr': '电视机节目很少！而且模糊！', 'star': 4}
{'descr': '可以的可以的', 'star': 5}
{'descr': '马马虎虎。。。', 'star': 4}
{'descr': '房间光线很好很亮堂，很喜欢', 'star': 5}
{'descr': '房间光线很好 很亮堂，很喜欢', 'star': 5}
{'descr': '不错，至少没人打扰', 'star': 5}
{'descr': '按照其价位，房间还比较合适！按十分打分，可评8.8分噢！希望下次路过再去体验一次旅行生活！', 'star': 4}
{'descr': '很好的一次入住！', 'star': 5}
{'descr': '快捷酒店，就这水平', 'star': 4}
{'descr': '不错的房间', 'star': 5}
{'descr': '十月一，国庆节，有朋友来玩，帮助我的朋友们定的住的地方，价格比较实惠，平时入住价格更便宜。快捷酒店么，都差不多哦', 'star': 4}
{'descr': '还可以，国庆节朋友来玩住的，这个位置属于外环外，附近离莲花南路和莘庄比较近，交通还算便利，主要是离我家比较近，朋友来玩比较方便', 'star': 4}
{'descr': '环境不错，只是地方比较难找啦！总体感觉满意！', 'star': 5}
{'descr': '环境还行，房间整洁；', 'star': 5}
{'descr': '贵 偏', 'star': 5}
{'descr': '是我公司附件的，帮别人定的，只能说来公司比较方便，', 'star': 5}
{'descr': '，感觉很好', 'star': 3}
{'descr': '很好的酒店 服务也不错 对得起这个价格！', 'star': 5}
{'descr': '不知道是不是墙壁刚弄过，房间里有股味道，换了一个后还是有一点，就没高兴再换！但总体来说，还是可以的！', 'star': 3}
{'descr': '住了很多次了，一直都挺满意的，而且，重要的事，这次入住的时候发现有电吹风了，非常好，哈哈，以后还会继续光顾的', 'star': 5}
{'descr': '还不错吧。主要是交通比较方便，网上订节省不少不必要的麻烦。不过，卫生间门锁居然是坏的。修修吧。', 'star': 5}
{'descr': '最失望的一次经历。房间没打扫好就通知客人入住。设施陈旧不说，空调还是快的。等了半天才修好。', 'star': 3}
{'descr': '粉色的被褥，如家的感觉！', 'star': 3}
{'descr': '很好，服务人性化很好。就是房间有点潮，估计跟天气有关。', 'star': 3}
{'descr': '环境蛮好的，服务也蛮好的。房间蛮大的，满舒适的，下次还会去住。', 'star': 5}
{'descr': '环境实在是有点差，卫生间门锁居然突然坏了，将我和仅4岁的女儿锁在里面，偏偏此时酒店停电，漆黑一片，女儿吓坏了。所定的另一间卫生间的门锁即将脱落。前台服务处理态度冷淡，冷漠。失望，失望，还是失望！希望酒店加强管理，提高管理水平，盲目扩张管理滞后，自毁招牌嘛。', 'star': 1}
{'descr': '此酒店三楼部分房间有蟑螂', 'star': 3}
{'descr': '住了3天感觉还不错  房间挺大的  环境也比较好  服务员态度很好   ', 'star': 5}
{'descr': '隔音效果差、隔音效果差、隔音效果差隔音效果差、隔音效果差、隔音效果差隔音效果差、隔音效果差、隔音效果差隔音效果差、隔音效果差、隔音效果差……这是最让人郁闷的。如果你不想7点被旅行团吵醒，不想午睡被服务员吵到，那么就别选这家吧。住在里面觉得自己住在一个四面无墙的房间。太痛苦了，什么声音都能传进来。卫生间有点异味。空调OK。电视信号不好，偶尔很清楚，偶尔。离莲花路地铁站15分钟的公交吧。', 'star': 1}
{'descr': '很好！我住的5楼大床房，很宽敞， 就是卫生间楼上的下水道声音响了点！', 'star': 5}
{'descr': '到时很晚了，入住的还不错，周围很方便，就是临街，有点吵', 'star': 3}
{'descr': '很不错房间隔音好，安静，舒适。前台服务也很好', 'star': 5}
{'descr': '帮朋友订的，靠近大马路，蛮吵得.换酒店了', 'star': 1}
{'descr': '清明小假入住的，乘坐117路到新门口下车挺方便的，但是2号晚上有台风，打的士说去新门口被拉去了另一个新门口，而且态度还挺那个（苏A-B5126），这个比较郁闷= =！友情提示：这家如家周围有个江苏残疾人康复中心，可以在一定程度上视为地标呵呵。总体情况是不错的，住宿的舒适度、硬件设施都挺令人满意吧，宽容的说，在假期里面，这个价格和质量还算是匹配的呵呵。旅行在10点前返回的旅客推荐入住，倘若10点后返', 'star': 5}
{'descr': '安静，大厅气氛不错，靠窗的房间，正气，阳光好，空调给力。毛巾陈旧，下水不畅，热水不稳，建议改善。随便开个房，可以住住，谈不上舒服，较为安静安逸。', 'star': 5}
{'descr': '环境还不错，交通也很方便，房间很干净！以后还会选这家的！', 'star': 5}
{'descr': '这个位置这个价格还是比较好的 我想下次还是会住的', 'star': 5}
{'descr': '酒店不错，房间挺大，毛巾有些旧了，电视有雪花！', 'star': 5}
{'descr': '很干净，交通很好！', 'star': 3}
{'descr': '因为是特价房，所以没有窗户，有点小闷，不过在上海以这个价钱住条件也不错了，毕竟服务和设施还是可以的。。。', 'star': 5}
{'descr': '挺干净的.还不错.有机会下次还会住的.', 'star': 3}
{'descr': ' 不错，挺好的，交通很方便。', 'star': 3}
{'descr': '交通方便，但设施一般，早餐没有锦江之星好。价格较便宜', 'star': 5}
{'descr': '感觉很还可以，东西有些陈旧，交通不太方便。总体可以推荐，挺划算的', 'star': 5}
{'descr': '入住很顺利，只是合作的房间比较少,想住数码房的。大床房也不错啦，感觉很愉快!谢谢', 'star': 3}
{'descr': '酒店不错，位置有些偏，推荐一下还行，房间也还可以', 'star': 5}
{'descr': '性价比很不错 服务好 房间也干净。唯一不足就是隔音效果不是很好。但是依然好评五颗星哟~', 'star': 5}
{'descr': '酒店感觉还不错，就是服务差了点，洗浴室有点小。', 'star': 3}
{'descr': '安静，简洁，干净。', 'star': 3}
{'descr': '靠路边实在是太吵了，房间隔音太差，隔壁电视听得一清二楚', 'star': 1}
{'descr': '酒店环境还不错,服务态度很好,你们的服务也很好', 'star': 3}
{'descr': '蛮好的，房间挺干净，就是离马路近了点，晚上有点吵', 'star': 5}
{'descr': '酒店还行吧，蛮方便的', 'star': 3}
{'descr': '挺好的， 第二次来。。。但是依然有蟑螂，服务还好啦~~~~~', 'star': 5}
{'descr': '位置很不好找，门口又无法停车，挺乱的，距中央门也挺远的。', 'star': 1}
{'descr': '环境不错，设施齐全，就是有点吵，总体来说还是比较舒适的 ', 'star': 3}
{'descr': '环境不错，很安静，室内设施也还行，就是卫生间淋浴的水龙头出水太小，水下来显得没压力。', 'star': 5}
{'descr': '朋友去住的，据说挺不错。位置非常好，离火车站很近，附件环境也还说得过去。', 'star': 5}
{'descr': '蛮好啦，服务态度不错设施齐全，隔音也还不错，就是真的有蟑螂~~看到2只~~一只死的，又打死一只。。。', 'star': 5}
{'descr': '＋挺干净的！房间也大！各方面都挺满意的！不错！', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '整体感觉不错，如家的各个店感觉都差不多。可就是隔音效果不好，还有就是那天早餐的时候人多，比较混乱，可能跟那天很多人都赶着考试有关。', 'star': 5}
{'descr': '条件很差，卫生也不行', 'star': 3}
{'descr': '不错,但没有纯净。', 'star': 3}
{'descr': '不错，后面就是免费停车场。周边环境也不错，还算安静', 'star': 5}
{'descr': '还行吧  带亲戚去考试的  有点吵  有一间房间的电视有问题  其他还行', 'star': 5}
{'descr': '早饭特差居然还要15块钱,室内有蟑螂.设施比较旧', 'star': 1}
{'descr': '酒店环境不错；离汽车站、火车站也不远，服务比较满意，环境很安静。总体推荐！', 'star': 5}
{'descr': '早饭太差,从来都不变,其他还不错,推荐标准间', 'star': 5}
{'descr': '整体不错,就是周末涨价这一点不太好,希望能改进', 'star': 5}
{'descr': '整体条件不错,背街的一侧比较安静,不过早饭有点一般,', 'star': 5}
{'descr': '里面的早点太难吃啦，，品种还少，每天都一样，也不更新一些别的东西、、', 'star': 5}
{'descr': '希望及时更新里面的商品，特别是里面的饮料，有些饮料已经卖没了，半个多月来就一直没有再放这种饮料进去，我每次想再喝这种饮料，每次去都没有。。我在这个酒店前后都有一个月，一直都没有再放那种饮料啦。。。', 'star': 5}
{'descr': '很安静,条件也不错,但交通不是特别方便,附近吃饭,仓买等不多', 'star': 5}
{'descr': '价格有点高，不过南京都贵（相比苏州，上海而言，这个就不懂了..）其他还不错，房间空间比较大，配有防毒面具，消防很到位。就是灯不太好，比较暗，缺床头灯。', 'star': 5}
{'descr': '整体环境不错，房间也比较干净，面积也比较合适！但是不送早餐，晚上周围没有什么好玩的地方。', 'star': 5}
{'descr': '  卫生一般，隔音不太好，我住的那天有一群小孩五点多就开始砸床，郁闷！交通不方便。', 'star': 3}
{'descr': ' 每次都只住这家，。很不错哦\n 很喜欢\n环境不错，离公司还近', 'star': 5}
{'descr': '酒店不错，莘庄地铁站出来后打的13元即到。但附近环境不是很好，都是汽车的维修店。较偏僻。', 'star': 5}
{'descr': '，还可以，房间不算大，3张1米2的床，离中央门挺近的，很方便。', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '中规中矩吧。房间不大，网速还可以。\n电视还不错。', 'star': 5}
{'descr': '价格便宜，交通方便，离火车站不远，在居民小区旁边，周边生活设施一应俱全，房间条件一般，早餐还行，对得起这个价格。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '房间还不错，早餐要提升一下，地点和交通都蛮方便，火车站或中央门打的起步价差不多能到', 'star': 5}
{'descr': '酒店总体不错，设备齐全，安静舒适，交通便利', 'star': 3}
{'descr': '房间环境不错，交通也蛮方便的，早餐建议改进一下', 'star': 5}
{'descr': '房间还是可以的，但是建议早餐还要改进一下，没有我去过的北京、上海好', 'star': 5}
{'descr': '环境还不错，就是房间隔音效果很不好……我们隔壁洗澡都听的清清楚楚的\n总感觉人家是在开我们房间的门', 'star': 5}
{'descr': ' 环境不错 挺干净的', 'star': 3}
{'descr': '帮朋友订的，酒店环境不错，整体还行，希望下次再推荐其他人', 'star': 5}
{'descr': '很好哦，环境很好，位置也很羡慕，很好找到的啊啊', 'star': 5}
{'descr': '对条件比较高的请不要定双标。', 'star': 3}
{'descr': '很好，空间大，设备齐全，干净卫生，住着很舒服', 'star': 5}
{'descr': '位置还算可以，离中央门长途车站和火车站比较近，交通也比较方便，房间还算比较大', 'star': 5}
{'descr': '酒店设施比较新，还干净简洁。安静，早餐一般要15元。', 'star': 5}
{'descr': '\u3000酒店服务很好,设施也不错', 'star': 3}
{'descr': '挺好的。附近消费比较低。\n住的挺舒服的。如家想来不错。', 'star': 5}
{'descr': '服务很周到,居住环境也还不错,隔音效果相比较一般的酒店宾馆要好多了!', 'star': 5}
{'descr': '朋友来上海办事,就在我公司附近,经常预定这家店.整体还不错.', 'star': 5}
{'descr': '环境还不错', 'star': 3}
{'descr': '还可以，就是打95折少了点。', 'star': 3}
{'descr': '还不错哈哈哈哈哈哈哈哈。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '总的来说不错，就是在网上订的房间比前台当天同样房间价格还高。怎么解释？', 'star': 5}
{'descr': '好00000000000000000000000000000000000000000', 'star': 5}
{'descr': '房间有点小。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '房间比较大，隔音差了点 没有浴缸。。交通不太方便。。服务态度不错。', 'star': 5}
{'descr': '住这家真还不如住宛町路那家，位置太偏，当初定酒店时没做好功课。这么冷的天还只提供一床薄被子，空调制热效果一般，我都开到27度了，还是冷，熬不住了想加一张被子，却被告之当晚入住满了，没有被子提供了。可恶，无奈之下只好把有限的被子折起来盖，勉强过了一夜。', 'star': 1}
{'descr': '   酒店交通方便  装修感觉不是太理想', 'star': 3}
{'descr': '服务不错', 'star': 3}
