{'短评内容': '太棒了', '短评打分': 5}
{'短评内容': '新装修的还不错！有早餐，主食多但是没有热菜而且有的东西是头一天剩下的加热的！房间环境和卫生都不错交通便利！', '短评打分': 5}
{'短评内容': '不错的酒店，经济实惠，主要是吃饭在楼下餐厅，吃的自助火锅排骨，20元一位，太让人留恋了，住的很优惠，还早点，以后再去保定还要住这儿', '短评打分': 5}
{'短评内容': '免费早餐一般，但是酒店的午餐和晚餐做的非常好，价廉物美。非常适合孩子。位置靠在唐县市中心，有专属免费停车场。主要房间价钱不贵，性价比非常合适。酒店设施相对齐全，新装修的，为客户想的非常周全。', '短评打分': 5}
{'短评内容': '早餐基本还可以，只是餐具水淋淋，不卫生。希望改进。', '短评打分': 5}
{'短评内容': '房门已晃荡晃荡听到声音了，该修修了吧。楼下餐厅很好', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '下次一定还要继续住你的酒店，各方面条件都比较好。', '短评打分': 4}
{'短评内容': '住宿的条件不错，餐厅超赞！全是美味！好吃不贵！服务一流！', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '卫生是非常好的，可能我运气差，挨了个会议室。早上5点多就开始开会了，半夜入住的我肯定是没休息好了。害得我睡懒觉没吃成酒店的营养早餐。', '短评打分': 3}
{'短评内容': '性价比还行！酒店较老，早餐一般，没什么吃的！', '短评打分': 3}
{'短评内容': '涂抹默默摸了努力了UNO默默哦', '短评打分': 3}
{'短评内容': '房型较老，设施还不错', '短评打分': 3}
{'短评内容': '工作的关系第二次入住了，其实小县城也没有太多选择，我们是后半夜到达的，前台的服务员盖着大被躺在拼起来的椅子上睡觉，被我们叫醒，蛮可怜的，早餐不是自助，很坏的习惯，望改正！', '短评打分': 5}
{'短评内容': '位置很好，很容易找到，很安静，也还算干净吧，楼下的餐厅晚餐还可以，早餐不是自助的，而是有桌子挡着，要什么服务员夹给你，别扭', '短评打分': 5}
{'短评内容': '半夜12点，服务员敲门并打开房门，是警察查身份证，被闹醒了，吓着了，说是要开十八大了。另外蚊子太多。', '短评打分': 3}
{'短评内容': '服务质量有点差', '短评打分': 3}
{'短评内容': '一般小宾馆，总体还行吧，毕竟价格也实在。服务很拘谨，但是还是到位的。', '短评打分': 3}
{'短评内容': '设施有些老旧，床太小，通风也不是很好，没有钥匙也没有房卡，出门很不方便！', '短评打分': 1}
{'短评内容': '服务一般，比较干净，高速封路后不错的选择', '短评打分': 5}
{'短评内容': '服务一般可以住', '短评打分': 3}
{'短评内容': '竟然是三星牌子！？价格确实不高，又是县城，但环境确实太差，难道这家老板从来不花钱装修维护吗？~进门薄的红色地毯一片片黑，脏脏的卫生间，防盗铁门猫眼是个大圆洞，还不如直接开着门！！！太差劲了，简单没关系，至少要干净安全啊，这是基本要求~~~', '短评打分': 1}
{'短评内容': '环境一般，应该是比较老的宾馆了，应该翻新装修了', '短评打分': 1}
{'短评内容': ' 服务挺好的，环境也还行，总的来说，房间有点小气，跟跟连锁快捷洒店还是有差距。', '短评打分': 5}
