{'短评内容': '兔兔兔兔突突突', '短评打分': 5}
{'短评内容': '在酒店附近参加晚宴，由于第二天早晨7点的飞机出行，所以就近选择了这家酒店。酒店是老酒店了，设施很陈旧了，但服务人员还是很不错，尽量在满足客人的要求。由于第二天早上走的太早，所以半天预约不到车，感谢前台服务人员花了不少时间帮我预定了正规出租车。酒店整体性价比还是不错。', '短评打分': 4}
{'短评内容': '开完都没住，不过应该可以', '短评打分': 4}
{'短评内容': '太老的酒店，设施极旧，差差差。', '短评打分': 1}
{'短评内容': '环境很一般，条件不是很好', '短评打分': 3}
{'短评内容': '開車繞了2圈才找到，條件一般，能免費停車，不錯', '短评打分': 4}
{'短评内容': '地理位置不错，但是酒店设施有点老啊。', '短评打分': 5}
{'短评内容': '90年代的招待所。以后应该不会来住了。早餐我出了40买的。进入就一个人在吃，那个难吃。。。吃了个包子有人。外面小店出10块钱吃得饱饱的。', '短评打分': 2}
{'短评内容': '酒店看起来比较老了，这个价格应该算还可以，住着也挺干净的，在慈云寺小区旁边，设施陈旧，不过价格公道。 帮别人定的。 ', '短评打分': 4}
{'短评内容': '说实话，真的是不怎么样', '短评打分': 3}
{'短评内容': '还好还好还好还好还好还好还好还好还好', '短评打分': 3}
{'短评内容': '酒店前台的服务小生有可能是新来的，沟通的时候除了一点小意外，不过很快帮我们解决了，位置不错，很容易找到，房间也挺干净，经常来北京，就喜欢住这样性价比高的酒店', '短评打分': 5}
{'短评内容': '设施老旧', '短评打分': 3}
{'短评内容': '酒店环境一般，经济实惠', '短评打分': 4}
{'短评内容': '位置好，就是老、旧、服务一般', '短评打分': 3}
{'短评内容': '设施偏旧但在这个规模的酒店里价格算可以的了~', '短评打分': 5}
{'短评内容': '酒店离地铁1号线大望路站与四惠站都比较近，东四环边上，设施略有点旧，卫生情况还不错。是唐山市驻京办所在地。适合出差。', '短评打分': 5}
{'短评内容': '宾馆环境不错，房间很大，服务挺好。', '短评打分': 3}
{'短评内容': '条件不错，挺满意的酒店 ，下次还会入住..', '短评打分': 5}
{'短评内容': '不错,晚上很安静,早餐比较丰富.出差一直住在这.。', '短评打分': 5}
{'短评内容': '服务态度虽不很热情,但诚恳实在,内外环境都不错.', '短评打分': 3}
{'短评内容': '房间干净，位置偏远。价格偏高，饭菜比较贵', '短评打分': 5}
{'短评内容': '给朋友定的，主要是离家近。\n所不上是4个型的酒店，但是挂的是。价格也还可以勉强接受，稍贵了一点儿。', '短评打分': 5}
{'短评内容': '住的是套间，很宽敞，舒服!离四惠桥很近，交通方便!下次还来住!', '短评打分': 3}
{'短评内容': '价格还算可以，但是设施稍显陈旧，个别空调不足，前台的主动服务意识不足，显怠慢。', '短评打分': 1}
{'短评内容': '唐山大厦卫生条件很好。服务也很到位。', '短评打分': 3}
{'短评内容': '还不错！111111111111111111111111111111\n就是打出比较不便！！！！！！！！！！！！！！！！1\n不送早！不方便！！！！！！！', '短评打分': 5}
{'短评内容': '这个酒店还算不错。但是当天房间紧张，退房时候稍微有点点慢。其余都好。', '短评打分': 5}
{'短评内容': '＋环境不错，就是设施陈旧了些，该重新装修一下啦:)', '短评打分': 3}
{'短评内容': '酒店位置还不错，设施也可以，卫生也干净，下次还来。', '短评打分': 5}
{'短评内容': '酒店位置不错，酒店干净，设施也可以，以后还来住。', '短评打分': 5}
{'短评内容': '因公出差  办事方便  性价比不错的酒店，虽然设施有点旧。', '短评打分': 5}
{'短评内容': '房间设施陈旧，跟三星酒店都有差距，上不了四星。', '短评打分': 1}
{'短评内容': '酒店设施有点旧了，被褥到也干净，性价比有点高。', '短评打分': 5}
{'短评内容': '位置很好在我司对面', '短评打分': 3}
{'短评内容': '酒店就是唐山市驻京联络处，也就是个招待所水平，价格又贵，只有大堂和餐厅是装修的，其他也就是上个世纪八十年代水准！！', '短评打分': 1}
{'短评内容': '唐山大厦条件卫生都很好！就是地方不好找', '短评打分': 3}
{'短评内容': '在我公司对面,酒店很好', '短评打分': 3}
{'短评内容': '工作来到这里。酒店还可以。出行也算方便。环境很干净', '短评打分': 5}
{'短评内容': '性价比很高，周边交通很方便，下次还会入住。前台服务态度需要改进', '短评打分': 5}
{'短评内容': '在这个位置这个价格很好了，虽然酒店设施有点老，但总体不错', '短评打分': 5}
{'短评内容': '在北京的这个位置算得上性价比非常高的了，房间非常大，设施也算过得去', '短评打分': 5}
{'短评内容': '酒店一般,价格却贵', '短评打分': 3}
{'短评内容': '服务好', '短评打分': 3}
{'短评内容': '性价比不错！！挺好的总体来说。！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '套间还不错，我比较喜欢大床房型套间。有些房间的设施需要更新了。', '短评打分': 5}
{'短评内容': '距离cbd超近，价格也很合适\n只是打车不太方便，需要走出200米', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '比较安静， 交通便利， 价格也比较适中。', '短评打分': 5}
{'短评内容': '行政套房比较大，门口不好打车，前台服务一般。', '短评打分': 5}
