{'descr': '不怎么样呀', 'star': 4}
{'descr': '酒店干净卫生，价格划算', 'star': 5}
{'descr': '位置不错 也很肃静。就是装修有点旧', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '房间小的，设备垃圾的很', 'star': 3}
{'descr': '住的还可以，屋子也挺大', 'star': 5}
{'descr': '还凑合，酒店装修陈旧了点，时间有点长了', 'star': 5}
{'descr': '卫生间反味', 'star': 4}
{'descr': '卫生间反味', 'star': 4}
{'descr': '还好', 'star': 4}
{'descr': '客人挺满意的', 'star': 4}
{'descr': '常住，暖气差。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '一直住汉庭快捷，一级棒', 'star': 5}
{'descr': '好呀', 'star': 5}
{'descr': '物美价廉，房间小，设施一般。', 'star': 5}
{'descr': '很干净，除了厕所有点堵，总体很满意，还会再去的', 'star': 5}
{'descr': '很喜欢汉庭的装修风格，房间整洁干净，服务人员态度好，物有所值', 'star': 5}
{'descr': '服务不错，房间设施再完美点更好了。房间与价格不太相符的感觉。', 'star': 3}
{'descr': '：环境不错。', 'star': 3}
{'descr': '比较经济实惠，位置还可以，邻近主要马路，交通较方便，房间还可以，就是靠马路有点吵。', 'star': 3}
{'descr': '在沈阳中转时临时订的，订的是180元的特价房，结果是208.离沈阳站较近，打车起步价，公交一站，走过去也就30分钟。\n房间一般，比起汉庭的其他店，设施旧了点。房间隔音不好， 隔壁床上的声音都很清晰，还好很快就完事了。', 'star': 5}
{'descr': '不错，地热很好。附近购物有大润发，饮食比较方便。', 'star': 5}
{'descr': '房间很大，也很干净。热水很好。就是房间太大了，暖气不给力，空调又不是很习惯，所以感冒了。不过总体很好。交通也很便利，离沈阳站，太原街很近，旁边就是一个大超市，所以总体很好。', 'star': 5}
{'descr': '地点方便 房间算凑合 态度很好 服务一般', 'star': 3}
{'descr': '环境服务都很好！！不错，不错，~~·~~！~~~~下次还会去的~', 'star': 5}
{'descr': '条件一般，房间还比较暖和，网速大概2兆。', 'star': 3}
{'descr': '很好，床很大。', 'star': 3}
{'descr': '很好，交通方便。环境不错，以后会经常光顾的。。。', 'star': 5}
{'descr': '很好，住着很舒服，环境也很好，以后出门的首选。', 'star': 5}
{'descr': '很好，住着很舒服，环境也很好，以后出门的首选。                                                                             ', 'star': 5}
{'descr': '还不错，就是房间小了一些！卫生间的水龙头漏水，马桶没有冲，并且也漏水，希望汉庭对快捷酒店的设施要检查的勤一些！', 'star': 5}
{'descr': '还不错啊，环境和卫生都还可以，只是房间好像有点小。', 'star': 5}
{'descr': '很满意，地理位置不错，环境也很好，订的周日特惠房，感觉很值~', 'star': 5}
{'descr': '环境,卫生,地理位置都还不错,就是隔音差了点', 'star': 5}
{'descr': '周日百元房 很划算 \n\n房间很宽敞 卫生也不错 隔音效果有点不好\n\n总得来说 物有所值', 'star': 5}
{'descr': '在沈阳这家店算很有南方精致的情调了，落地窗外景色很美', 'star': 5}
{'descr': '舒适，干净，安静，交通便利，喜欢！有需要的话还会去！\n', 'star': 5}
{'descr': '服务、环境都很好，这个店很安静，有机会再去', 'star': 5}
{'descr': '网上订房，提前了好久，到了入住时候却给你留一间又吵，采光也不好，设施陈旧，房号恶心的房间。', 'star': 1}
{'descr': '可以', 'star': 3}
{'descr': '地理位置不错，就是普通大床房的面积小了点，出差办事是个不错的选择！', 'star': 5}
{'descr': '服务员不太热情，卫生说的过去，房间有点小。但总的还可以。', 'star': 5}
{'descr': '交通比较方便，卫条件也说得过去，服务员挺热情，不远还有卖火车票的。不错。', 'star': 5}
{'descr': '干净整洁卫生间嫌小些', 'star': 3}
{'descr': '卫生安全房间宽敞', 'star': 3}
{'descr': '卫生条件挺好，环境不错，不过配套设施比较单一。', 'star': 5}
{'descr': '因为地脚刚好在办事的附近，品质一如既往，下次来还住这里', 'star': 5}
{'descr': '房间隔音很好，也非常干净，但房间面积较小，这可能是经济型酒店的通病吧。', 'star': 5}
