{'descr': '很干净很舒服', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '地方很好找，环境也不错，房间也很干净', 'star': 5}
{'descr': '还可以吧，就是地理位置偏点，适合商务出差', 'star': 5}
{'descr': '房间挺大，就是一些设施有待改善', 'star': 3}
{'descr': '房间不错，就是房费谁给我出呢', 'star': 5}
{'descr': '周围配套少，不过吃东西可以叫外卖', 'star': 5}
{'descr': '只能说一般般吧，快捷酒店都那样，厕所味大', 'star': 3}
{'descr': '网上订房间，到店支付房费居然不能开发票，原因是网上订房不给开发票！！', 'star': 4}
{'descr': '公交系统略欠妥，其他很好', 'star': 5}
{'descr': 'GOOD', 'star': 5}
{'descr': '马马虎虎吧，还可以吧，一般住住可以的。', 'star': 4}
{'descr': '还可以，每次出差都住这里', 'star': 3}
{'descr': '房间一般，周边环境一般', 'star': 3}
{'descr': '环境好，噪音小', 'star': 5}
{'descr': '挺好的，房间很大很干净', 'star': 5}
{'descr': '酒店在27楼，总共三部电梯，去的时候坏了一部，等个电梯比等公交都慢，总的感觉一般。', 'star': 1}
{'descr': '还不错，第二次住，还提供早餐，就是早上没起得来', 'star': 5}
{'descr': '电梯太少！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '地处观音桥，豪标还是很便宜的，环境也不错，好', 'star': 5}
{'descr': ',还不错，也很方便的！', 'star': 3}
{'descr': '服务态度还不错，酒店地理位置不错，下楼就是步行街，吃饭转街都方便，交通方便。但条件不是很好，有点老式，感觉有点沉，还有电梯2部只开1部到27楼的酒店，而且还要等电梯，慢的要死，上下个楼到房间拿东西起码要10分钟，都累了，唉！', 'star': 5}
{'descr': '虽然只要150一晚，但条件太差，根本不值这个价', 'star': 1}
{'descr': '酒店环境不好，电梯也好老，房间很小，也不怎么卫生，酒店服务员反应慢', 'star': 1}
{'descr': '进入宾馆住房有味，不爽！！！！！而且网络用不了！！！！', 'star': 1}
{'descr': '经济实惠，离步行街很近很近，服务态度很好，就是热水有点不给力，刚去的时候半天都不热，后来叫服务员搞了几次才OK的。总的来说很满意。', 'star': 5}
{'descr': '房间有点乱，味道很大，前台服务人员很少，基本都不接电话的，环境不是很好', 'star': 1}
{'descr': '酒店还可以，周围就是观音桥，可以逛街，比较方便', 'star': 5}
{'descr': '环境好！服务好…', 'star': 3}
{'descr': '性价比不错的！地理位置好，交通便利！适合出差办事投宿！', 'star': 5}
{'descr': '地理极佳', 'star': 3}
{'descr': '酒店地理位置不错，下楼就是步行街，吃饭转街都方便，就是公交站略远，找得时候因为不熟悉，费了些劲。住的条件尚可，干净，安静。对了，空调不凉，只感觉到点点凉风。那几天重庆也热。其它还好啦。', 'star': 5}
{'descr': '位置一流，房间三流，对房间要求不高的可以选择', 'star': 3}
{'descr': '位置尚好，临近步行街，27楼，看见对面金源世纪大饭店。房价稍微有点吵。', 'star': 5}
{'descr': '不是很理想 描述的和我看到的有差别 而且没有服务意识', 'star': 1}
