{'descr': '春节放假付款可促进痘痘错', 'star': 5}
{'descr': '卫生间设计欠缺，浴室的玻璃门总有一天会有人赔偿的…房间标注有窗，感觉跟无窗没区别，外面广告牌封死死的！新鲜空气成梦想了…早上退房的时候清洁阿姨说再来，我笑笑…525房间很差劲', 'star': 3}
{'descr': '非常好，前台很热情，地理位置优越', 'star': 5}
{'descr': '酒店离批发市场和客运站非常近，前台的服务非常好', 'star': 5}
{'descr': '去外贸村的，离车站很近，环境相对车站旁边的格林**环境好，附近吃的东西很多！', 'star': 5}
{'descr': '广州白云区石井广大服装城黄绍武1390308644广州白云区石井广大服装城黄绍武1390308644', 'star': 5}
{'descr': '进去的第一反应感觉挺好的！干净卫生！比较适合比较安静！', 'star': 5}
{'descr': '总体还好吧，环境还凑合，位置比较方便', 'star': 5}
{'descr': '车不好停，卫生还可以，小吃也多，离车站，购物市场近', 'star': 4}
{'descr': '环境还是不错的，位置也很好！', 'star': 5}
{'descr': '服务态度很好，下次去还住那。', 'star': 5}
{'descr': '整体感觉很好', 'star': 5}
{'descr': '帮同事订的', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '市场打货方便，车站近，房间被子有点潮不舒服', 'star': 3}
{'descr': '价格有点小高，应该含早餐', 'star': 2}
{'descr': '很好', 'star': 5}
{'descr': '还算干净', 'star': 3}
{'descr': '地理位置比较方便，去汽车站比较近，早餐差点', 'star': 5}
{'descr': '  房间干净比较舒适 有免费的wifi可以使用', 'star': 3}
{'descr': ' 我们入住的莫泰168价格适中，而且房间干净比较舒适… 就是早餐是单早的…', 'star': 3}
{'descr': '还好，住的次数多了也就习惯了......', 'star': 5}
{'descr': '非常满意，房间很漂亮很干净，服务员也非常热情，周边地区交通很方便，离西湖也很近，周围小吃也很多，总之非常满意', 'star': 3}
{'descr': '酒店房间还可以，空间也挺大。酒店服务员的态度也本不错。整体都不错的一家酒店。', 'star': 3}
{'descr': '之前住的是百货大楼那边的如家，相比之下，这家好。附近的邮局还可以发e邮宝。', 'star': 5}
{'descr': '酒店房间比较小 设施也算齐全！主要还是方便', 'star': 5}
{'descr': '环境不错，服务不错', 'star': 3}
{'descr': '房间隔音不是太好，就在汽车南站对面，来服装城的住这家酒店最方便，不过火车站这边比较乱……', 'star': 5}
{'descr': '太差劲的酒店，在酒店里还丢钱，还死不承认，去进货的朋友们打死也不能住这里！', 'star': 1}
{'descr': '环境很好，下次还会住，大厅还有两台电脑供顾客上网', 'star': 5}
{'descr': '环境蛮好，离车站很近，交通很方便，服务人员也很热情', 'star': 5}
{'descr': '挺方便的，周边交通也很便利，很好！下次来，应该还会继续住！', 'star': 5}
{'descr': '总的来说还可以，在汽车南站，附近比较方便', 'star': 5}
{'descr': '很好，很方便的地方~·已经第二次入住了，就在找商场中心', 'star': 5}
