{'descr': '环境还可以吧，价格在上海来说不贵', 'star': 5}
{'descr': '酒店位置优越，有停车场，环境干净整洁 。', 'star': 5}
{'descr': '订的商务大床房没了，酒店就自动升级成3人间的家庭大套房，一个人在房间滚开滚去，好开心啊，很贴心^_^', 'star': 5}
{'descr': '酒店附近有金桥国际商场 很方便 酒店停车位也不会紧张', 'star': 5}
{'descr': '不错，卫生干净，环境好', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '房间感觉还是比较干净的', 'star': 4}
{'descr': '房间很干净！离我出差的地方很近非常好！', 'star': 5}
{'descr': '连锁酒店，马马虎虎', 'star': 4}
{'descr': '很不错', 'star': 4}
{'descr': '比较偏僻，性价不错', 'star': 4}
{'descr': '性价比高', 'star': 4}
{'descr': '性价不错', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '好评', 'star': 5}
{'descr': '好评', 'star': 5}
{'descr': '一般，隔音效果太差，隔壁房间电视机开了一晚上没睡好', 'star': 3}
{'descr': '环境很好服务态度好??', 'star': 5}
{'descr': '干净，整洁，舒适', 'star': 5}
{'descr': '莫泰是不错的酒店、房间的设计很不错。我一般都选择莫泰\r\n', 'star': 5}
{'descr': '环境还不错，地段也可以。但号称是金桥国际广场店，离广场还是有点距离的。', 'star': 5}
{'descr': '地方一般，有点小', 'star': 3}
{'descr': '稍微吵了点！服务不错！', 'star': 3}
{'descr': '交通方便', 'star': 3}
{'descr': '酒店位置一般,周围没什么好去的地方,不过作为经济型酒店,还可以吧', 'star': 1}
{'descr': '还可以吧。离开地铁站有点距离，门口有公交可以直达人民公园和火车站。隔音稍微有点差，入住期间正好赶上附近有开展会，半夜3点大批飞机误点的客人入住，被吵醒。其他都还满意。', 'star': 5}
{'descr': '酒店还不错，挺安静的，从军工路隧道出来就看到了。就是早上车不好打。', 'star': 5}
{'descr': '挺干净的酒店，环境也比较安静，经济实惠，就是离地铁稍微远点，步行约20分钟', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '比旁边的七天卫生多了而且空间大，,价格也比较好', 'star': 5}
{'descr': '很不错。。。。', 'star': 5}
{'descr': '还好，大厅有无线网，干净，晚上没骚扰电话。周围吃饭地方不多', 'star': 5}
{'descr': '之前预定了别的酒店，结果忘记担保到点儿给退了，情急之下预定了这个，中规中矩吧，就是早高峰上班打车不好打', 'star': 5}
{'descr': '酒店不错，比较冷清', 'star': 3}
{'descr': '感觉环境不错。装修比较新。就是周围没什么人气。比较冷清', 'star': 5}
{'descr': '环境和卫生都不错 值得推荐。。。。。。。。。。。', 'star': 5}
{'descr': '还可以。因为是帮人定的，反正没说酒店太次。应该就算不错了。', 'star': 5}
{'descr': '第一次在京东上订酒店，连锁酒店也就那样，卫生比较差。', 'star': 5}
{'descr': '交通方便，环境卫生都还好，餐饮也没问题。出差的话很适合。', 'star': 3}
{'descr': '距离地铁比较远，卫生间很小，还是旧电视！', 'star': 1}
{'descr': '    如同以往莫泰亦家', 'star': 3}
{'descr': '环境不错，比较新的一家莫泰分店。比附近其它分店总体感觉上好。', 'star': 5}
{'descr': '房间不是网上所注25平方米，只有10几.', 'star': 3}
{'descr': '环境优美 干净 利索。工作人员服务很热情\n下次去上海 还会住这里··', 'star': 5}
{'descr': '  环境整洁，舒适，停车场略小。总体尚可。', 'star': 3}
{'descr': '不错，就是设施旧了点，其他的还好，空调不是很好', 'star': 5}
{'descr': '位置比较偏，旁边吃的东西较少，房间网速非常慢，需要改进', 'star': 1}
{'descr': '酒店还不错，电视太小，没有数字电视，可看的台太少', 'star': 5}
{'descr': '服务员态度不是很好，吹风机早上不提供，房间有点小', 'star': 5}
{'descr': '还可以吧，环境很偏僻，离金桥国际商业广场还有段距离呢！\n房间很小，只放得下两张床。', 'star': 5}
{'descr': '离金桥地铁站很近，旁边就是金桥商业广场，吃饭购物都很方便哈。', 'star': 5}
{'descr': '位置比较偏，离地铁远至少要走二十分钟。工作人员服务态度差。', 'star': 3}
{'descr': '总体感觉还不错，卫生也算可以，价格再优惠点就好了', 'star': 5}
{'descr': '环境还可以，蛮干净的，就是卫生间有点窄', 'star': 3}
{'descr': '房间太小', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '这家motel168还算不错，在上海算是好的了。下次来有机会还住。这家motel168还算不错，在上海算是好的了。下次来有机会还住。这家motel168还算不错，在上海算是好的了。下次来有机会还住。这家motel168还算不错，在上海算是好的了。下次来有机会还住。', 'star': 5}
{'descr': 'this is a economy hotel and I will stay this hotel next time\n\n', 'star': 5}
{'descr': '莫泰168（上海浦东大道金桥路店） 家庭房还不错啦  交通便利 离地铁近  就是价位偏高了 不错 不错 不错呢', 'star': 5}
{'descr': '莫泰168（上海浦东大道金桥路店）抱着试试看的态度，先定了一晚，价位适中，干净方便，离地铁近，方便出行，值得推荐', 'star': 5}
{'descr': '还不错，干净，也比较新', 'star': 3}
{'descr': '一如其它168的装修,卫生还好;\n周边环境一般,距离地铁站也近;\n', 'star': 5}
