{'短评内容': '环境、服务一流。', '短评打分': 5}
{'短评内容': '酒店服务真的很好 很贴心 对顾客都很友善 风景不错 让心情更好 食物味道也很好 下次还会继续选择这里！', '短评打分': 5}
{'短评内容': '服务态度好环境好', '短评打分': 5}
{'短评内容': '服务态度好，环境不错', '短评打分': 5}
{'短评内容': '挺好挺舒服', '短评打分': 5}
{'短评内容': '挺好挺舒服', '短评打分': 5}
{'短评内容': '实在太豪气了！就在岭南新天地里面，风景好，房间好#就是价格有点贵，但是因为跟老人家一起出行，最重要是方便嘛！', '短评打分': 5}
{'短评内容': '京东送货快~买的放心~', '短评打分': 5}
{'短评内容': '房间比较紧凑，前台服务蛮好的，一楼还有一个小小的儿童乐园，地段很好，阳台看出去就是祖庙', '短评打分': 5}
{'短评内容': '还不错，经常有送金豆，就会比携程便宜几块钱，反正一样预定，会一直把京东作为比价的一方', '短评打分': 5}
{'短评内容': '很快就确认了。非常棒。一如既往的快', '短评打分': 5}
{'短评内容': '来岭南天地玩都住这里，还行吧', '短评打分': 5}
{'短评内容': '环境好，恰逢生日，送了蛋糕', '短评打分': 5}
{'短评内容': '好就一个字，我只说一次。', '短评打分': 5}
{'短评内容': '不错，服务质量非常好！', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '不错，挺舒服的，有机会再去', '短评打分': 5}
{'短评内容': '态度很好。是能帮到客户解决问题的。所以以后继续支持', '短评打分': 5}
{'短评内容': '清洁、员工很友善', '短评打分': 5}
{'短评内容': '非常好，配得上五星级酒店。', '短评打分': 5}
{'短评内容': '房间比较大，有阳台，部分面相岭南天地，处于祖庙圈的核心位置。', '短评打分': 5}
{'短评内容': '还好，软件和管理稍差。', '短评打分': 5}
{'短评内容': '房间很大。周边环境很好，离岭南新天地很近。就是早上和下午时间有舞狮表演会比较吵一些。来佛山都是住在这里。', '短评打分': 5}
{'短评内容': 'Friendly and flexibility in responding client request. The also have and serve cappacinno at breakfast.', '短评打分': 4}
{'短评内容': '一如既往最好的服务，以后还会过来！', '短评打分': 5}
{'短评内容': '一如既往最好的服务，以后还会过来！', '短评打分': 5}
{'短评内容': '一如既往最好的服务，以后还会过来！', '短评打分': 5}
{'短评内容': '一如既往最好的服务，以后还会过来！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店卫生，交通方便。', '短评打分': 5}
{'短评内容': '酒店位置好，交通便利，下次还会入住的。', '短评打分': 5}
{'短评内容': '位置不錯，設施也相當好。    酒店出门过马路就是岭南新天地，要去那里玩的话住这里是最方便了。    酒店的服务员态度不错，见面都挺友好。    前台人员服務相當好。', '短评打分': 5}
{'短评内容': '很新的酒店，很漂亮，整洁。服务员也很热情。可能太新的缘故，酒店没有多少人入住，好像没有什么人气。停车场指示有点乱，电梯入口也不清晰。希望日后能完善吧。', '短评打分': 5}
{'短评内容': '因为是新的酒店，酒店的设施很新，所接触员工(包括前台、大堂、康乐设施、酒吧和餐厅)的服务态度也十分好，且相当友善，确有宾之如归的感觉，值得赞许！且酒店的每个房间都有特大阳台，十分舒适。\n\n然而，可能因为酒店太新的关系，一些配套设备仍有改善的空间。例如倘大的阳台却没有枱和椅子，稍为有点浪费；另外，室内泳池旁边没有躺椅，而室外的按摩池与及更衣室的桑拿和蒸气房也未能使用，也使设施有所失色。最后还有一点小', '短评打分': 5}
{'短评内容': '酒店的服务给人感觉很有亲切感,不过在办理入住手续时有点慢.我是从岭南新天地这边走过来,一路过来都没发现酒店的指引.绕了一圈才发现酒店的正门,建议酒店可以在岭南新天地这边沿路加一些指引及宣传牌等', '短评打分': 5}
{'短评内容': '酒店地點很好, 很新淨及整潔, 下次值得再住', '短评打分': 5}
{'短评内容': ' 位置很好，就在市中心，硬件也非常好，服务周到，客房点餐需要改进，总之非常不错的酒店，推荐入住', '短评打分': 3}
{'短评内容': '新酒店，所有设施都很新，布局很香港化，早餐中西结合，整体入住感觉非常好。\n说些不足之处（针对本人入住的高级大床房而言，有些可能带有明显的个人感觉，不一定很客观）：\n1. 电话仅仅在床头有一部，书桌上无电话，感觉不是很方便；\n2. 卫生间内座便器边上无杂物桶，如厕后的卫生纸只能扔在座便器内。其实卫生间内有杂物桶，建议把位置移到座便器边上；\n3. 浴后耳朵内积水，没有找到棉签，建议在用品中加入棉签；\n', '短评打分': 5}
{'短评内容': ' 酒店不错就是早餐单调', '短评打分': 3}
{'短评内容': '交通方便,酒店很新,国际品牌.已预定今天入住.', '短评打分': 5}
