{'短评内容': '挺好的 舒服', '短评打分': 5}
{'短评内容': '本人订的是大床房，办理入住时临时给我换成标间，对携程上确定的订单不认可，单方面调整房型，很不愉快的一次入住', '短评打分': 3}
{'短评内容': '地方不错，还是属于市中心的，到湖边很方便，出店门右转一直沿着新安大道直下去，不到2km就能到湖边，附近还可以游泳，免费的，旅馆偏旧了点，带女朋友或啥的就呵呵了....', '短评打分': 3}
{'短评内容': '房间卫生还行，地段还是不错的，中心地段。和朋友一起游玩，综合性价比还是蛮不错的。照片忘记拍了。', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '老板及工作人员待人都很认真、负责，热情有度，不是那种好话连篇、虚假过半的人。所以有事要问他们，都很放心。酒店地处市中心繁华地段，吃饭购物乘公交都非常方便。私家车停好后，乘公交007去西游船码头只有5、6站，1元钱车费；公交004也可。车站距离酒店不足百米，实在太好。吃罢晚饭沿新安大街东去1公里就是千岛湖广场，也是夜景极为好看的地方。……', '短评打分': 5}
{'短评内容': '不干净，太吵靠街边', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错，物美价廉。', '短评打分': 5}
{'短评内容': '因为之前看到网上说，可能携程宾馆不搭理，然后订的时候特意打了几次电话给客服，客服说让我们放心。然后我去的时候，先是一个女前台，真的是一口否认，把我弄蒙了，说他们宾馆已经和携程不合作了，等等，僵持了很久，就是不让住，后来我强烈说打过电话，当时客服说可以的，就这样争论了好久，一个男员工出来，不高兴地办理，我说我们订的是电脑房，他说没有，就是标准间，我再想，既然没有电脑房，那网站上还说配备电脑，而且美团', '短评打分': 2}
{'短评内容': '酒店位置不错，设施有些旧，但能接受，在黄金周期间，这个价格已经满意了。酒店没有专用停车场，但酒店可以帮你停到宾馆边上的一条小胡同里，走的时候再捣登出来，也还可以。宾馆离有名的千岛湖鱼味馆也就两三百米，去旅游码头可以在鱼味馆这一站坐K004路，不用倒车就能到达。', '短评打分': 3}
{'短评内容': '很久没住过这么差的酒店了。三个房间有两个电话不响，洗澡热水像尿尿一样。wifi根本连不上，最可气的是宾馆说明天要坐船必须要提前预定。豪华游轮已经没有票了，只有最小的游艇了。结果我们付了钱第二天到码头却看到豪华游轮的票还有很多，而且买了票就可以立刻上船。这还不算，她们说的取票方式根本联系不上取票人。然后打了无数个电话，用了半个多小时才联系到取票人。最后还要多走近两公里到另外一个码头才坐上一条公交船。', '短评打分': 3}
{'短评内容': '前台很热心，还帮我们订票。', '短评打分': 3}
{'短评内容': '地理位置不错，就是想问问，钱什么时候返还？', '短评打分': 3}
{'短评内容': '地理位置不错，服务态度挺好的。值得赞一个', '短评打分': 3}
{'短评内容': '交通方便，有长途汽车西站到酒店几乎门口的汽车，就一块钱，那叫一个实惠。', '短评打分': 1}
{'短评内容': '前台服务态度有很大的改进余地，推诿+过度推销有点不好。热水等了好久没有，到最后也没完全弄好。除此之外，其他设施还可以。', '短评打分': 1}
{'短评内容': '靠近市中心区，交通方便。靠近市中心区，交通方便。靠近市中心靠近市中心区，交通方便。区，交通方便。', '短评打分': 5}
