{'短评内容': '很好，很干净，服务到位', '短评打分': 5}
{'短评内容': '干净，舒适，服务好', '短评打分': 5}
{'短评内容': '酒店新开，很不错', '短评打分': 5}
{'短评内容': '新开酒店，非常好，服务也不错', '短评打分': 5}
{'短评内容': '物美价廉哈', '短评打分': 5}
{'短评内容': '超棒', '短评打分': 5}
{'短评内容': '\xa0位置优越、房间舒适、员工友善\xa0\xa0\xa0\xa0如果您正在寻找一个价格合理、房间舒适还可免费上网的好酒店,那么就来\xa0，这简直\xa0\xa0\xa0\xa0是您梦想中的酒店。', '短评打分': 5}
{'短评内容': '还可以 还可以', '短评打分': 3}
{'短评内容': '长治边上，交通方便，房间感觉有点贵，性价比不高！房间还是不错的！长治边上，交通方便，房间感觉有点贵，性价比不高！房间还是不错的！', '短评打分': 5}
{'短评内容': '睡的蛮舒服的', '短评打分': 4}
{'短评内容': '出差去的 应该算是不错的酒店了 还可以！', '短评打分': 4}
{'短评内容': '还不错，住过很多次了，早餐一般与五星级酒店相差太远', '短评打分': 5}
{'短评内容': '这次去明显人少，不过服务还是可以的', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '这是目前长治最好的酒店,酒店的硬件环境不错,住宿可以免费游泳和健身.', '短评打分': 5}
{'短评内容': '酒店的硬件还是不错的，就是淋浴系统比较差，不出热水或不够热，每次都是需要修理才可以顺利的洗澡。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '设施不错，位置有点偏，不过很安静，服务有待提高，下次还来住，长治也没有太好的选择，设施不错，位置有点偏，不过很安静，服务有待提高，下次还来住，长治也没有太好的选择，', '短评打分': 5}
{'短评内容': '房间很大，床很舒服。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '除了大堂装修的比较豪华，还有价格（500多在长治地区应该属于比较贵的了）比较像五星以外，其他地方与五星相差甚远，早餐种类太少，网速很慢，最主要服务很差！很牛！', '短评打分': 1}
{'短评内容': '长治最好的酒店，房间不错，设施符合五星的标准并配有电脑，位置虽然较偏，不过离高速比较近。不过网速很慢，这点有失五星的水准，且房间内有一面镜子对的床，中国人比较忌讳这个，可以的话希望换个地方，谢谢', '短评打分': 5}
{'短评内容': '装修的富丽堂皇，服务也还好！房间也比较大！', '短评打分': 5}
{'短评内容': '服务态度有所欠缺，且卫生间的死角卫生真的很差。性价比绝对不高。', '短评打分': 1}
{'短评内容': '。服务也很好，但收二倍押金，似不太合理！', '短评打分': 3}
{'短评内容': '服务态度不好，不能按客人的要求做事，违背客人的意愿，根本不够五星级标准。', '短评打分': 1}
{'短评内容': '酒店硬件是很不错的，餐厅的饭也很好，就是淋浴系统老是闹毛病。', '短评打分': 5}
{'短评内容': '酒店在装修，很吵杂，屋里面有股发霉的味道，感觉与五星差距太大。', '短评打分': 1}
{'短评内容': '硬件相当不错，床舒服，服务不行，早餐品种不多，卫生间大，色调以黑色为主，较压抑', '短评打分': 5}
{'短评内容': '长治始终我会选择这里的，                     酒店的面条特别好吃。\n                            ', '短评打分': 3}
{'短评内容': '长治始终我会选择这里的，                     \n                            ', '短评打分': 3}
{'短评内容': '这里是我来长治的必住，酒店的面条特别的好吃，提点意见，洗澡的水总是忽冷忽热的、', '短评打分': 5}
{'短评内容': '不错的酒店！装修很不错，餐厅的菜也很好吃.电视很大。', '短评打分': 3}
{'短评内容': '在这种小城市能有这样装修的酒店很厉害。。房间很干净，电视很大，卫生巾也不错。', '短评打分': 5}
{'短评内容': '服务方面略差一些.显得不够专业.硬件条件挺好的很到位,性价比还不错.', '短评打分': 5}
{'短评内容': '装修太陈旧格调不好东西黑乎乎的，位置还是挺好找的，卫生还行，服务还不错，价格也是挺便宜的，主要是整个酒店装修风格比较不好到处都黑乎乎的。', '短评打分': 1}
{'短评内容': '好，干净', '短评打分': 3}
{'短评内容': '很好，干净，服务也不错。', '短评打分': 3}
{'短评内容': '不错，很干净。服务也不错。', '短评打分': 5}
{'短评内容': '距离机场很近，酒店设施不错，行政楼还有电脑，很方便', '短评打分': 5}
{'短评内容': '酒店的位置非常好，而且服务也相当周到，因为长治不大，总得来说条件还不错.', '短评打分': 5}
{'短评内容': '我经常来长治出差，这里是我每次必住的酒店，因为酒店很新各种服务都还是不错的。', '短评打分': 5}
{'短评内容': '装修风格挺特殊的，中东风格，好多条龙，酒店挺舒适的，早餐简单了点', '短评打分': 5}
{'短评内容': '长治这个地方不是很大，这家酒店还不错属于正式商务酒店，内部环境还不错，服务也很专业，酒店位于长治北边，交通不是很便利，价格方面稍微也偏高些了。', '短评打分': 5}
{'短评内容': '酒店是我在长治住过最好的酒店了，就是洗澡的水温还是有点问题。希望改进。', '短评打分': 5}
{'短评内容': '酒店的设施很好，礼兵的服务特别的好。', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '酒店非常奢华,服务还欠细致周到,但总的印象还是不错了.', '短评打分': 5}
{'短评内容': '酒店是几乎是长治最好的酒店了。', '短评打分': 3}
{'短评内容': '很好，会再来的，就是打车不是很方便。', '短评打分': 5}
