{'短评内容': '挺好的都不错。', '短评打分': 5}
{'短评内容': '挺不错的，服务挺好', '短评打分': 5}
{'短评内容': '还不错，安静！', '短评打分': 5}
{'短评内容': '性价比高，管理很到位很仔细，早餐还有鲜果汁榨', '短评打分': 5}
{'短评内容': '服务态度超好，环境不错。', '短评打分': 5}
{'短评内容': '服务好，环境好。', '短评打分': 5}
{'短评内容': '房间很大，干净，单人床也是很大的，一家四口住足够了。', '短评打分': 5}
{'短评内容': '圣诞节装饰了一下很有气氛，大堂增加了悠闲吧，可以吃点水果饼干，这个是小惊喜。非常好，反正每次来都住这里。', '短评打分': 4}
{'短评内容': '前台服务超级好~靠近马路 晚上有点嘈杂', '短评打分': 5}
{'短评内容': '第二次入住了 ，来石狮必选柏莱， 房间很大！干净 安静 价格也很划算！很好的入住体验。下次来还会选他家', '短评打分': 5}
{'短评内容': '性价比很高的酒店，适合商务或者家庭出行，房间宽敞，工作人员和服务生态度都非常好！房间内还有水果和小惊喜！', '短评打分': 5}
{'短评内容': '房间不错，就是有点冷，温度调高感觉没什么用，其他什么都不错。', '短评打分': 5}
{'短评内容': '客房很大，早餐也不错的。', '短评打分': 4}
{'短评内容': '还过得去', '短评打分': 5}
{'短评内容': '服务态度很好环境一般，', '短评打分': 4}
{'短评内容': '网络太卡', '短评打分': 4}
{'短评内容': '不错，住的挺舒适', '短评打分': 4}
{'短评内容': '酒店硬件设施和服务非常不错，在石狮算不错的商务酒店。', '短评打分': 5}
{'短评内容': '以後再也不會去這家酒店 浴巾好懶 有紅紅的顏色 還有破洞 。別的酒店礦泉水都是免費 這家酒店一瓶礦泉水20塊  服務質量也很爛', '短评打分': 1}
{'短评内容': '房间很宽敞，但是早餐有待完善丰富。隔壁就是鸳鸯池公园', '短评打分': 5}
{'短评内容': '住的非常满意。服务员的素质也很好。', '短评打分': 3}
{'短评内容': '还好，就是早餐太贵了。。。。。好像是50元/个', '短评打分': 5}
{'短评内容': '还不错，客房只带电脑，方便商旅。装修风格时尚。不过附近交通并不太好。', '短评打分': 5}
{'短评内容': '酒店确实不错，有四星级的标准！推荐！以后还会再来住！', '短评打分': 5}
{'短评内容': '挺好的，性价比挺好，也有名气的酒店，下次还会住这里的', '短评打分': 5}
{'短评内容': '是老顾客了，这次免费升级了行政房，很好！！', '短评打分': 5}
{'短评内容': '1、位置很好，周边购物方便\n2、房间很舒适\n3、服务人员态度不错', '短评打分': 5}
{'短评内容': '每个月都会入住几天，一如既往的支持。。。。！！！\n', '短评打分': 5}
{'短评内容': '酒店水准高于汉庭，总体不错。价格略高，也许适应了石狮的经济水平吧。可以推荐。', '短评打分': 3}
{'短评内容': '很不错的酒店，住了很多次了，建议房间里放点泡面，昨晚半夜饿醒了，呵呵', '短评打分': 5}
{'短评内容': '酒店很干净,免费的早餐比较丰富，味道不错，推荐！！！', '短评打分': 5}
{'短评内容': '住了很多次了，是不错的酒店，很满意！！！！！', '短评打分': 5}
{'短评内容': '房间很干净，服务也不错，自助餐和免费早餐也很棒，整体不错，还会再来住', '短评打分': 5}
{'短评内容': '房间还不错，早餐也可以，就是靠近公路边的会有点吵。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很好，下次还会入住', '短评打分': 3}
{'短评内容': '酒店房间很清洁，服务很好，价钱偏高，周边没有太多可消费的地方。', '短评打分': 5}
{'短评内容': '酒店各方面都不错，很大很干净，硬件齐全，服务态度也好。美中不足的是周边吃饭的地方不是太多，还要往市政府那边走走才有好的。\n价格在石狮算是高的了。', '短评打分': 5}
{'短评内容': '态度热情，但是工作流程需要改进。\r\n例如；请客人签字时，要将笔交到客人手上。\r\n讲解单据的内容。', '短评打分': 5}
{'短评内容': '酒店位置较好，交通便利，早餐不错，就是房间设施一般。服务员态度较好。', '短评打分': 5}
{'短评内容': '酒店的环境和房间还是很不错的，但是周围购物和吃饭不是太方便，交通还可以。\r\n另外补充：第一天到的时候，同事的房间有水果，我的房间却没有；第二天打扫完卫生，我的房间没有免费的茶和咖啡，给总台打电话才有人送来。虽然是小事，但能说明服务是否够细致。', '短评打分': 5}
{'短评内容': '硬件十分不错，靠近石狮市汽车总站。不知为何前台说临时身份证不能登记住宿，天生的胸大无脑', '短评打分': 5}
{'短评内容': '服务稍微差些,特别是前台', '短评打分': 5}
{'短评内容': '酒店位置就在街道边，交通方便，但车辆噪音很大，玻璃基本不隔音。\r\n房间很大，但没有什么设施，显得很空洞，电视很差劲，毛巾也显得陈旧。\r\n房价不便宜，建议至少赠送矿泉水。\r\n早餐一般，喝了一杯提子汁，感觉跟洗碗水一般。\r\n总体可以算得上准三星吧，小地方没什么选择，有几个老外也住在里面。', '短评打分': 1}
{'短评内容': '位置一般,价格偏贵.', '短评打分': 3}
{'短评内容': '价格还是有些偏贵了，不过酒店的位置还可以附近出行是挺方便的，房间的卫生和设施都还行，服务态度也是挺不错的，感觉还是比较不错的酒店。', '短评打分': 5}
{'短评内容': '酒店很干净,服务也不错.电脑太旧,网速也慢.酒店位置较偏.价格偏贵,性价比低.', '短评打分': 5}
{'短评内容': '整体感觉挺好的，服务周到，房间的设施也舒适整洁', '短评打分': 5}
