{'短评内容': '周边很萧条，交通不方便。', '短评打分': 3}
{'短评内容': '服务太差，还有不是主楼', '短评打分': 3}
{'短评内容': '又偏又烂', '短评打分': 2}
{'短评内容': '不太行', '短评打分': 3}
{'短评内容': '环境不错，价格也还算能接受！满意', '短评打分': 5}
{'短评内容': '其他很好，就是周边没有吃饭的地方', '短评打分': 5}
{'短评内容': '周边没有吃饭的地方，很偏的', '短评打分': 5}
{'短评内容': '地方比较偏，但是非常安静！', '短评打分': 5}
{'短评内容': '出差住，花园酒店，安静，离办事地近', '短评打分': 5}
{'短评内容': '服务差，房间味道较重', '短评打分': 3}
{'短评内容': '太偏僻了', '短评打分': 3}
{'短评内容': '没有电梯 让进出非常不方便 房间还算够大 周边的生活机能 几乎没有', '短评打分': 3}
{'短评内容': '很不错的，第二次入住', '短评打分': 5}
{'短评内容': '酒店环境非常好，适合度假，但对于商务来说就不是太方便，最主要是吃饭不方便', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
