{'短评内容': '不错挺干净', '短评打分': 5}
{'短评内容': '不错，挺大挺安静', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐就不会调整下？一直是吃这个，包子差评，稀饭油条不错。', '短评打分': 5}
{'短评内容': '位置不错。', '短评打分': 5}
{'短评内容': '还可以吧。 就是交通不怎么样&hellip;&hellip;', '短评打分': 5}
{'短评内容': '很实惠，不错的住宿！赞\\(≧▽≦)/', '短评打分': 5}
{'短评内容': '停车场很大车位不紧张', '短评打分': 5}
{'短评内容': '还行，非常棒！非常棒！', '短评打分': 5}
{'短评内容': '不错，定了两个房间', '短评打分': 5}
{'短评内容': '显陈旧 走㾿宽敞 早餐极简单 服务不敢恭维 但价格还算实惠 后面停车位不是很充足 一般性住住还是值得推荐的', '短评打分': 4}
{'短评内容': '房间很大，周围吃饭也很方便', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '   酒店价格偏贵，卫生一般般，大清早的很吵。', '短评打分': 3}
{'短评内容': '环境还可以，房间挺大', '短评打分': 5}
{'短评内容': '391房间需要爬楼梯，房间隔音太差了，隔壁声音一清二楚，影响睡眠', '短评打分': 3}
{'短评内容': '房间满大的，比较偏，不过出门就有公交', '短评打分': 4}
{'短评内容': '酒店房间挺大，早餐也不错，还算超值的。', '短评打分': 4}
{'短评内容': '周边太烂', '短评打分': 3}
{'短评内容': '速八酒店的整体设施，很适合出差旅行的人员', '短评打分': 5}
{'短评内容': '此店离超市近，离公交站最近，一下车站就到了；环境舒服、卫生、交通便利、购物方便，吃东西也有很多种，一下楼就有！', '短评打分': 5}
