{'短评内容': '房间很好，以后还会再光顾的。', '短评打分': 4}
{'短评内容': '一般。             o', '短评打分': 4}
{'短评内容': '周边环境因为市政改造有点乱，其余都比较好，标房的床都挺大的，不错的选择，以后还会定。', '短评打分': 4}
{'短评内容': '8点多去吃早餐，很多东西都凉了！早餐还是挺丰富的！', '短评打分': 5}
{'短评内容': '入住很多次，本次我们舟山出差帮同事预定了房间一同出勤， 他们说房间很干净，不错。', '短评打分': 3}
{'短评内容': '酒店房间很干净， 周围环境很安静、走路大概5分钟有很多吃饭的地方、 酒店前台服务态度还不错。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '好好好各种煎熬&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '嗯嗯，喜欢是喜欢，就是太贵了！', '短评打分': 5}
{'短评内容': '房间挺大的，设施也还可以，早餐也挺丰盛，物有所值，不过离景点有点远。', '短评打分': 5}
{'短评内容': '房间一般般，没有想象中的好有点旧了，不过还是蛮干净的', '短评打分': 5}
{'短评内容': '房间装修、设施都不错，早餐也还可以！', '短评打分': 3}
{'短评内容': '可惜行程有变，没能入住', '短评打分': 5}
{'短评内容': '酒店非常干净很喜欢下次还会来！', '短评打分': 5}
{'短评内容': '一般般，性价比可以接受，也没什么惊喜的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '算是当地一个比较有特色的酒店吧，餐饮还可以，周边环境也不错，以后所有机会再去，还可以考虑。推荐入住！', '短评打分': 5}
{'短评内容': '房间窗户好像有点问题，晚上太吵了，建议及时维修', '短评打分': 5}
{'短评内容': '还行，还行，还行，还行', '短评打分': 5}
{'短评内容': '还行，还行，还行，还行', '短评打分': 5}
{'短评内容': '还行，还行，还行，还行', '短评打分': 5}
{'短评内容': '还行，还行，还行，还行', '短评打分': 5}
