{'短评内容': '没有早餐，一般的酒店，床是一米二的，不建议孩子住', '短评打分': 3}
{'短评内容': '因为临时决定，没有酒店可以定了，就定了这个，除了停车方便，我再也找不出满意的了。比我在青海住的条件还差。', '短评打分': 2}
{'短评内容': '国庆期间，也算不错了', '短评打分': 4}
{'短评内容': '周围环境可以，设施老旧，附近吃饭方便', '短评打分': 4}
{'短评内容': '酒店位置很好，离刘公岛很近。一出门就是公交站点去哪都方便。楼下全是饭店吃饭方便。还可以去早市买海鲜，在酒店加工，味道还不错。还有大润发超市买东西相当方便了。酒店老板热情人非常好。自由行的可以直接在酒店找老板订景点门票和报团。', '短评打分': 5}
{'短评内容': '挺好的，挺方便', '短评打分': 5}
{'短评内容': '老板人很好，酒店很干净，虽然空调坏了，挨冻了一宿，但是总体感觉不错', '短评打分': 5}
{'短评内容': '酒店位于大润发旁边周围商业设施齐全，我住的是豪华大餐老婆q', '短评打分': 5}
{'短评内容': '很值啊！不错的商务酒店', '短评打分': 5}
{'短评内容': '地理位置完美 楼下有大型超市 各种快歺店二十余家 如神龟馅饼等 窗景及露台景也无可挑剔 除卫生间味道浓郁了些 望改进 服务热情周到', '短评打分': 4}
{'短评内容': '住了很多次了，每一次都非常满意，交通方便，楼下就是超市，环境也很好，房间很干净', '短评打分': 5}
{'短评内容': '住了很多次，一家人，单独住，都很适合，环境很好，闹中取静，老版也很赞，交通方便，位置特别好，楼下就是超市附近吃饭的地方也很多，而且也很安静，总之很好，还会再来的', '短评打分': 5}
{'短评内容': '住了好多次了，特别赞的酒店，位置相当好，服务也不错，价格也很合理，特别靠谱', '短评打分': 5}
{'短评内容': '酒店服务特别好，已经来住了很多次了，非常靠谱特别赞', '短评打分': 5}
{'短评内容': '酒店很不错，周边配套也很完善，价格实惠，值得入住！', '短评打分': 3}
