{'短评内容': '道边有公共停车位 找不到位置老板会帮忙安排 老板人很热情', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '早餐不提供，自己准备，可以免费煮。酒店位置不错，公交方便，离渤海十几分钟的距离。', '短评打分': 4}
{'短评内容': '环境不错，离海边很近，在民宿村里，老板好说话，人挺好的！', '短评打分': 5}
{'短评内容': '很不错的环境，', '短评打分': 5}
{'短评内容': '便宜', '短评打分': 3}
{'短评内容': '服务态度非常好，条件一般', '短评打分': 4}
{'短评内容': '环境好差', '短评打分': 1}
{'短评内容': '整体很不错，老板很热情', '短评打分': 4}
{'短评内容': '经济实惠 设施齐全 比较吵闹 ', '短评打分': 4}
{'短评内容': '周围全是各种宾馆，没什么太大的区别，全是民社类，设施、服务一半吧。', '短评打分': 3}
{'短评内容': '不错，老板人很好，家庭小旅馆。', '短评打分': 3}
{'短评内容': '70块钱住了个家庭间，有空调，有洗浴，简直了', '短评打分': 5}
{'短评内容': '在火车站有接站，来了还送我们地图，老板带我们去买海鲜，吃的非常好。我们租自行车把北戴河转了个遍，自己加工海鲜很有家庭的味道', '短评打分': 5}
{'短评内容': '还是不错的，那儿的宾馆特别多，选中这一家既是缘分也是网友的评价，住的还不错，能自己加工海鲜，老板还带着我们去买海鲜，服务很好！', '短评打分': 5}
{'短评内容': '在北戴河到处都是家庭旅馆，这家值得推荐，老板姓刘人可好了，出到此地方向都搞不清楚老板一一跟你介绍，百问不烦，你中午吃不完的菜晚上还可以在旅馆免费加热，最让我感谢的是我们到了那里，感觉时间不够玩可是火车票又先买好了要是自己去改签来去的时间就又浪费了一天，但老板说你们去玩我帮你们去改签，真是感谢！', '短评打分': 5}
