{'短评内容': '环境优美，地理位置好,交通方便 ,网络高速信号好,服务态度还可以 房间小摆件的设计也很有特色。性价比不错，下次还要入住.', '短评打分': 5}
{'短评内容': '卫生一般   这个价位的话   算是还可以吧                         。。。      ', '短评打分': 4}
{'短评内容': '嗯  还行吧。价格比较划算   然后 距离中心医院和万达广场都还蛮近的  然后 晚上 其实也不怎么吵   还可以。', '短评打分': 4}
{'短评内容': '傻逼旅店，住的最次的一个，脏乱，服务差', '短评打分': 1}
{'短评内容': '出行很合适居住', '短评打分': 5}
{'短评内容': '66666666', '短评打分': 5}
{'短评内容': '价格实惠 卫生干净 挺好', '短评打分': 5}
{'短评内容': '酒店环境！位置不错！也不贵！下次还是选这家', '短评打分': 5}
{'短评内容': '感觉还可以，交通也很方便。', '短评打分': 5}
{'短评内容': '挺好挺不错的 我很喜欢', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 5}
{'短评内容': '房间小了点', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '方便出行，实惠', '短评打分': 3}
{'短评内容': '马拉松', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '离码头较近，交通方便，服务态度较好~', '短评打分': 5}
{'短评内容': '房间布置不错，万达广场繁华地带，交通方便', '短评打分': 4}
{'短评内容': '去万达广场比较方便', '短评打分': 4}
{'短评内容': '特价房。性价比挺高的。宜昌蛮小，出行坐车都不超过十几块，挺方便的。', '短评打分': 5}
{'短评内容': '距离一场中心医院，九码头，万达广场很近。门口不远有夜市。房间一般。', '短评打分': 5}
{'短评内容': '一般吧，位置不错，买什么吃什么都方便，就是房间一般', '短评打分': 5}
{'短评内容': '酒店很烂.隔音不好,服务员态度很差,对客人很不好.酒店设施都是些质量很差的东西.绝对不推荐.太差太差.因为这次去就是睡觉，所以忍了，希望以后的各位不要再上当了。', '短评打分': 1}
{'短评内容': '房间不错，就是房间里面没有吃的东西，挺干净的', '短评打分': 5}
{'短评内容': '酒店房间较小，浴室积水，建议可以放上防滑垫，太滑了。靠近浴室的木地板有松动，踩上去有上下翘动发出的咯吱咯吱声，建议修理。电脑的音响右边那个不能出声音，我住的408号房是这样的，建议修理。在网上看的时候说是有送餐服务，可是房间里面连个写着前台电话的正式卡片都没有，建议酒店应该做个卡片，上面写下对本酒店的详细介绍，留下前台电话，并详细注明你们有哪些服务。叫上来帮忙弄电脑的酒店员工没有讲普通话，而且态度', '短评打分': 5}
{'短评内容': '房间很小，电梯都在半层处，不方便，还算干净。', '短评打分': 5}
