{'短评内容': '房间干净舒适，周边购物方便？', '短评打分': 5}
{'短评内容': '订酒店的时候以为是个小酒店，没想到进去后发现还可以，离步行街很近，周围吃东西的地方也很多，房间内有个阳台，可以晒衣服，预定的时候让前台给我安排个阳光好点的，但是住进去后发现北面才是阳光充足的，有点浪费了，不过也不碍事，房间很大，墙壁上有点发霉了，花洒水流很小，固定的，不能移动，早餐基本没啥可吃的，就煮粉还有一些馒头，玉米，有待改良下就好了，房间内有个摇篮椅，还有个阳台，晒衣服可以，总体还行吧', '短评打分': 5}
{'短评内容': '一如即往的支持165', '短评打分': 5}
{'短评内容': '房间还行，出行方便', '短评打分': 4}
{'短评内容': '早餐非常丰富，而且味道不错？房内能加床，酒店位置好安静', '短评打分': 5}
{'短评内容': '跟爸媽一起出行的，房間挺大的，附近有商場和很多飯店，有樓下免費停車場。不錯！', '短评打分': 5}
{'短评内容': '环境不错，地处中心商圈，方便！', '短评打分': 5}
{'短评内容': '。。。。。。。', '短评打分': 5}
{'短评内容': '房间环境还不错，卫生也很好，美中不足就是房间没有点餐的菜单，整来还是可以的', '短评打分': 5}
{'短评内容': '呃呃呃，主要是京东价格便宜，不错', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '与照片有点差别，不过总体还算好', '短评打分': 4}
{'短评内容': '酒店房间设施设备齐全，不错，自带阳台还有早餐，很满意', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '酒店不错，服务很好，干净整洁，是个不错的酒店，酒店性价比较高。酒店年限有点长，设施现代化气息不强，但很有质感。建议增加早餐品种。', '短评打分': 4}
{'短评内容': '房间蛮大，服务态度也蛮好。离生源时代广场近，有时不好打车走到友阿等商场也就十几分钟很方便。不过我这间窗小，', '短评打分': 5}
{'短评内容': '一般，有味道', '短评打分': 3}
{'短评内容': '酒店还不错，就是停车的时候有点混乱', '短评打分': 5}
{'短评内容': '总体不错，浴室喷洒太旧', '短评打分': 5}
{'短评内容': '比较可以', '短评打分': 4}
{'短评内容': '每次去郴州都住这', '短评打分': 5}
{'短评内容': '房间大，还有封闭阳台。但是为什么电脑上网还要加20元钱呢，这是那呀', '短评打分': 1}
