{'短评内容': '还好！就是里面灯的光线太暗了！太暗了！', '短评打分': 5}
{'短评内容': '地段好，好评', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '位置好，就在地铁口，周边生活便利，房间略小，但足够，电梯是个小小的问题', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈好', '短评打分': 5}
{'短评内容': '很不错的酒店，服务员都很热情，房间卫生也很好，重要的是交通很方便，美食就在旁边，赞一个。', '短评打分': 5}
{'短评内容': '酒店不錯的', '短评打分': 3}
{'短评内容': '环境不错很好！', '短评打分': 5}
{'短评内容': '环境不错！挺好的', '短评打分': 5}
{'短评内容': '还不错！而且多次预定了', '短评打分': 5}
{'短评内容': '订了晚了，会展附近就这家还有房价，性价比还行', '短评打分': 4}
{'短评内容': '地點相關方便，座立於大馬路旁，司機都很容易找到！附近的餐廳又多選擇，有平民化選擇也有不少連鎮餐廳，完全不需要搵心飲食的問題。房間尺寸雖然不大，但十分整淨和舒適，值得再次到來。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '帮同事定的 挺好吧', '短评打分': 5}
{'短评内容': '酒店有点差', '短评打分': 3}
{'短评内容': '价格优惠，但是属于阴面，没有窗户，比较压抑', '短评打分': 4}
{'短评内容': '不錯，交通很方便...而且上網不用另收費，三樓還有KTV..', '短评打分': 5}
{'短评内容': '，酒店环境非常满意', '短评打分': 3}
{'短评内容': '交通非常方便，楼下就是公交站，门口50米就是地铁岗厦站。步行到会展中心也只需要十分钟。就是房间小了些，隔音不是很好，楼上洗澡，水流过下水道的声音哗啦啦的巨响无比。服务也不错，可以提供伞，会尽力的满足客户需求。', '短评打分': 5}
{'短评内容': '不错的精品酒店，很安静，交通方便，小巧，值得推荐。', '短评打分': 5}
