{'短评内容': '有停车场，非常好', '短评打分': 5}
{'短评内容': '位置不错，有停车场', '短评打分': 5}
{'短评内容': '热水问题，水温最高34十度，电脑里东西不会自动清理，洗发水和沐浴露质量太差，还有许多东西要另收费，体验感不太好，一二三楼餐厅服务很好，就是许多菜品老是放花椒吃不太习惯。', '短评打分': 3}
{'短评内容': '酒店清洁卫生，前台服务员态度好，酒店二楼可用餐，菜品味道好，价格便宜。酒店离华清宫很近，约2公里。免费停车。', '短评打分': 5}
{'短评内容': '经常入住这个酒店，感觉还是不错的，很多都已经习惯，可以前台的人员表现比较死板，无语。你们的规定不代表大众。', '短评打分': 5}
{'短评内容': '非常好，物美价廉，很满意，性价比很高！', '短评打分': 5}
{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '一班班', '短评打分': 3}
{'短评内容': '入住431', '短评打分': 4}
{'短评内容': '酒店卫生和设施需要改进', '短评打分': 2}
{'短评内容': '很棒的酒店。而且很便宜。睡的也很好，晚上很安静。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '洒店位置方便，设施不错。不足就是临街早上比较吵。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '可以带狗狗入住，酒店工作人员非常热情！', '短评打分': 3}
{'短评内容': '挺好的，就是房间有点儿小', '短评打分': 5}
{'短评内容': '旅店无法上网，没有流水单，不适合商务居住，房间较小，门隔音很差，早晨有些吵，服务态度很一般', '短评打分': 3}
{'短评内容': '＋我已入住，很干净，不错，我住两晚', '短评打分': 3}
{'短评内容': '房间设施比较陈旧，有异味环境不好，没有早餐，客房服务也不好', '短评打分': 1}
{'短评内容': '酒店太老，设施一般，服务还好。是在临潼的中心位置', '短评打分': 1}
