{'descr': '帮来上海游玩的亲戚预定好的，听说挺好找的，位置方便，去哪里游玩都能坐到相应的公交，性价比高。', 'star': 5}
{'descr': '跟一般的连锁酒店没什么差别，唯一可惜的床头没有插座', 'star': 5}
{'descr': '没有停车场', 'star': 4}
{'descr': '去九院订的，很方便。附近交通便利，酒店里面该有的东西都有，还给了我们一间有窗户的房间。赞一个', 'star': 5}
{'descr': '设施灰常简陋，只能说是睡觉的地方l', 'star': 3}
{'descr': '还好吧，交通方便好找，这个价格不错了', 'star': 5}
{'descr': '房间有点小，其他还不错!!!!!!!', 'star': 5}
{'descr': '还没入住，稍后追评', 'star': 5}
{'descr': '还是可以住', 'star': 4}
{'descr': '临时定的落脚地，无窗大床房。好找，九院走过去十分钟不到，楼下就是全家。楼背面是小区，我住的楼层也高20楼，小气窗嘛，所以没有街道噪声的影响。房间就是提供图片一样，被子没有潮，墙面也是干净的。这种无窗房放在走廊尽头，电梯后面，反而没有过道人来人往的干扰，不过我住的时间也不是高峰期，不然应该会有影响的，对面门走的时候没关上，门锁一直滴滴，听得清清楚楚，隔音非常一般，一个半小时也没客服来检查关门。这个店', 'star': 5}
{'descr': '还不错吧 蛮干净的 ', 'star': 3}
{'descr': '设施设备不齐全', 'star': 3}
{'descr': '离九院很近，比较干净', 'star': 4}
{'descr': '旧！！！！！！！！！', 'star': 4}
{'descr': '还可以，我喜欢', 'star': 5}
{'descr': '环境还可以，就是没有香皂', 'star': 5}
{'descr': '第三次住了 挺好的', 'star': 5}
{'descr': '不错，蛮干净的，而且地理位置不错！', 'star': 5}
