{'descr': '多次入住了，交通方便，对面就是地铁站哦', 'star': 5}
{'descr': '好好好好好好好好', 'star': 5}
{'descr': '靠万达很近', 'star': 5}
{'descr': '房间不大，设备还不错，恰逢外面施工，五点半被吵醒，隔音效果待提高。位置很好，在地铁站旁，去哪都方便。', 'star': 5}
{'descr': '酒店整体还行，但是门口在施工，晚上吵得根本睡不了！在施工！施工！！！！！！！！！！！！！！！！！！！', 'star': 3}
{'descr': '东西好，精致，一直信赖京东。。下次还通过京东订', 'star': 5}
{'descr': '交通还是很便利的，靠近云锦路地铁口，就是房间有点小！', 'star': 5}
{'descr': '真的还不错，感觉挺好的！', 'star': 5}
{'descr': '.&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', 'star': 5}
{'descr': '很方便的，房间也很不错', 'star': 5}
{'descr': '挺方便的，一开始遇到麻烦不过解决了', 'star': 5}
{'descr': '房间很安静', 'star': 5}
{'descr': '还不错，性价比高', 'star': 4}
{'descr': '不错，房间大', 'star': 5}
{'descr': '就那么回事，标准的出差用的房间。', 'star': 5}
{'descr': '价格不贵，环境干净，适合居住。', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '还行吧，逼我写品论，过得去就行。', 'star': 4}
{'descr': '服务很好，值得入住，门口就是地铁站，很方便', 'star': 4}
{'descr': '环境还可以，就是隔音实在是不行。', 'star': 5}
{'descr': '还不错 挺舒服的 最重要的是地理环境好 好找', 'star': 4}
{'descr': '交通方便，地铁2号线云锦路站就在马路对面，距离南京大屠杀纪念馆也仅有150米之遥。我订的商务套间，房间很大，设施也齐。服务人员的素质不错，走的时候索要了一份南京市交通地图起到很大作用！唯一缺陷是房间里的空调功率不够！', 'star': 5}
{'descr': '交通方便，地铁2号线云锦路站就在马路对面，距离南京大屠杀纪念馆也仅有150米之遥。我订的商务套间，房间很大，设施也齐。服务人员的素质不错，走的时候索要了一份南京市交通地图起到很大作用！唯一缺陷是房间里的空调功率不够！', 'star': 5}
