{'短评内容': '服务好，环境好，价格低。', '短评打分': 5}
{'短评内容': '出差住，老酒店，还可以', '短评打分': 4}
{'短评内容': '出差住，老酒店，还可以', '短评打分': 4}
{'短评内容': '兰州西站不远处，距离省妇幼保健院、中医院较近，房间干净卫生，唯一不足房间小点。', '短评打分': 4}
{'短评内容': '酒店位置很好房间稍小没有早点', '短评打分': 5}
{'短评内容': '离办事的地方比较近，整个七里河没什么太象样子的酒店，这个算是好的了。', '短评打分': 4}
{'短评内容': '房间设施太落后，床也太小', '短评打分': 3}
{'短评内容': '很好！非常好！', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '地方性酒店 标三星还不如如家', '短评打分': 3}
{'短评内容': '房间设施齐全，打扫清洁及时，服务态度好。周边环境一般不是很安静！', '短评打分': 4}
{'短评内容': '很好很方便', '短评打分': 5}
{'短评内容': '还不错，住的还算舒服的，服务人员服务很热情，那天碰巧看到清洁人员在打扫卫生，地板上的头发也捏的很仔细。出差来还是比较推荐的，自己游玩也可以考虑。', '短评打分': 5}
{'短评内容': '服务好，尤其点赞卫生间无弄味。', '短评打分': 5}
{'短评内容': '服务很好，门前正在修路(地铁?)。', '短评打分': 4}
