{'短评内容': 'ccc', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店服务特别好，特别是前台的杨靓，服务超好，有家的感觉', '短评打分': 5}
{'短评内容': '房间不错，环境也不错，特别是前台姚文萍服务态度讲解介绍都很好也很具体', '短评打分': 5}
{'短评内容': '酒店不错，位置挺好，前台杨靓服务态度蛮好', '短评打分': 5}
{'短评内容': '性价比特别高，房间够大，卫生间够大，床够大，特别适合一家三口出行，挤挤四个人也没问题，位置特别好，高架下来就到了', '短评打分': 5}
{'短评内容': '非常棒的酒店。', '短评打分': 5}
{'短评内容': '服务不错，有停车位，里面环境也不错，值得推荐', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '住了几次，房间还不错就是门口修路，周围没什么吃的', '短评打分': 4}
{'短评内容': '一般，酒店设计的不好，床对着门，然后早餐完全就是，不想说了，只能说这个级别，真的不搭配的', '短评打分': 5}
{'短评内容': '酒店设施不错，卫生也不错。周围在施工，环境不好，前台接待需多加培训。', '短评打分': 5}
{'短评内容': '各方面都可以，性价表估计是最高的了！', '短评打分': 5}
{'短评内容': '酒店条件一般，前台服务态度很好', '短评打分': 4}
{'短评内容': '还不错，周围交通方便，就是吃饭麻烦了些。很干净', '短评打分': 5}
{'短评内容': '东西不错', '短评打分': 5}
