{'短评内容': '實在太差了。。。388住的像88元的招待所！~', '短评打分': 1}
{'短评内容': '连续住了3天，因不能刷卡换到了其他酒店。', '短评打分': 5}
{'短评内容': '离西宁西站和西宁特钢都很近，吃行都算方便，唯一不好的是不能刷银联卡。', '短评打分': 5}
{'短评内容': '帮家人预定的，整体来说不错，就是位置偏了些。性价比还不错。', '短评打分': 5}
{'短评内容': '整体感觉还不错，周围环境、服务态度都可以，不足之处就是“前不着村，后不着店”，出入不够方便。', '短评打分': 5}
{'短评内容': '总体感觉还可以，不过有时电梯坏了就要爬楼梯了，环境还过得去，就是有点过时吧', '短评打分': 5}
{'短评内容': '酒店价格适中，服务质量有待改进，房间内没有毛巾浴巾，需自己向服务员要', '短评打分': 3}
{'短评内容': '酒店设施齐全，交通便捷。\n环境不错，干净舒适。', '短评打分': 5}
{'短评内容': '服务很热情 但是条件有些很一般......虽然离市区较远但是交通很方便~\n', '短评打分': 5}
{'短评内容': '宾馆周围较乱,影响休息,我订的118元房间,服务员安排的是88元的房间,按108元收费,内部一般般', '短评打分': 3}
{'短评内容': '位置还是稍微偏了离市区很远了出行还可以，房间的设施卫生一般化，服务接触的也不是太多，价格还行。', '短评打分': 1}
{'短评内容': '性价比很高，就是后面的工厂日夜开工~门口就是去青海湖的公路~', '短评打分': 5}
{'短评内容': '位置没在市区，但是紧靠312国道，去日月山、青海湖交通比较方便，就这个价格来说还算不错了！', '短评打分': 3}
{'短评内容': '距离市区稍微有些远，在312国道上面，去青海湖、塔尔寺交通比较方便。', '短评打分': 5}
{'短评内容': '门口在修路，全天堵车。不好。离市区有点远了。设施卫生服务什么的也就是乏善可陈，就那么回事，对得起这个价格吧。', '短评打分': 1}
