{'短评内容': '前台接待服务很好。', '短评打分': 5}
{'短评内容': '设施齐备，服务优质。', '短评打分': 5}
{'短评内容': '酒店非常棒', '短评打分': 5}
{'短评内容': '酒店环境好，餐饮价格不高，味道不错，早餐品种丰富。订的双人房给升级了豪华大床房，但墙外是空调主机躁音较大，给换了个三人房。', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '服务非常好，性价比超高，早餐很棒，居住环境舒适安逸。我们不小心将身份证丢到了酒店，一通电话，酒店方迅速解决，不拖延时间，第一时间顺丰发出，非常感激！非常好，五星好评，下次还来！', '短评打分': 5}
{'短评内容': '房间非常好', '短评打分': 5}
{'短评内容': '很晚到的酒店 前台服务很好，免费升级湖景房。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大，设施一般', '短评打分': 5}
{'短评内容': '非常美丽的一次旅行', '短评打分': 5}
{'短评内容': '不错，不错，服务好！', '短评打分': 5}
{'短评内容': '这个酒店很好 后面有小花园 下午就带小孩在里面逛逛 早上的自助餐很好 就是缺了酸奶 第二天去了九华天池 下次来还会住在这里', '短评打分': 5}
{'短评内容': '服务很好，帮我免费升级了房型！', '短评打分': 5}
{'短评内容': '前台服务很好', '短评打分': 5}
{'短评内容': '非常满意，性价比超级高，房间比大多数套房都要大，完全超出预期，下次还住碧桂园酒店', '短评打分': 5}
{'短评内容': '服务很不错，免费升级到行政套房，空间很大，床的舒适度很好，值得推荐！', '短评打分': 5}
{'短评内容': '感谢前台接待的服务，服务很好，值得入住！', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '环境很好！', '短评打分': 5}
{'短评内容': '个人觉得不错', '短评打分': 5}
{'短评内容': '不错，每年来', '短评打分': 5}
{'短评内容': '与全国的碧桂园都是统一风格，前台也很尽心，上次竟然升级了行政套房，就是周边吃的地方挺少，要出去很远到市区', '短评打分': 4}
{'短评内容': '前台服务ALice和Anna Chen 服务特别亲切友好。下次还会来。谢谢。', '短评打分': 5}
{'短评内容': '相当不错性价比高', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店环境很好，站在阳台可以看到一片美丽的湖景，顿时烦恼全无，服务也不错，还主动为我们推荐了周边的景点，不错！', '短评打分': 5}
{'短评内容': '尼玛，两百多的房间就一个1.4米的单人床', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '酒店环境和房间大小还是比较满意的。卫生服务也比较到位。但是有些东西还是又确实，比如卫生间没提供棉签。卫生间的洁具摆放位置不是很合理。淋浴房没有防滑垫，这是安全隐患啊', '短评打分': 5}
{'短评内容': '蚊子少了，服务态度更好了，附属设施赶紧弄好啊，健身房居然要等到10月才开发，拖的太久了吧？早餐得继续完善，目前状况暂时对不起酒店的硬件水平。继续努力，我很喜欢你们周围的环境', '短评打分': 5}
{'短评内容': '酒店6月18日才正式开业，所以，很多配套设施还没跟上。周边环境甚好，假以时日，完善一下设施，是个修养身心的好地方。而且这个酒店离市区也不算太远，酒店服务态度非常诚恳，很好。目前蚊子多了点，赶紧组织消杀', '短评打分': 5}
