{'descr': '每年都住在这', 'star': 5}
{'descr': '总体满意', 'star': 4}
{'descr': '不好', 'star': 3}
{'descr': '宾馆就在五爷庙附近，走路5分钟就到；酒店设施比较陈旧，花洒水压小。图方便的选择。', 'star': 3}
{'descr': '环境还可以', 'star': 5}
{'descr': '很便利的地方', 'star': 5}
{'descr': '挺不错！', 'star': 4}
{'descr': '酒店位置好！入住舒适！', 'star': 5}
{'descr': '环境还可以，离核心景区塔院寺很近', 'star': 3}
{'descr': '景区内酒店，不敢恭维。卫生间无排气扇，床垫太烂。但地点很好，服务员友善。矮子里挑丈夫，凑合吧。', 'star': 3}
{'descr': '我们分两次总计定了7间房，少去了一家人跟店家商量减掉一个，店家很爽快的就答应了，更改为6间。  因为是淡季人少店家还免费将我们的房间从北楼升级到了东楼（东楼比北楼贵哦）。  店家服务很好，帮我们联系了导游而且第二天凌晨三点出发的时候酒店负责人还专门起来送我们，非常的不错。  十月份五台山已经通暖气了，房间里面穿着薄外套不感觉冷。柜子里储备的厚被子盖上睡觉挺暖和。  酒店设施略微陈旧，但东西还是比较', 'star': 5}
{'descr': '我们分两次总计定了7间房，少去了一家人跟店家商量减掉一个，店家很爽快的就答应了，更改为6间。  因为是淡季人少店家还免费将我们的房间从北楼升级到了东楼（东楼比北楼贵哦）。  店家服务很好，帮我们联系了导游而且第二天凌晨三点出发的时候酒店负责人还专门起来送我们，非常的不错。  十月份五台山已经通暖气了，房间里面穿着薄外套不感觉冷。柜子里储备的厚被子盖上睡觉挺暖和。  酒店设施略微陈旧，但东西还是比较', 'star': 5}
{'descr': '卫生条件太差，只有两条黑呼呼的毛巾，洗手间的味道就像三流的公厕，坐便里和地面上的尿垢看了以后老想吐。那里的7-8个服务员会坐在大堂一排欢迎客人的到店！', 'star': 1}
{'descr': '卧龙宾馆除了地理位置可以别的都一般', 'star': 3}
