{'短评内容': '环境好，酒店早餐花样少。', '短评打分': 4}
{'短评内容': '环境还好，不过装修陈旧了些', '短评打分': 4}
{'短评内容': '整體環境不錯', '短评打分': 4}
{'短评内容': '早餐挺好，有停车场。酒店在河边。', '短评打分': 5}
{'短评内容': '酒店的Reception從我check in到拿到房卡全程臉上無微笑，本想可能是工作太累，故沒有計較，到了房間後看到這個樣子房間狀態，加之房間衛生較差，用手一摸一層厚厚的灰且房間離電梯太近，曾打電話表示要換房，酒店給予回覆為我預定的房型都是這樣，並且也無房可換。我每一次出差或訪友都是選擇這家酒店，但這次的服務態度以及酒店房間狀態讓我感覺到以後是否該再次考慮入住了，最後表揚一下夜班的男員工，在我提出', '短评打分': 4}
{'短评内容': '很好很便宜，几乎是开平最好的酒店了', '短评打分': 5}
{'短评内容': '算是開平最好的酒店了~但環境開始舊了~~~早餐種類也變小了~~平時回開平一直都住這裡下次要考慮看看別家了~~', '短评打分': 4}
{'短评内容': '算是開平最好的酒店了~但環境開始舊了~~~早餐種類也變小了~~平時回開平一直都住這裡下次要考慮看看別家了~~', '短评打分': 4}
{'短评内容': '还算可以，价格合适', '短评打分': 4}
{'短评内容': '和同事第三次入住，这里环境安静舒适，卫生', '短评打分': 5}
{'短评内容': '第三次入住啦！再一次选择了这里', '短评打分': 5}
{'短评内容': '这次入住的房间有发霉的味道，可能是靠江边的关系，房间湿度比较大，连被子都有潮呼呼的感觉', '短评打分': 4}
{'短评内容': '酒店环境比较偏', '短评打分': 5}
{'短评内容': '周边配套设施差，无健身器材，早餐差', '短评打分': 2}
{'短评内容': '值得推荐', '短评打分': 4}
{'短评内容': '周边环境清静，房间对著谭江，房间整洁干净！', '短评打分': 4}
{'短评内容': '宽广', '短评打分': 5}
{'短评内容': '酒店内非常干净舒适，床很舒服，很好，我以后也选假日了', '短评打分': 5}
