{'短评内容': '非常不错的酒店，一次性用品都是英国牌子。服务态度好的没话说。早餐也好。', '短评打分': 5}
{'短评内容': '超级棒的一家酒店，强烈推荐！', '短评打分': 5}
{'短评内容': '早餐不错，酒店位置出行方便，环境很好', '短评打分': 5}
{'短评内容': '非常好的酒店，很高大上，卫生也特别干净，主要是服务特别好，服务员都很热情', '短评打分': 5}
{'短评内容': '不错的酒店，前台美女超级好看。', '短评打分': 5}
{'短评内容': '房间布置非常温馨，感觉非常舒服，下次还住这里', '短评打分': 5}
{'短评内容': '挺喜欢的和老公比较认可', '短评打分': 5}
{'短评内容': '房间不错！早餐也不错！', '短评打分': 5}
{'短评内容': '重新装修，还不错', '短评打分': 4}
{'短评内容': '非常非常好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '重新刚装修好，装修的还不错，就是味道太大了，开着窗户一晚上都没睡好，马桶很不错，还能冲水，你懂得，总体还不错！', '短评打分': 5}
{'短评内容': '给升级了时尚大床房，房间很好，酒店环境也不错。', '短评打分': 5}
{'短评内容': '最近酒店推出限时特价房非常合适加之良好的服务决定继续入住！', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错，少订了一天', '短评打分': 5}
{'短评内容': '服务员很热情 工作效率高', '短评打分': 4}
{'短评内容': '环境卫生都可以', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '酒店很干净，周边环境也不错，下次来还要住！！！', '短评打分': 5}
