{'descr': '房间的装修OK,卫生间设计的挺漂亮,卫生打扫也不错,而且配备基本设施,酒店住得还是很舒服的.', 'star': 3}
{'descr': '服务比较热情比较周到,而且酒店提供早餐,酒店倒是很便捷,设施很完善娱乐设施丰富,用着挺方便.', 'star': 3}
{'descr': '酒店住过几次,酒店卫生方面感觉做得特别好,而且整体感觉酒店价格方面还是比较合适的.', 'star': 3}
{'descr': '设施简单，房间隔音较差，洗澡水不太热，不过价钱也便宜。', 'star': 3}
{'descr': '酒店设施一般交通较便利，卫生打扫的不错，但酒店装潢比较成旧，移动互联网也信号很弱，晚上睡觉比较吵，不值，再也不会入住，', 'star': 3}
{'descr': '一斑斑', 'star': 3}
{'descr': '还行，就是晚上睡觉觉得冷，空调开着也没用', 'star': 5}
{'descr': '前台不热情，房间小，卫生间门是坏的，关不上，地毯很脏，半夜走廊里很吵，楼层服务员也不管。可以不用靠虑这个宾馆了\n', 'star': 1}
{'descr': '前台不热情，房间小，卫生间门是坏的，关不上，地毯很脏，半夜走廊里很吵，楼层服务员也不管。可以不用靠虑这个宾馆了\n', 'star': 1}
{'descr': '房间暖和，寒冷季节入住不错， 卫生设施不是很干净，隔音差，前台服务一般，没有自觉给我早点，我也急忙办事儿忘了。。。 呵呵、、    价格贵了。。。', 'star': 5}
{'descr': '房间暖和，寒冷季节入住不错， 卫生设施不是很干净，隔音差，前台服务一般，没有自觉给我早点，我也急忙办事儿忘了。。。 呵呵、、    价格贵了。。。', 'star': 5}
{'descr': '房间很小，枕套好像没有洗。', 'star': 3}
{'descr': '房间很小，枕套好像没有洗。', 'star': 3}
{'descr': '价格亲民，只是房间隔音效果一般，尤其住的靠电梯的！', 'star': 3}
{'descr': '挺好的，以后会继续关注。希望以后也能预定高铁、动车！', 'star': 5}
{'descr': '牙刷掉毛。', 'star': 3}
{'descr': '酒店总体不错，距离会展中心很近，就是隔壁有个KTV，晚上睡觉稍微有点噪音，还有就是房间的墙壁需要粉刷下了，底部都蜕皮了！', 'star': 5}
{'descr': '差的不是一点点，除了离会展近点以外，几乎没有什么好评价的。', 'star': 1}
{'descr': '感觉一般般吧，浴室水龙头都坏了。不过前台那女孩子还挺好的。', 'star': 1}
{'descr': '燕达宾馆装修很有特色，就是卫生不是太好，位置吧，没那么正中', 'star': 3}
{'descr': '燕达宾馆装修很有特色，就是卫生不是太好，位置吧，没那么正中', 'star': 3}
{'descr': '酒店跟如家莫泰之类的差不多，挺干净，挺方便，价格挺实惠。', 'star': 5}
{'descr': '酒店跟如家莫泰之类的差不多，挺干净，挺方便，价格挺实惠。', 'star': 5}
{'descr': '服务上挺人性化的，态度也挺好，价格挺实惠的。', 'star': 3}
{'descr': '服务上挺人性化的，态度也挺好，价格挺实惠的。', 'star': 3}
{'descr': '环境挺好，干净卫生，设施完善，服务也挺好，住的挺满意。', 'star': 5}
{'descr': '环境挺好，干净卫生，设施完善，服务也挺好，住的挺满意。', 'star': 5}
{'descr': '房间非常干净，电视是液晶的，还配备了电脑，感觉挺不错的。', 'star': 5}
{'descr': '房间非常干净，电视是液晶的，还配备了电脑，感觉挺不错的。', 'star': 5}
{'descr': '酒店住过几次，感觉挺干净，价格也挺合理。', 'star': 5}
{'descr': '酒店住过几次，感觉挺干净，价格也挺合理。', 'star': 5}
{'descr': '服务挺热情的，能提供早餐，感觉挺方便，设施挺齐全，用着挺方便。', 'star': 5}
{'descr': '服务挺热情的，能提供早餐，感觉挺方便，设施挺齐全，用着挺方便。', 'star': 5}
{'descr': '房间装修的很不错，卫生间设计的挺漂亮，卫生打扫也不错，基本设施都有，住的挺舒适。', 'star': 5}
{'descr': '房间装修的很不错，卫生间设计的挺漂亮，卫生打扫也不错，基本设施都有，住的挺舒适。', 'star': 5}
