{'短评内容': '房型还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店太旧了，床单还有桌子什么的看起来很脏。将就着住的。', '短评打分': 3}
{'短评内容': '不太好', '短评打分': 3}
{'短评内容': '哈啊哈哈啊哈哈哈哈', '短评打分': 5}
{'短评内容': '挺好的，服务也好', '短评打分': 5}
{'短评内容': '位置蛮方便，但是酒店里发霉的味道比较大，被套破的，浴巾破的，不会住第二次。', '短评打分': 2}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '卫生环境不怎么样，地理位置还不错', '短评打分': 4}
{'短评内容': '屋内有烟灰、环境太脏', '短评打分': 3}
{'短评内容': '差评，188的价格，一次性拖鞋居然还要另外收费的，环境又差！', '短评打分': 1}
{'短评内容': '不好声音响，空调响', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '有小强，卫生差，有异味，空调不好使，和前台反应，让找做卫生的阿姨，无语', '短评打分': 2}
