{'短评内容': '就是wifi不行 其它还好', '短评打分': 4}
{'短评内容': '位置挺好找，环境不好。吵，这个价格真心贵了。房间里的环境不怎么好。', '短评打分': 2}
{'短评内容': '早餐不是那么好', '短评打分': 3}
{'短评内容': '房间很旧很小，各种设施也很差', '短评打分': 1}
{'短评内容': '早餐一般般，位置还不错。', '短评打分': 3}
{'短评内容': '服务员态度超级烂，前台烂，都烂，千万不要去', '短评打分': 1}
{'短评内容': '朋友还满意。', '短评打分': 5}
{'短评内容': '房间不错，价格便宜', '短评打分': 5}
{'短评内容': '一般，价格贵', '短评打分': 2}
{'短评内容': '更丰富你每次v你可以大撒把买咯一发训没卡买吧擦擦擦你卡i个复燃停机看妈妈看哈分析出。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '符合预期的酒店，经济实惠!', '短评打分': 4}
{'短评内容': '符合经济实惠标准的酒店。不错！', '短评打分': 4}
{'短评内容': '位于海口高铁站附近，步行至海口东站10分钟以内，交通方便。一楼即是餐饮，吃饭方便。大厅有小商店，购买特产也很方便。', '短评打分': 3}
{'短评内容': '环境优美，房间很大，设施齐全，服务态度好，早餐不错。就是外出交通不太方便。', '短评打分': 4}
{'短评内容': '很差。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '离海口东很近，虽房间小点，也很温馨舒适！很满意！位置也很好找！', '短评打分': 3}
