{'短评内容': '还好。设施有点太旧了', '短评打分': 3}
{'短评内容': '环境管理都不错，很好的体验', '短评打分': 5}
{'短评内容': '酒店是见过最差的……服务员也是最差的，吹风机没有！让前台送水，还让自己去……无语！以后不会再来啦……各种差，特别是服务员，态度之差！让人无语！朋友们，酒店选不好，会影响一天的心情的！请慎重……', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '进来看看进来看看看看', '短评打分': 1}
{'短评内容': '房间不干净，床铺不整齐，跟刚有人住过似的，房间异昧较重。', '短评打分': 3}
{'短评内容': '没有吹风机，电视全是雪花，房间没有大灯。昏昏暗暗的只有床头一个灯。门没有安全铁链锁。设施比较陈旧。位置还算可以。空调风很大。隔音不好。', '短评打分': 3}
{'短评内容': '服务态度很好 环境比较安静 设施说的过去', '短评打分': 5}
{'短评内容': '环境好，服务好', '短评打分': 5}
{'短评内容': '房间挺大就是地板铺的地毯有脏', '短评打分': 3}
{'短评内容': '不是太好，不太干净。大石桥修路也不太方便了', '短评打分': 3}
{'短评内容': '服务态度很好，性价比很高', '短评打分': 3}
{'短评内容': '很喜欢这家酒店的圆床！而且有大窗户，往外看风景很好！晚上能看到很漂亮的夜景！女友很喜欢，灯饰也很给力！性价比很高！', '短评打分': 5}
{'短评内容': '酒店服务挺好，服务员和前台很热情，酒店是新开的挺干净，位于大石桥交通方便。卫生间的空间有点小了，其他的没啥，快捷酒店中算好点的了。', '短评打分': 5}
