{'短评内容': '房间配置有些陈旧，但要求不太高的人还是不错的，性价比较高', '短评打分': 4}
{'短评内容': '感觉就像没装修过一样！和小的路边旅馆一样', '短评打分': 3}
{'短评内容': '优点：价位便宜，停车方便，房间也比较大，离景点，购物店都比较近。缺点：房间比较潮湿，窗户外面是一堵墙，没有WIFI，主要是没有热水，外面停了旅游大巴，一帮旅游的老太太从晚上吵到早上，房间一点都不隔音，五点多就被集合的老太太们吵醒。。。。挨着门和走廊的第一间房子，真是太吵了。', '短评打分': 3}
{'短评内容': '价格真的很便宜，地段很好，停车也方便，室内装修比较老，卫生也很一般。', '短评打分': 4}
{'短评内容': '内部设施陈旧，外部环境太吵，停车场旅游大巴太多，院内一波一波的游客人山人海，摩肩接踵，想从酒店出来都困难，空气里弥漫着一股汗臭味，价格还不便宜，下次到苏州出游不再选此酒店。', '短评打分': 2}
{'短评内容': '房间还不错，环境一般住着凉快。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般般，位置也偏，环境不是很好', '短评打分': 3}
{'短评内容': '预定的朋友请慎重！！', '短评打分': 2}
{'短评内容': '只适合旅游的团队去住，家庭旅游不推荐', '短评打分': 2}
{'短评内容': '不錯', '短评打分': 5}
{'短评内容': '差！很差！非常差！建议大家不要入住，我是悔得肠子都青了，伤感', '短评打分': 1}
{'短评内容': '一般 作为休息住一夜还行吧', '短评打分': 4}
{'短评内容': '房间网络信号有点差', '短评打分': 5}
{'短评内容': '环境不错，空间很大', '短评打分': 5}
{'短评内容': '地段不错，房间环境还行，推荐入住~~~~~', '短评打分': 3}
{'短评内容': '一般，达不到三星标准', '短评打分': 3}
{'短评内容': ' 网速慢，有待提升，建议改为光纤宽带。给予好评。', '短评打分': 3}
{'短评内容': '房间比较大，附近比较安静。酒店装修有点老，偌大的房间，空调那么小一个。。。', '短评打分': 5}
{'短评内容': '这家酒店一般般，总体来说跟大家的评价一样，值得一住，价格不是比较实惠的，团队旅游可以考虑，皮革城也较方便。\n', '短评打分': 5}
{'短评内容': '苏州新东吴珍珠大酒店酒店内部设施非常一般。。 被子还有一股气味。服务一航,交通方便，隔音差，适合一般的旅游团队用,较高层次的慎选.', '短评打分': 5}
{'短评内容': '酒店一点也没有现代感。进去空空荡荡的。内部设施非常一般。。 被子还有一股气味。 如对酒店要求高的人。 慎选', '短评打分': 1}
{'短评内容': '房间还可以，交通方便，就隔音差点，房价不带早餐有点偏高，节日可能也有关系。', '短评打分': 5}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '房间比较大，但晚上休息时，院内有杂音，不容易入睡。交通方面比较好，去留院、虎丘、寒山寺方便，位于这三个地方的中心。适合自己出去玩。', '短评打分': 5}
{'短评内容': '还不错啦，总体来说跟大家的评价一样，值得一住', '短评打分': 5}
{'短评内容': '酒店位置不错，就在西园、何园边，走过去很近。离开虎丘大概2公里吧。住的是228的豪华标间，房间很大，符合三星标准。不过酒店内部有个大停车场，不少大巴开开停停，早上有些吵。', '短评打分': 5}
{'短评内容': '外面的噪音实在太大了，吵的人没法睡，不过酒店内部的环境还可以，服务也还不错', '短评打分': 1}
{'短评内容': '晚上的时候也不知道到底是空调外机还是什么鼓风机，简直是吵的受不了。一直吵到早晨，住了2天，天天如此。还有就是饭店里的停车场很大，总有很多过境车来吃饭，半夜都有人在吵吵闹闹的声音。', '短评打分': 5}
